country,variant,freq,year,infantmortalityper1000livebirth
524,estimates,5yearly,1950,228.54
524,estimates,5yearly,1955,223.995
524,estimates,5yearly,1960,211.024
524,estimates,5yearly,1965,189.452
524,estimates,5yearly,1970,169.179
524,estimates,5yearly,1975,150.49
524,estimates,5yearly,1980,130.503
524,estimates,5yearly,1985,109.533
524,estimates,5yearly,1990,87.627
524,estimates,5yearly,1995,68.429
524,estimates,5yearly,2000,52.857
524,estimates,5yearly,2005,41.284
524,estimates,5yearly,2010,32.836
524,medium_variant,5yearly,2015,26.247
524,medium_variant,5yearly,2020,21.826
524,medium_variant,5yearly,2025,18.576
524,medium_variant,5yearly,2030,16.08
524,medium_variant,5yearly,2035,14.182
524,medium_variant,5yearly,2040,12.623
524,medium_variant,5yearly,2045,11.317
524,medium_variant,5yearly,2050,10.343
524,medium_variant,5yearly,2055,9.572
524,medium_variant,5yearly,2060,8.897
524,medium_variant,5yearly,2065,8.271
524,medium_variant,5yearly,2070,7.675
524,medium_variant,5yearly,2075,7.129
524,medium_variant,5yearly,2080,6.619
524,medium_variant,5yearly,2085,6.178
524,medium_variant,5yearly,2090,5.752
524,medium_variant,5yearly,2095,5.357
524,estimates,5yearly,Regi,Nepal
524,medium_variant,5yearly,Regi,Nepal
