continent,year,variant,agebroad,population
909,1955,Estimates,16plus,9418.69
909,1955,Estimates,17plus,9203.143
909,1955,Estimates,18plus,8993.644
909,1955,Estimates,18_23,1190.141
909,1955,Estimates,20plus,8588.215
909,1955,Estimates,20_64,7534.231
909,1955,Estimates,20_69,7951.088
909,1955,Estimates,21plus,8390.47
909,1955,Estimates,25plus,7601.189
909,1955,Estimates,25_49,4800.054
909,1955,Estimates,25_64,6547.205
909,1955,Estimates,25_69,6964.062
909,1955,Estimates,50plus,2801.135
909,1955,Estimates,60plus,1552.331
909,1955,Estimates,65plus,1053.984
909,1955,Estimates,70plus,637.127
909,1955,Estimates,75plus,336.828
909,1955,Estimates,80plus,149.068
909,1960,Estimates,total,15783.582
909,1960,Estimates,0_1,801.965
909,1960,Estimates,0_4,1920.702
909,1960,Estimates,0_14,5244.452
909,1960,Estimates,0_17,6036.764
909,1960,Estimates,0_19,6513.152
909,1960,Estimates,0_24,7608.645
909,1960,Estimates,3_4,736.618
909,1960,Estimates,3_5,1094.14
909,1960,Estimates,3_6,1445.914
909,1960,Estimates,4_5,721.788
909,1960,Estimates,4_6,1073.562
909,1960,Estimates,5_10,2067.792
909,1960,Estimates,5_11,2397.274
909,1960,Estimates,5_14,3323.75
909,1960,Estimates,6_9,1377.475
909,1960,Estimates,6_10,1710.27
909,1960,Estimates,6_11,2039.752
909,1960,Estimates,6_12,2362.313
909,1960,Estimates,7_10,1358.496
909,1960,Estimates,7_12,2010.539
909,1960,Estimates,11_16,1797.973
909,1960,Estimates,11_17,2048.27
909,1960,Estimates,11_18,2289.558
909,1960,Estimates,12_14,926.476
909,1960,Estimates,12_16,1468.491
909,1960,Estimates,12_17,1718.788
909,1960,Estimates,12_18,1960.076
909,1960,Estimates,13_17,1396.227
909,1960,Estimates,13_18,1637.515
909,1960,Estimates,13_19,1872.615
909,1960,Estimates,15plus,10539.13
909,1960,Estimates,15_17,792.312
909,1960,Estimates,15_24,2364.193
909,1960,Estimates,15_49,7443.767
909,1960,Estimates,15_59,8841.062
909,1960,Estimates,15_64,9371.738
909,1960,Estimates,16plus,10260.43
909,1960,Estimates,17plus,9997.115
909,1960,Estimates,18plus,9746.818
909,1960,Estimates,18_23,1361.354
909,1960,Estimates,20plus,9270.43
909,1960,Estimates,20_64,8103.038
909,1960,Estimates,20_69,8537.426
909,1960,Estimates,21plus,9041.499
909,1960,Estimates,25plus,8174.937
909,1960,Estimates,25_49,5079.574
909,1960,Estimates,25_64,7007.545
909,1960,Estimates,25_69,7441.933
909,1960,Estimates,50plus,3095.363
909,1960,Estimates,60plus,1698.068
909,1960,Estimates,65plus,1167.392
909,1960,Estimates,70plus,733.004
909,1960,Estimates,75plus,393.689
909,1960,Estimates,80plus,176.63
909,1965,Estimates,total,17502.231
909,1965,Estimates,0_1,837.259
909,1965,Estimates,0_4,2066.059
909,1965,Estimates,0_14,5771.755
909,1965,Estimates,0_17,6772.112
909,1965,Estimates,0_19,7387.456
909,1965,Estimates,0_24,8698.443
909,1965,Estimates,3_4,814.854
909,1965,Estimates,3_5,1214.548
909,1965,Estimates,3_6,1608.425
909,1965,Estimates,4_5,804.73
909,1965,Estimates,4_6,1198.607
909,1965,Estimates,5_10,2303.929
909,1965,Estimates,5_11,2663.097
909,1965,Estimates,5_14,3705.696
909,1965,Estimates,6_9,1537.074
909,1965,Estimates,6_10,1904.235
909,1965,Estimates,6_11,2263.403
909,1965,Estimates,6_12,2615.669
909,1965,Estimates,7_10,1510.358
909,1965,Estimates,7_12,2221.792
909,1965,Estimates,11_16,2074.848
909,1965,Estimates,11_17,2402.124
909,1965,Estimates,11_18,2717.31
909,1965,Estimates,12_14,1042.599
909,1965,Estimates,12_16,1715.68
909,1965,Estimates,12_17,2042.956
909,1965,Estimates,12_18,2358.142
909,1965,Estimates,13_17,1690.69
909,1965,Estimates,13_18,2005.876
909,1965,Estimates,13_19,2306.034
909,1965,Estimates,15plus,11730.476
909,1965,Estimates,15_17,1000.357
909,1965,Estimates,15_24,2926.688
909,1965,Estimates,15_49,8272.306
909,1965,Estimates,15_59,9873.715
909,1965,Estimates,15_64,10454.029
909,1965,Estimates,16plus,11391.894
909,1965,Estimates,17plus,11057.395
909,1965,Estimates,18plus,10730.119
909,1965,Estimates,18_23,1681.576
909,1965,Estimates,20plus,10114.775
909,1965,Estimates,20_64,8838.328
909,1965,Estimates,20_69,9306.101
909,1965,Estimates,21plus,9829.021
