agebroad,population,continent,variant,year
0_1,17032.745,903,estimates,1950
0_4,38705.13,903,estimates,1950
0_14,94523.801,903,estimates,1950
0_17,108797.609,903,estimates,1950
0_19,117763.465,903,estimates,1950
0_24,138112.085,903,estimates,1950
3_4,14003.1,903,estimates,1950
3_5,20461.512,903,estimates,1950
3_6,26630.395,903,estimates,1950
4_5,13259.198,903,estimates,1950
4_6,19428.081,903,estimates,1950
5_14,55818.671,903,estimates,1950
5_10,35248.406,903,estimates,1950
5_11,40559.205,903,estimates,1950
6_9,23372.388,903,estimates,1950
6_10,28789.994,903,estimates,1950
6_11,34100.793,903,estimates,1950
6_12,39306.881,903,estimates,1950
7_10,22621.111,903,estimates,1950
7_12,33137.998,903,estimates,1950
11_16,30186.641,903,estimates,1950
11_17,34844.073,903,estimates,1950
11_18,39387.604,903,estimates,1950
12_14,15259.466,903,estimates,1950
12_16,24875.842,903,estimates,1950
12_17,29533.274,903,estimates,1950
12_18,34076.805,903,estimates,1950
13_17,24327.186,903,estimates,1950
13_18,28870.717,903,estimates,1950
13_19,33293.042,903,estimates,1950
15_17,14273.808,903,estimates,1950
18_23,25486.551,903,estimates,1950
15_24,43588.284,903,estimates,1950
15_49,108379.292,903,estimates,1950
15_59,122033.44,903,estimates,1950
15_64,126720.047,903,estimates,1950
20_64,103480.383,903,estimates,1950
20_69,106872.456,903,estimates,1950
25_49,64791.008,903,estimates,1950
25_64,83131.763,903,estimates,1950
25_69,86523.836,903,estimates,1950
15plus,134146.218,903,estimates,1950
16plus,129289.589,903,estimates,1950
17plus,124529.842,903,estimates,1950
18plus,119872.41,903,estimates,1950
20plus,110906.554,903,estimates,1950
21plus,106601.435,903,estimates,1950
25plus,90557.934,903,estimates,1950
50plus,25766.926,903,estimates,1950
60plus,12112.778,903,estimates,1950
65plus,7426.171,903,estimates,1950
70plus,4034.098,903,estimates,1950
75plus,1835.62,903,estimates,1950
80plus,681.794,903,estimates,1950
85plus,185.333,903,estimates,1950
90plus,37.724,903,estimates,1950
total,228670.019,903,estimates,1950
0_1,17550.893,903,estimates,1951
0_4,40008.094,903,estimates,1951
0_14,97030.629,903,estimates,1951
0_17,111462.833,903,estimates,1951
0_19,120556.998,903,estimates,1951
0_24,141233.258,903,estimates,1951
3_4,14502.526,903,estimates,1951
3_5,21174.799,903,estimates,1951
3_6,27534.588,903,estimates,1951
4_5,13710.811,903,estimates,1951
4_6,20070.6,903,estimates,1951
5_14,57022.535,903,estimates,1951
5_10,36187.027,903,estimates,1951
5_11,41561.756,903,estimates,1951
6_9,24003.308,903,estimates,1951
6_10,29514.754,903,estimates,1951
6_11,34889.483,903,estimates,1951
6_12,40154.132,903,estimates,1951
7_10,23154.965,903,estimates,1951
7_12,33794.343,903,estimates,1951
11_16,30559.413,903,estimates,1951
11_17,35267.712,903,estimates,1951
11_18,39872.023,903,estimates,1951
12_14,15460.779,903,estimates,1951
12_16,25184.684,903,estimates,1951
12_17,29892.983,903,estimates,1951
12_18,34497.294,903,estimates,1951
13_17,24628.334,903,estimates,1951
13_18,29232.645,903,estimates,1951
13_19,33722.499,903,estimates,1951
15_17,14432.204,903,estimates,1951
18_23,25871.465,903,estimates,1951
15_24,44202.629,903,estimates,1951
15_49,110093.57,903,estimates,1951
15_59,123957.743,903,estimates,1951
15_64,128698.614,903,estimates,1951
20_64,105172.245,903,estimates,1951
20_69,108594.152,903,estimates,1951
25_49,65890.941,903,estimates,1951
25_64,84495.985,903,estimates,1951
25_69,87917.892,903,estimates,1951
15plus,136246.42,903,estimates,1951
16plus,131329.911,903,estimates,1951
17plus,126522.515,903,estimates,1951
18plus,121814.216,903,estimates,1951
20plus,112720.051,903,estimates,1951
21plus,108351.201,903,estimates,1951
25plus,92043.791,903,estimates,1951
50plus,26152.85,903,estimates,1951
60plus,12288.677,903,estimates,1951
65plus,7547.806,903,estimates,1951
70plus,4125.899,903,estimates,1951
75plus,1904.211,903,estimates,1951
80plus,720.795,903,estimates,1951
85plus,205.818,903,estimates,1951
90plus,42.327,903,estimates,1951
total,233277.049,903,estimates,1951
0_1,17901.642,903,estimates,1952
0_4,41118.739,903,estimates,1952
0_14,99496.146,903,estimates,1952
0_17,114137.651,903,estimates,1952
0_19,123361.788,903,estimates,1952
0_24,144398.171,903,estimates,1952
3_4,14990.631,903,estimates,1952
3_5,21878.572,903,estimates,1952
3_6,28434.393,903,estimates,1952
4_5,14161.144,903,estimates,1952
4_6,20716.965,903,estimates,1952
5_14,58377.407,903,estimates,1952
5_10,37214.651,903,estimates,1952
5_11,42692.288,903,estimates,1952
6_9,24686.028,903,estimates,1952
6_10,30326.71,903,estimates,1952
6_11,35804.347,903,estimates,1952
6_12,41145.201,903,estimates,1952
7_10,23770.889,903,estimates,1952
7_12,34589.38,903,estimates,1952
