agebroad,population,continent,variant,year
"Region, subregion, country or area *",EUROPE,908,estimates,1950
0_1,24405.093,908,estimates,1950
0_4,51714.815,908,estimates,1950
0_14,144622.144,908,estimates,1950
0_17,172641.528,908,estimates,1950
0_19,191306.2,908,estimates,1950
0_24,240627.509,908,estimates,1950
3_4,17374.969,908,estimates,1950
3_5,25477.116,908,estimates,1950
3_6,33544.485,908,estimates,1950
4_5,16492.779,908,estimates,1950
4_6,24560.148,908,estimates,1950
5_14,92907.329,908,estimates,1950
5_10,51446.962,908,estimates,1950
5_11,61679.466,908,estimates,1950
6_9,33825.455,908,estimates,1950
6_10,43344.815,908,estimates,1950
6_11,53577.319,908,estimates,1950
6_12,64215.841,908,estimates,1950
7_10,35277.446,908,estimates,1950
7_12,56148.472,908,estimates,1950
11_16,60428.229,908,estimates,1950
11_17,69479.751,908,estimates,1950
11_18,78650.873,908,estimates,1950
12_14,31227.863,908,estimates,1950
12_16,50195.725,908,estimates,1950
12_17,59247.247,908,estimates,1950
12_18,68418.369,908,estimates,1950
13_17,48608.725,908,estimates,1950
13_18,57779.847,908,estimates,1950
13_19,67273.397,908,estimates,1950
15_17,28019.384,908,estimates,1950
18_23,58337.918,908,estimates,1950
15_24,96005.365,908,estimates,1950
15_49,285490.037,908,estimates,1950
15_59,339725.022,908,estimates,1950
15_64,361010.379,908,estimates,1950
20_64,314326.323,908,estimates,1950
20_69,331561.764,908,estimates,1950
25_49,189484.672,908,estimates,1950
25_64,265005.014,908,estimates,1950
25_69,282240.455,908,estimates,1950
15plus,404752.875,908,estimates,1950
16plus,395059.679,908,estimates,1950
17plus,385785.013,908,estimates,1950
18plus,376733.491,908,estimates,1950
20plus,358068.819,908,estimates,1950
21plus,348332.957,908,estimates,1950
25plus,308747.51,908,estimates,1950
50plus,119262.838,908,estimates,1950
60plus,65027.853,908,estimates,1950
65plus,43742.496,908,estimates,1950
70plus,26507.055,908,estimates,1950
75plus,13673.146,908,estimates,1950
80plus,5643.184,908,estimates,1950
85plus,1900.478,908,estimates,1950
90plus,453.001,908,estimates,1950
total,549375.019,908,estimates,1950
"Region, subregion, country or area *",EUROPE,908,estimates,1951
0_1,24647.527,908,estimates,1951
0_4,54839.386,908,estimates,1951
0_14,145915.922,908,estimates,1951
0_17,174816.84,908,estimates,1951
0_19,192940.257,908,estimates,1951
0_24,241799.134,908,estimates,1951
3_4,19065.098,908,estimates,1951
3_5,27606.22,908,estimates,1951
3_6,35814.601,908,estimates,1951
4_5,17648.39,908,estimates,1951
4_6,25856.771,908,estimates,1951
5_14,91076.536,908,estimates,1951
5_10,50331.684,908,estimates,1951
5_11,59817.664,908,estimates,1951
6_9,32866.228,908,estimates,1951
6_10,41790.562,908,estimates,1951
6_11,51276.542,908,estimates,1951
6_12,61469.369,908,estimates,1951
7_10,33582.181,908,estimates,1951
7_12,53260.988,908,estimates,1951
11_16,60417.552,908,estimates,1951
11_17,69645.77,908,estimates,1951
11_18,78649.372,908,estimates,1951
12_14,31258.872,908,estimates,1951
12_16,50931.572,908,estimates,1951
12_17,60159.79,908,estimates,1951
12_18,69163.392,908,estimates,1951
13_17,49966.963,908,estimates,1951
13_18,58970.565,908,estimates,1951
13_19,68090.38,908,estimates,1951
15_17,28900.918,908,estimates,1951
18_23,57119.764,908,estimates,1951
15_24,95883.212,908,estimates,1951
15_49,287022.834,908,estimates,1951
15_59,342473.235,908,estimates,1951
15_64,363883.723,908,estimates,1951
20_64,316859.388,908,estimates,1951
20_69,334278.34,908,estimates,1951
25_49,191139.622,908,estimates,1951
25_64,268000.511,908,estimates,1951
25_69,285419.463,908,estimates,1951
15plus,408551.007,908,estimates,1951
16plus,398525.385,908,estimates,1951
17plus,388878.307,908,estimates,1951
18plus,379650.089,908,estimates,1951
20plus,361526.672,908,estimates,1951
21plus,352088.814,908,estimates,1951
25plus,312667.795,908,estimates,1951
50plus,121528.173,908,estimates,1951
60plus,66077.772,908,estimates,1951
65plus,44667.284,908,estimates,1951
70plus,27248.332,908,estimates,1951
75plus,14267.401,908,estimates,1951
80plus,6002.987,908,estimates,1951
85plus,2040.664,908,estimates,1951
90plus,510.434,908,estimates,1951
total,554466.929,908,estimates,1951
"Region, subregion, country or area *",EUROPE,908,estimates,1952
0_1,22243.94,908,estimates,1952
0_4,55522.975,908,estimates,1952
0_14,145602.455,908,estimates,1952
0_17,175739.843,908,estimates,1952
0_19,193951.944,908,estimates,1952
0_24,241981.756,908,estimates,1952
3_4,21032.873,908,estimates,1952
3_5,30298.341,908,estimates,1952
3_6,39021.159,908,estimates,1952
4_5,19287.906,908,estimates,1952
4_6,28010.724,908,estimates,1952
5_14,90079.48,908,estimates,1952
5_10,50881.1,908,estimates,1952
5_11,59794.183,908,estimates,1952
6_9,33220.207,908,estimates,1952
6_10,41615.632,908,estimates,1952
6_11,50528.715,908,estimates,1952
6_12,60020.162,908,estimates,1952
7_10,32892.814,908,estimates,1952
7_12,51297.344,908,estimates,1952
11_16,59693.959,908,estimates,1952
11_17,69335.768,908,estimates,1952
11_18,78555.564,908,estimates,1952
12_14,30285.297,908,estimates,1952
12_16,50780.876,908,estimates,1952
12_17,60422.685,908,estimates,1952
12_18,69642.481,908,estimates,1952
13_17,50931.238,908,estimates,1952
13_18,60151.034,908,estimates,1952
13_19,69143.339,908,estimates,1952
15_17,30137.388,908,estimates,1952
18_23,56276.442,908,estimates,1952
15_24,96379.301,908,estimates,1952
15_49,289976.784,908,estimates,1952
15_59,347023.579,908,estimates,1952
15_64,368627.247,908,estimates,1952
20_64,320277.758,908,estimates,1952
20_69,337994.911,908,estimates,1952
25_49,193597.483,908,estimates,1952
25_64,272247.946,908,estimates,1952
25_69,289965.099,908,estimates,1952
15plus,414325.526,908,estimates,1952
16plus,403853.225,908,estimates,1952
17plus,393829.947,908,estimates,1952
18plus,384188.138,908,estimates,1952
20plus,365976.037,908,estimates,1952
21plus,356869.858,908,estimates,1952
25plus,317946.225,908,estimates,1952
50plus,124348.742,908,estimates,1952
60plus,67301.947,908,estimates,1952
65plus,45698.279,908,estimates,1952
70plus,27981.126,908,estimates,1952
75plus,14805.287,908,estimates,1952
80plus,6316.941,908,estimates,1952
85plus,2128.919,908,estimates,1952
90plus,558.703,908,estimates,1952
total,559927.981,908,estimates,1952
