variant,country,year,oldagedependencyratio1564
estimates,408,1950,5.707
estimates,408,1951,5.813
estimates,408,1952,5.842
estimates,408,1953,5.808
estimates,408,1954,5.734
estimates,408,1955,5.632
estimates,408,1956,5.636
estimates,408,1957,5.624
estimates,408,1958,5.589
estimates,408,1959,5.525
estimates,408,1960,5.433
estimates,408,1961,5.45
estimates,408,1962,5.436
estimates,408,1963,5.401
estimates,408,1964,5.365
estimates,408,1965,5.338
estimates,408,1966,5.449
estimates,408,1967,5.569
estimates,408,1968,5.676
estimates,408,1969,5.739
estimates,408,1970,5.742
estimates,408,1971,5.798
estimates,408,1972,5.794
estimates,408,1973,5.755
estimates,408,1974,5.715
estimates,408,1975,5.693
estimates,408,1976,5.758
estimates,408,1977,5.83
estimates,408,1978,5.896
estimates,408,1979,5.938
estimates,408,1980,5.95
estimates,408,1981,5.991
estimates,408,1982,6.007
estimates,408,1983,6.006
estimates,408,1984,6
estimates,408,1985,6
estimates,408,1986,6.05
estimates,408,1987,6.101
estimates,408,1988,6.158
estimates,408,1989,6.233
estimates,408,1990,6.331
estimates,408,1991,6.526
estimates,408,1992,6.751
estimates,408,1993,7.003
estimates,408,1994,7.27
estimates,408,1995,7.548
estimates,408,1996,7.764
estimates,408,1997,7.961
estimates,408,1998,8.16
estimates,408,1999,8.398
estimates,408,2000,8.696
estimates,408,2001,9.126
estimates,408,2002,9.59
estimates,408,2003,10.065
estimates,408,2004,10.527
estimates,408,2005,10.963
estimates,408,2006,11.415
estimates,408,2007,11.821
estimates,408,2008,12.181
estimates,408,2009,12.507
estimates,408,2010,12.804
estimates,408,2011,13.144
estimates,408,2012,13.476
estimates,408,2013,13.738
estimates,408,2014,13.846
estimates,408,2015,13.767
medium_variant,408,2015,13.767
medium_variant,408,2016,13.598
medium_variant,408,2017,13.254
medium_variant,408,2018,12.881
medium_variant,408,2019,12.679
medium_variant,408,2020,12.75
medium_variant,408,2021,13.152
medium_variant,408,2022,13.792
medium_variant,408,2023,14.543
medium_variant,408,2024,15.221
medium_variant,408,2025,15.729
medium_variant,408,2026,16.212
medium_variant,408,2027,16.535
medium_variant,408,2028,16.807
medium_variant,408,2029,17.187
medium_variant,408,2030,17.769
medium_variant,408,2031,18.622
medium_variant,408,2032,19.611
medium_variant,408,2033,20.684
medium_variant,408,2034,21.771
medium_variant,408,2035,22.831
medium_variant,408,2036,23.945
medium_variant,408,2037,25.049
medium_variant,408,2038,26.052
medium_variant,408,2039,26.819
