region,variant,gender,freq,year,mortality15to50per1000aliveat15
924,estimates,female,5yearly,1950,61.2232618196297
924,estimates,male,5yearly,1950,86.974926775197
924,estimates,female,5yearly,1955,50.2079619359461
924,estimates,male,5yearly,1955,76.6967754897697
924,estimates,female,5yearly,1960,46.3043633388264
924,estimates,male,5yearly,1960,75.4993815857373
924,estimates,female,5yearly,1965,44.0348375415456
924,estimates,male,5yearly,1965,75.6705450900859
924,estimates,female,5yearly,1970,42.2737208626125
924,estimates,male,5yearly,1970,77.6036265783724
924,estimates,female,5yearly,1975,39.4716608311302
924,estimates,male,5yearly,1975,75.2309762475063
924,estimates,female,5yearly,1980,35.2421660930441
924,estimates,male,5yearly,1980,69.4762975649592
924,estimates,female,5yearly,1985,32.7135332204425
924,estimates,male,5yearly,1985,63.1630202776362
924,estimates,female,5yearly,1990,31.6690950269898
924,estimates,male,5yearly,1990,65.1537522394105
924,estimates,female,5yearly,1995,30.1551046755874
924,estimates,male,5yearly,1995,61.6082854663219
924,estimates,female,5yearly,2000,27.6807047311812
924,estimates,male,5yearly,2000,56.0299342264031
924,estimates,female,5yearly,2005,25.3689448389764
924,estimates,male,5yearly,2005,51.0650750099813
924,estimates,female,5yearly,2010,22.1539034699363
924,estimates,male,5yearly,2010,42.7881473445154
924,medium_variant,female,5yearly,2015,20.4085799275743
924,medium_variant,male,5yearly,2015,38.2298846972416
924,medium_variant,female,5yearly,2020,19.0428919833633
924,medium_variant,male,5yearly,2020,34.7546057262611
924,medium_variant,female,5yearly,2025,17.6298063415944
924,medium_variant,male,5yearly,2025,31.4101069260526
924,medium_variant,female,5yearly,2030,16.3391548660669
924,medium_variant,male,5yearly,2030,28.4357234494136
924,medium_variant,female,5yearly,2035,15.0903376478879
924,medium_variant,male,5yearly,2035,25.7978413705753
924,medium_variant,female,5yearly,2040,13.8969306282175
924,medium_variant,male,5yearly,2040,23.5946715515301
924,medium_variant,female,5yearly,2045,12.7851499730526
924,medium_variant,male,5yearly,2045,21.6214470904628
924,medium_variant,female,5yearly,2050,11.7398487617216
924,medium_variant,male,5yearly,2050,19.9237554272828
924,medium_variant,female,5yearly,2055,10.7375246824011
924,medium_variant,male,5yearly,2055,18.4097231393733
924,medium_variant,female,5yearly,2060,9.79651355779143
924,medium_variant,male,5yearly,2060,16.8885100989765
924,medium_variant,female,5yearly,2065,8.88891500472744
924,medium_variant,male,5yearly,2065,15.4462847288183
924,medium_variant,female,5yearly,2070,8.0324404345351
924,medium_variant,male,5yearly,2070,14.1170084889412
924,medium_variant,female,5yearly,2075,7.20995247754164
924,medium_variant,male,5yearly,2075,12.8502564174109
924,medium_variant,female,5yearly,2080,6.44287170968161
924,medium_variant,male,5yearly,2080,11.6683254707104
924,medium_variant,female,5yearly,2085,5.76173017676795
924,medium_variant,male,5yearly,2085,10.57731920796
924,medium_variant,female,5yearly,2090,5.10661563337
924,medium_variant,male,5yearly,2090,9.5725901681365
924,medium_variant,female,5yearly,2095,4.44917266051925
924,medium_variant,male,5yearly,2095,8.57787727559545
924,estimates,female,5yearly,Regi,Northern Europe
924,estimates,male,5yearly,Regi,Northern Europe
924,medium_variant,female,5yearly,Regi,Northern Europe
924,medium_variant,male,5yearly,Regi,Northern Europe
