country,variant,gender,freq,year,under40mortalityper1000livebirth
430,estimates,female,5yearly,1950,530.22294
430,estimates,male,5yearly,1950,595.23258
430,estimates,female,5yearly,1955,516.49374
430,estimates,male,5yearly,1955,577.71338
430,estimates,female,5yearly,1960,502.00483
430,estimates,male,5yearly,1960,557.05936
430,estimates,female,5yearly,1965,472.75862
430,estimates,male,5yearly,1965,514.63832
430,estimates,female,5yearly,1970,434.53511
430,estimates,male,5yearly,1970,471.84797
430,estimates,female,5yearly,1975,383.24583
430,estimates,male,5yearly,1975,419.53124
430,estimates,female,5yearly,1980,350.65394
430,estimates,male,5yearly,1980,385.12434
430,estimates,female,5yearly,1985,343.7276
430,estimates,male,5yearly,1985,382.77111
430,estimates,female,5yearly,1990,339.79246
430,estimates,male,5yearly,1990,377.54147
430,estimates,female,5yearly,1995,293.05471
430,estimates,male,5yearly,1995,295.67662
430,estimates,female,5yearly,2000,290.98176
430,estimates,male,5yearly,2000,296.53365
430,estimates,female,5yearly,2005,216.1414
430,estimates,male,5yearly,2005,220.15727
430,estimates,female,5yearly,2010,183.21457
430,estimates,male,5yearly,2010,186.91432
430,medium_variant,female,5yearly,2015,150.09561
430,medium_variant,male,5yearly,2015,154.03294
430,medium_variant,female,5yearly,2020,118.55828
430,medium_variant,male,5yearly,2020,126.51835
430,medium_variant,female,5yearly,2025,92.5265700000001
430,medium_variant,male,5yearly,2025,103.66561
430,medium_variant,female,5yearly,2030,74.112
430,medium_variant,male,5yearly,2030,85.87101
430,medium_variant,female,5yearly,2035,59.82005
430,medium_variant,male,5yearly,2035,72.19591
430,medium_variant,female,5yearly,2040,48.86061
430,medium_variant,male,5yearly,2040,65.23353
430,medium_variant,female,5yearly,2045,40.27629
430,medium_variant,male,5yearly,2045,59.80745
430,medium_variant,female,5yearly,2050,35.81939
430,medium_variant,male,5yearly,2050,55.15766
430,medium_variant,female,5yearly,2055,32.23785
430,medium_variant,male,5yearly,2055,50.8125
430,medium_variant,female,5yearly,2060,29.4586800000001
430,medium_variant,male,5yearly,2060,47.24821
430,medium_variant,female,5yearly,2065,27.06111
430,medium_variant,male,5yearly,2065,43.67037
430,medium_variant,female,5yearly,2070,25.0464
430,medium_variant,male,5yearly,2070,40.3522000000001
430,medium_variant,female,5yearly,2075,23.43611
430,medium_variant,male,5yearly,2075,37.38173
430,medium_variant,female,5yearly,2080,21.9544199999999
430,medium_variant,male,5yearly,2080,34.4909
430,medium_variant,female,5yearly,2085,20.6431
430,medium_variant,male,5yearly,2085,31.8320200000001
430,medium_variant,female,5yearly,2090,19.4736900000001
430,medium_variant,male,5yearly,2090,29.369
430,medium_variant,female,5yearly,2095,18.4093200000001
430,medium_variant,male,5yearly,2095,26.92169
430,estimates,female,5yearly,Regi,Liberia
430,estimates,male,5yearly,Regi,Liberia
430,medium_variant,female,5yearly,Regi,Liberia
430,medium_variant,male,5yearly,Regi,Liberia
