agebroad,gender,population,global,variant,year
11_18,female,197239.647,900,estimates,1951
12_14,female,76425.307,900,estimates,1951
12_16,female,125115.028,900,estimates,1951
12_17,female,148688.869,900,estimates,1951
12_18,female,171830.77,900,estimates,1951
13_17,female,123086.858,900,estimates,1951
13_18,female,146228.759,900,estimates,1951
13_19,female,169076.263,900,estimates,1951
15_17,female,72263.562,900,estimates,1951
18_23,female,134941.397,900,estimates,1951
15_24,female,228606.152,900,estimates,1951
15_49,female,636291.123,900,estimates,1951
15_59,female,738993.244,900,estimates,1951
15_64,female,778276.363,900,estimates,1951
20_64,female,660023.396,900,estimates,1951
20_69,female,690526.344,900,estimates,1951
25_49,female,407684.971,900,estimates,1951
25_64,female,549670.211,900,estimates,1951
25_69,female,580173.159,900,estimates,1951
15plus,female,852115.817,900,estimates,1951
16plus,female,827509.283,900,estimates,1951
17plus,female,803426.096,900,estimates,1951
18plus,female,779852.255,900,estimates,1951
20plus,female,733862.85,900,estimates,1951
21plus,female,711229.441,900,estimates,1951
25plus,female,623509.665,900,estimates,1951
50plus,female,215824.694,900,estimates,1951
60plus,female,113122.573,900,estimates,1951
65plus,female,73839.454,900,estimates,1951
70plus,female,43336.506,900,estimates,1951
75plus,female,22171.974,900,estimates,1951
80plus,female,9236.195,900,estimates,1951
85plus,female,3156.85,900,estimates,1951
90plus,female,856.582,900,estimates,1951
total,female,1288319.139,900,estimates,1951
0,male,44519.12,900,estimates,1951
0_1,male,80526.217,900,estimates,1951
0_4,male,181337.423,900,estimates,1951
0_14,male,455375.604,900,estimates,1951
0_17,male,530794.246,900,estimates,1951
0_19,male,578532.643,900,estimates,1951
0_24,male,692421.862,900,estimates,1951
3_4,male,64952.556,900,estimates,1951
3_5,male,94894.928,900,estimates,1951
3_6,male,123628.235,900,estimates,1951
4_5,male,61440.15,900,estimates,1951
4_6,male,90173.457,900,estimates,1951
5_14,male,274038.181,900,estimates,1951
5_10,male,167207.346,900,estimates,1951
5_11,male,193893.433,900,estimates,1951
6_9,male,110581.815,900,estimates,1951
6_10,male,137264.974,900,estimates,1951
6_11,male,163951.061,900,estimates,1951
6_12,male,190825.347,900,estimates,1951
7_10,male,108531.667,900,estimates,1951
7_12,male,162092.04,900,estimates,1951
11_16,male,157706.644,900,estimates,1951
11_17,male,182249.477,900,estimates,1951
11_18,male,206287.99,900,estimates,1951
12_14,male,80144.748,900,estimates,1951
12_16,male,131020.557,900,estimates,1951
12_17,male,155563.39,900,estimates,1951
12_18,male,179601.903,900,estimates,1951
13_17,male,128689.104,900,estimates,1951
13_18,male,152727.617,900,estimates,1951
13_19,male,176427.501,900,estimates,1951
15_17,male,75418.642,900,estimates,1951
18_23,male,139738.263,900,estimates,1951
15_24,male,237046.258,900,estimates,1951
15_49,male,639271.631,900,estimates,1951
15_59,male,735885.659,900,estimates,1951
15_64,male,770438.543,900,estimates,1951
20_64,male,647281.504,900,estimates,1951
20_69,male,672638.074,900,estimates,1951
25_49,male,402225.373,900,estimates,1951
25_64,male,533392.285,900,estimates,1951
25_69,male,558748.855,900,estimates,1951
15plus,male,828172.772,900,estimates,1951
16plus,male,802436.14,900,estimates,1951
17plus,male,777296.963,900,estimates,1951
18plus,male,752754.13,900,estimates,1951
20plus,male,705015.733,900,estimates,1951
21plus,male,681561.528,900,estimates,1951
25plus,male,591126.514,900,estimates,1951
50plus,male,188901.141,900,estimates,1951
60plus,male,92287.113,900,estimates,1951
65plus,male,57734.229,900,estimates,1951
70plus,male,32377.659,900,estimates,1951
75plus,male,15602.199,900,estimates,1951
80plus,male,5947.727,900,estimates,1951
85plus,male,1808.746,900,estimates,1951
90plus,male,425.348,900,estimates,1951
total,male,1283548.376,900,estimates,1951
0,female,42730.623,900,estimates,1952
0_1,female,80353.85,900,estimates,1952
0_4,female,182698.563,900,estimates,1952
0_14,female,447675.479,900,estimates,1952
0_17,female,521207.66,900,estimates,1952
0_19,female,567647.45,900,estimates,1952
0_24,female,678710.762,900,estimates,1952
3_4,female,65801.484,900,estimates,1952
3_5,female,95814.965,900,estimates,1952
3_6,female,124356.772,900,estimates,1952
4_5,female,61830.968,900,estimates,1952
4_6,female,90372.775,900,estimates,1952
5_14,female,264976.916,900,estimates,1952
5_10,female,163422.377,900,estimates,1952
5_11,female,188707.096,900,estimates,1952
6_9,female,108012.74,900,estimates,1952
6_10,female,133408.896,900,estimates,1952
6_11,female,158693.615,900,estimates,1952
6_12,female,183996.971,900,estimates,1952
7_10,female,104867.089,900,estimates,1952
7_12,female,155455.164,900,estimates,1952
11_16,female,151132.043,900,estimates,1952
11_17,female,175086.72,900,estimates,1952
11_18,female,198525.357,900,estimates,1952
12_14,female,76269.82,900,estimates,1952
12_16,female,125847.324,900,estimates,1952
12_17,female,149802.001,900,estimates,1952
12_18,female,173240.638,900,estimates,1952
13_17,female,124498.645,900,estimates,1952
13_18,female,147937.282,900,estimates,1952
13_19,female,170938.435,900,estimates,1952
15_17,female,73532.181,900,estimates,1952
18_23,female,135844.502,900,estimates,1952
15_24,female,231035.283,900,estimates,1952
15_49,female,644045.132,900,estimates,1952
15_59,female,748595.531,900,estimates,1952
15_64,female,788083.315,900,estimates,1952
20_64,female,668111.344,900,estimates,1952
20_69,female,699097.863,900,estimates,1952
25_49,female,413009.849,900,estimates,1952
25_64,female,557048.032,900,estimates,1952
25_69,female,588034.551,900,estimates,1952
15plus,female,863488.304,900,estimates,1952
16plus,female,838392.61,900,estimates,1952
17plus,female,813910.8,900,estimates,1952
18plus,female,789956.123,900,estimates,1952
20plus,female,743516.333,900,estimates,1952
21plus,female,720812.654,900,estimates,1952
25plus,female,632453.021,900,estimates,1952
50plus,female,219443.172,900,estimates,1952
60plus,female,114892.773,900,estimates,1952
65plus,female,75404.989,900,estimates,1952
70plus,female,44418.47,900,estimates,1952
75plus,female,22875.842,900,estimates,1952
80plus,female,9689.215,900,estimates,1952
85plus,female,3285.234,900,estimates,1952
90plus,female,911.67,900,estimates,1952
total,female,1311163.783,900,estimates,1952
0,male,44598.123,900,estimates,1952
0_1,male,83791.593,900,estimates,1952
0_4,male,189861.754,900,estimates,1952
0_14,male,467303.694,900,estimates,1952
0_17,male,544113.678,900,estimates,1952
0_19,male,592338.501,900,estimates,1952
0_24,male,707184.012,900,estimates,1952
3_4,male,68262.483,900,estimates,1952
3_5,male,99497.432,900,estimates,1952
3_6,male,129266.449,900,estimates,1952
4_5,male,64276.264,900,estimates,1952
4_6,male,94045.281,900,estimates,1952
5_14,male,277441.94,900,estimates,1952
5_10,male,170909.899,900,estimates,1952
5_11,male,197456.187,900,estimates,1952
6_9,male,113007.924,900,estimates,1952
6_10,male,139674.95,900,estimates,1952
6_11,male,166221.238,900,estimates,1952
6_12,male,192777.353,900,estimates,1952
7_10,male,109905.933,900,estimates,1952
7_12,male,163008.336,900,estimates,1952
11_16,male,158369.259,900,estimates,1952
11_17,male,183342.025,900,estimates,1952
11_18,male,207709.27,900,estimates,1952
12_14,male,79985.753,900,estimates,1952
12_16,male,131822.971,900,estimates,1952
12_17,male,156795.737,900,estimates,1952
12_18,male,181162.982,900,estimates,1952
13_17,male,130239.622,900,estimates,1952
13_18,male,154606.867,900,estimates,1952
13_19,male,178464.445,900,estimates,1952
15_17,male,76809.984,900,estimates,1952
18_23,male,140745.956,900,estimates,1952
15_24,male,239880.318,900,estimates,1952
15_49,male,647718.885,900,estimates,1952
15_59,male,746047.361,900,estimates,1952
15_64,male,780742.277,900,estimates,1952
20_64,male,655707.47,900,estimates,1952
20_69,male,681404.455,900,estimates,1952
25_49,male,407838.567,900,estimates,1952
25_64,male,540861.959,900,estimates,1952
25_69,male,566558.944,900,estimates,1952
15plus,male,839472.922,900,estimates,1952
16plus,male,813211.935,900,estimates,1952
17plus,male,787635.704,900,estimates,1952
18plus,male,762662.938,900,estimates,1952
20plus,male,714438.115,900,estimates,1952
21plus,male,690918.237,900,estimates,1952
25plus,male,599592.604,900,estimates,1952
50plus,male,191754.037,900,estimates,1952
60plus,male,93425.561,900,estimates,1952
65plus,male,58730.645,900,estimates,1952
70plus,male,33033.66,900,estimates,1952
75plus,male,16087.598,900,estimates,1952
80plus,male,6275.316,900,estimates,1952
85plus,male,1897.332,900,estimates,1952
90plus,male,462.796,900,estimates,1952
total,male,1306776.616,900,estimates,1952
0,female,42957.668,900,estimates,1953
0_1,female,82540.024,900,estimates,1953
0_4,female,188924.731,900,estimates,1953
0_14,female,458637.903,900,estimates,1953
0_17,female,533361.622,900,estimates,1953
0_19,female,580515.423,900,estimates,1953
0_24,female,692249.128,900,estimates,1953
3_4,female,68980.876,900,estimates,1953
3_5,female,100415.449,900,estimates,1953
3_6,female,130199.952,900,estimates,1953
4_5,female,64805.258,900,estimates,1953
4_6,female,94589.761,900,estimates,1953
5_14,female,269713.172,900,estimates,1953
5_10,female,168679.516,900,estimates,1953
5_11,female,193931.592,900,estimates,1953
6_9,female,111676.185,900,estimates,1953
6_10,female,137244.943,900,estimates,1953
6_11,female,162497.019,900,estimates,1953
6_12,female,187679.675,900,estimates,1953
7_10,female,107460.44,900,estimates,1953
7_12,female,157895.172,900,estimates,1953
11_16,female,151387.376,900,estimates,1953
11_17,female,175757.375,900,estimates,1953
11_18,female,199595.928,900,estimates,1953
12_14,female,75781.58,900,estimates,1953
12_16,female,126135.3,900,estimates,1953
12_17,female,150505.299,900,estimates,1953
12_18,female,174343.852,900,estimates,1953
13_17,female,125322.643,900,estimates,1953
13_18,female,149161.196,900,estimates,1953
13_19,female,172476.444,900,estimates,1953
15_17,female,74723.719,900,estimates,1953
18_23,female,137050.774,900,estimates,1953
15_24,female,233611.225,900,estimates,1953
15_49,female,652122.68,900,estimates,1953
15_59,female,758777.956,900,estimates,1953
15_64,female,798547.198,900,estimates,1953
20_64,female,676669.678,900,estimates,1953
20_69,female,708167.399,900,estimates,1953
25_49,female,418511.455,900,estimates,1953
25_64,female,564935.973,900,estimates,1953
25_69,female,596433.694,900,estimates,1953
15plus,female,875366.521,900,estimates,1953
16plus,female,849996.508,900,estimates,1953
17plus,female,825012.801,900,estimates,1953
18plus,female,800642.802,900,estimates,1953
20plus,female,753489.001,900,estimates,1953
21plus,female,730617.237,900,estimates,1953
25plus,female,641755.296,900,estimates,1953
50plus,female,223243.841,900,estimates,1953
60plus,female,116588.565,900,estimates,1953
65plus,female,76819.323,900,estimates,1953
70plus,female,45321.602,900,estimates,1953
75plus,female,23373.327,900,estimates,1953
80plus,female,9984.605,900,estimates,1953
85plus,female,3325.026,900,estimates,1953
90plus,female,933.954,900,estimates,1953
total,female,1334004.424,900,estimates,1953
0,male,44810.964,900,estimates,1953
0_1,male,86290.86,900,estimates,1953
0_4,male,196695.924,900,estimates,1953
0_14,male,478716.984,900,estimates,1953
0_17,male,556823.311,900,estimates,1953
