continent,variant,year,medianageofpopulation
908,estimates,1950,28.9365213292072
908,estimates,1955,29.51990787685
908,estimates,1960,30.3141495967924
908,estimates,1965,30.8634002414985
908,estimates,1970,31.736322439753
908,estimates,1975,32.1125565649837
908,estimates,1980,32.6369308105084
908,estimates,1985,33.5171477593157
908,estimates,1990,34.6419209125979
908,estimates,1995,36.0674014499113
908,estimates,2000,37.6680412424002
908,estimates,2005,39.1028952360112
908,estimates,2010,40.3913225304724
908,constant_fertility,2015,41.5977914907952
908,constant_mortality,2015,41.5977914907952
908,estimates,2015,41.5977914907952
908,high_variant,2015,41.5977914907952
908,instant_replacement,2015,41.5977914907952
908,low_variant,2015,41.5977914907952
908,medium_variant,2015,41.5977914907952
908,momentum,2015,41.5977914907952
908,no_change,2015,41.5977914907952
908,zero_migration,2015,41.5977914907952
908,constant_fertility,2020,42.7761696155684
908,constant_mortality,2020,42.6163517538825
908,high_variant,2020,42.4297235842418
908,instant_replacement,2020,42.203126610282
908,low_variant,2020,43.0023336046042
908,medium_variant,2020,42.7160281111269
908,momentum,2020,42.2903167862359
908,no_change,2020,42.6764546125321
908,zero_migration,2020,42.9071380631324
908,constant_fertility,2025,44.0458761366362
908,constant_mortality,2025,43.6052178732592
908,high_variant,2025,43.163132198964
908,instant_replacement,2025,42.9234161281039
908,low_variant,2025,44.5897474828419
908,medium_variant,2025,43.8764399611669
908,momentum,2025,42.990179410229
908,no_change,2025,43.7746736200547
908,zero_migration,2025,44.2308281219401
908,constant_fertility,2030,45.353742327168
908,constant_mortality,2030,44.5644504790292
908,high_variant,2030,43.847568144454
908,instant_replacement,2030,43.7257247579746
908,low_variant,2030,46.2930816546744
908,medium_variant,2030,45.0686889640689
908,momentum,2030,43.717181373196
908,no_change,2030,44.8491359529325
908,zero_migration,2030,45.6058767123638
908,constant_fertility,2035,46.6030367286925
908,constant_mortality,2035,45.4243303738554
908,high_variant,2035,44.4257502374619
908,instant_replacement,2035,44.4439513801868
908,low_variant,2035,47.9355215696484
908,medium_variant,2035,46.2148059395201
908,momentum,2035,44.2548804711551
908,no_change,2035,45.814599456622
908,zero_migration,2035,46.9190509425025
908,constant_fertility,2040,47.4460005264151
908,constant_mortality,2040,45.6107200168348
908,high_variant,2040,44.239143210934
908,instant_replacement,2040,44.4557267261578
908,low_variant,2040,49.3946432772434
908,medium_variant,2040,46.866853307769
908,momentum,2040,43.8709355930048
908,no_change,2040,46.1937343706117
908,zero_migration,2040,47.8081179733148
908,constant_fertility,2045,47.7485271261077
908,constant_mortality,2045,45.0387068657265
908,high_variant,2045,43.2453124278739
908,instant_replacement,2045,43.6659034884468
908,low_variant,2045,50.3825597217658
908,medium_variant,2045,46.8739492259363
908,momentum,2045,42.5453430540538
908,no_change,2045,45.9197241558584
908,zero_migration,2045,47.995755546167
908,constant_fertility,2050,47.7335952665224
908,constant_mortality,2050,44.3622594229645
908,high_variant,2050,42.1828085691548
908,instant_replacement,2050,42.780305220365
908,low_variant,2050,50.9359567327424
908,medium_variant,2050,46.5690848754644
908,momentum,2050,41.2266501378879
908,no_change,2050,45.4937985997688
908,zero_migration,2050,47.6723018835731
908,constant_fertility,2055,47.9014224552648
908,constant_mortality,2055,44.0508522792547
908,high_variant,2055,41.2333106512715
908,instant_replacement,2055,42.0764524745458
908,low_variant,2055,51.5530502702641
908,medium_variant,2055,46.5038463195738
908,momentum,2055,40.1060859012155
908,no_change,2055,45.4400246221511
908,zero_migration,2055,47.530654603572
908,constant_fertility,2060,48.324134204537
908,constant_mortality,2060,43.8840346567511
908,high_variant,2060,40.7390426978888
908,instant_replacement,2060,42.1044917034918
908,low_variant,2060,52.4540247735923
908,medium_variant,2060,46.6518091795709
908,momentum,2060,40.2242620619895
908,no_change,2060,45.5960193269497
908,zero_migration,2060,47.6835440228936
908,constant_fertility,2065,48.8039449481623
908,constant_mortality,2065,43.6772158423143
908,high_variant,2065,40.5092407905628
908,instant_replacement,2065,42.4458430233819
908,low_variant,2065,53.5671073347049
908,medium_variant,2065,46.8178950258345
908,momentum,2065,40.1639189604286
908,no_change,2065,45.6376183016624
908,zero_migration,2065,47.8919787211601
908,constant_fertility,2070,49.1386851200049
908,constant_mortality,2070,43.3623737103249
908,high_variant,2070,40.288157405793
908,instant_replacement,2070,42.5774577457508
908,low_variant,2070,54.7665354492738
908,medium_variant,2070,46.8981008261981
908,momentum,2070,39.797597932356
908,no_change,2070,45.4971726590798
908,zero_migration,2070,47.9818587020118
908,constant_fertility,2075,49.3124317020568
908,constant_mortality,2075,42.9550708401181
908,high_variant,2075,39.9248012622219
908,instant_replacement,2075,42.4868059199415
908,low_variant,2075,55.4188193480369
908,medium_variant,2075,46.8475589539987
908,momentum,2075,39.2642236156555
908,no_change,2075,45.2559027735157
908,zero_migration,2075,47.8857607629497
908,constant_fertility,2080,49.4331411333481
908,constant_mortality,2080,42.6326702166993
908,high_variant,2080,39.6266416387746
908,instant_replacement,2080,42.349801580494
908,low_variant,2080,55.7079237635144
908,medium_variant,2080,46.7468693904491
908,momentum,2080,38.890503936766
908,no_change,2080,45.1037904115829
908,zero_migration,2080,47.6728810419352
908,constant_fertility,2085,49.6642145110246
908,constant_mortality,2085,42.518762189854
908,high_variant,2085,39.5385377536931
908,instant_replacement,2085,42.4001670020382
908,low_variant,2085,55.7414032388398
908,medium_variant,2085,46.7813825853283
908,momentum,2085,38.8322703378392
908,no_change,2085,45.1315635084032
908,zero_migration,2085,47.5873947000894
908,constant_fertility,2090,50.0626477684075
908,constant_mortality,2090,42.5499252868192
908,high_variant,2090,39.6786333480615
908,instant_replacement,2090,42.7352439891029
908,low_variant,2090,55.8834416533564
908,medium_variant,2090,47.0286376290362
908,momentum,2090,39.0336519709644
908,no_change,2090,45.2441736247975
908,zero_migration,2090,47.7716216872071
908,constant_fertility,2095,50.5316571807988
908,constant_mortality,2095,42.5921880090619
908,high_variant,2095,39.9688480014824
908,instant_replacement,2095,43.2770206307473
908,low_variant,2095,56.2333485227544
908,medium_variant,2095,47.4015669527087
908,momentum,2095,39.3018797921744
908,no_change,2095,45.3073785471243
908,zero_migration,2095,48.1339662005584
908,constant_fertility,2100,50.9465133630654
908,constant_mortality,2100,42.5588931936201
908,high_variant,2100,40.2742395059852
908,instant_replacement,2100,43.8557546533708
908,low_variant,2100,56.6864723104275
908,medium_variant,2100,47.7649752704799
908,momentum,2100,39.4144786249327
908,no_change,2100,45.2711616831634
908,zero_migration,2100,48.4940248821292
