region,year,variant,freq,agebroad,totaldeaths
923,1950,estimates,5yearly,0_4,3499.823
923,1950,estimates,5yearly,5_9,161.184
923,1950,estimates,5yearly,10_14,133.627
923,1950,estimates,5yearly,15_19,198.876
923,1950,estimates,5yearly,20_24,276.983
923,1950,estimates,5yearly,25_29,295.587
923,1950,estimates,5yearly,30_34,236.284
923,1950,estimates,5yearly,35_39,275.748
923,1950,estimates,5yearly,40_44,386.454
923,1950,estimates,5yearly,45_49,476.349
923,1950,estimates,5yearly,50_54,559.878
923,1950,estimates,5yearly,55_59,654.894
923,1950,estimates,5yearly,60_64,811.308
923,1950,estimates,5yearly,65_69,999.601
923,1950,estimates,5yearly,70_74,1122.264
923,1950,estimates,5yearly,75_79,1105.403
923,1950,estimates,5yearly,80_84,833.717
923,1950,estimates,5yearly,85_89,452.741
923,1950,estimates,5yearly,90_94,193.361
923,1950,estimates,5yearly,95plus,71.377
923,1950,estimates,5yearly,0_14,3794.634
923,1950,estimates,5yearly,0_19,3993.51
923,1950,estimates,5yearly,0_24,4270.493
923,1950,estimates,5yearly,5_14,294.811
923,1950,estimates,5yearly,15plus,8950.825
923,1950,estimates,5yearly,15_24,475.859
923,1950,estimates,5yearly,15_49,2146.281
923,1950,estimates,5yearly,15_59,3361.053
923,1950,estimates,5yearly,15_64,4172.361
923,1950,estimates,5yearly,20plus,8751.949
923,1950,estimates,5yearly,20_64,3973.485
923,1950,estimates,5yearly,20_69,4973.086
923,1950,estimates,5yearly,25plus,8474.966
923,1950,estimates,5yearly,25_69,4696.103
923,1950,estimates,5yearly,40plus,7667.347
923,1950,estimates,5yearly,50plus,6804.544
923,1950,estimates,5yearly,60plus,5589.772
923,1950,estimates,5yearly,65plus,4778.464
923,1950,estimates,5yearly,70plus,3778.863
923,1950,estimates,5yearly,80plus,1551.196
923,1950,estimates,5yearly,90plus,264.738
923,1955,estimates,5yearly,0_4,2147.067
923,1955,estimates,5yearly,5_9,118.894
923,1955,estimates,5yearly,10_14,79.76
923,1955,estimates,5yearly,15_19,126.907
923,1955,estimates,5yearly,20_24,198.493
923,1955,estimates,5yearly,25_29,238.282
923,1955,estimates,5yearly,30_34,255.299
923,1955,estimates,5yearly,35_39,221.384
923,1955,estimates,5yearly,40_44,282.526
923,1955,estimates,5yearly,45_49,433.912
923,1955,estimates,5yearly,50_54,564.517
923,1955,estimates,5yearly,55_59,691.508
923,1955,estimates,5yearly,60_64,832.015
923,1955,estimates,5yearly,65_69,1025.4
923,1955,estimates,5yearly,70_74,1210.779
923,1955,estimates,5yearly,75_79,1196.97
923,1955,estimates,5yearly,80_84,959.345
923,1955,estimates,5yearly,85_89,537.92
923,1955,estimates,5yearly,90_94,191.92
923,1955,estimates,5yearly,95plus,56.464
923,1955,estimates,5yearly,0_14,2345.721
923,1955,estimates,5yearly,0_19,2472.628
923,1955,estimates,5yearly,0_24,2671.121
923,1955,estimates,5yearly,5_14,198.654
923,1955,estimates,5yearly,15plus,9023.641
923,1955,estimates,5yearly,15_24,325.4
923,1955,estimates,5yearly,15_49,1756.803
923,1955,estimates,5yearly,15_59,3012.828
923,1955,estimates,5yearly,15_64,3844.843
923,1955,estimates,5yearly,20plus,8896.734
923,1955,estimates,5yearly,20_64,3717.936
923,1955,estimates,5yearly,20_69,4743.336
923,1955,estimates,5yearly,25plus,8698.241
923,1955,estimates,5yearly,25_69,4544.843
923,1955,estimates,5yearly,40plus,7983.276
923,1955,estimates,5yearly,50plus,7266.838
923,1955,estimates,5yearly,60plus,6010.813
923,1955,estimates,5yearly,65plus,5178.798
923,1955,estimates,5yearly,70plus,4153.398
923,1955,estimates,5yearly,80plus,1745.649
923,1955,estimates,5yearly,90plus,248.384
923,1960,estimates,5yearly,0_4,1203.343
923,1960,estimates,5yearly,5_9,79.759
923,1960,estimates,5yearly,10_14,75.042
923,1960,estimates,5yearly,15_19,91.957
923,1960,estimates,5yearly,20_24,149.247
923,1960,estimates,5yearly,25_29,201.801
923,1960,estimates,5yearly,30_34,242.021
923,1960,estimates,5yearly,35_39,275.009
923,1960,estimates,5yearly,40_44,252.676
923,1960,estimates,5yearly,45_49,345.779
923,1960,estimates,5yearly,50_54,547.787
923,1960,estimates,5yearly,55_59,728.195
923,1960,estimates,5yearly,60_64,914.973
923,1960,estimates,5yearly,65_69,1088.799
923,1960,estimates,5yearly,70_74,1277.235
923,1960,estimates,5yearly,75_79,1362.562
923,1960,estimates,5yearly,80_84,1083.585
923,1960,estimates,5yearly,85_89,617.759
923,1960,estimates,5yearly,90_94,237.771
923,1960,estimates,5yearly,95plus,55.603
923,1960,estimates,5yearly,0_14,1358.144
923,1960,estimates,5yearly,0_19,1450.101
923,1960,estimates,5yearly,0_24,1599.348
923,1960,estimates,5yearly,5_14,154.801
923,1960,estimates,5yearly,15plus,9472.759
923,1960,estimates,5yearly,15_24,241.204
923,1960,estimates,5yearly,15_49,1558.49
923,1960,estimates,5yearly,15_59,2834.472
923,1960,estimates,5yearly,15_64,3749.445
923,1960,estimates,5yearly,20plus,9380.802
923,1960,estimates,5yearly,20_64,3657.488
923,1960,estimates,5yearly,20_69,4746.287
923,1960,estimates,5yearly,25plus,9231.555
923,1960,estimates,5yearly,25_69,4597.04
923,1960,estimates,5yearly,40plus,8512.724
923,1960,estimates,5yearly,50plus,7914.269
923,1960,estimates,5yearly,60plus,6638.287
923,1960,estimates,5yearly,65plus,5723.314
923,1960,estimates,5yearly,70plus,4634.515
923,1960,estimates,5yearly,80plus,1994.718
923,1960,estimates,5yearly,90plus,293.374
923,1965,estimates,5yearly,0_4,846.748
923,1965,estimates,5yearly,5_9,64.44
923,1965,estimates,5yearly,10_14,72.329
923,1965,estimates,5yearly,15_19,106.993
923,1965,estimates,5yearly,20_24,129.198
923,1965,estimates,5yearly,25_29,181.525
923,1965,estimates,5yearly,30_34,251.132
923,1965,estimates,5yearly,35_39,315.593
923,1965,estimates,5yearly,40_44,381.036
923,1965,estimates,5yearly,45_49,367.779
923,1965,estimates,5yearly,50_54,509.358
923,1965,estimates,5yearly,55_59,817.953
923,1965,estimates,5yearly,60_64,1081.854
923,1965,estimates,5yearly,65_69,1308.036
923,1965,estimates,5yearly,70_74,1452.594
923,1965,estimates,5yearly,75_79,1525.591
923,1965,estimates,5yearly,80_84,1321.948
923,1965,estimates,5yearly,85_89,748.593
923,1965,estimates,5yearly,90_94,278.035
923,1965,estimates,5yearly,95plus,69.609
923,1965,estimates,5yearly,0_14,983.517
923,1965,estimates,5yearly,0_19,1090.51
923,1965,estimates,5yearly,0_24,1219.708
923,1965,estimates,5yearly,5_14,136.769
923,1965,estimates,5yearly,15plus,10846.827
923,1965,estimates,5yearly,15_24,236.191
923,1965,estimates,5yearly,15_49,1733.256
923,1965,estimates,5yearly,15_59,3060.567
923,1965,estimates,5yearly,15_64,4142.421
923,1965,estimates,5yearly,20plus,10739.834
923,1965,estimates,5yearly,20_64,4035.428
923,1965,estimates,5yearly,20_69,5343.464
923,1965,estimates,5yearly,25plus,10610.636
923,1965,estimates,5yearly,25_69,5214.266
923,1965,estimates,5yearly,40plus,9862.386
923,1965,estimates,5yearly,50plus,9113.571
923,1965,estimates,5yearly,60plus,7786.26
923,1965,estimates,5yearly,65plus,6704.406
923,1965,estimates,5yearly,70plus,5396.37
923,1965,estimates,5yearly,80plus,2418.185
923,1965,estimates,5yearly,90plus,347.644
923,1970,estimates,5yearly,0_4,754.738
923,1970,estimates,5yearly,5_9,53.678
923,1970,estimates,5yearly,10_14,65.99
923,1970,estimates,5yearly,15_19,118.46
923,1970,estimates,5yearly,20_24,169.361
923,1970,estimates,5yearly,25_29,170.013
923,1970,estimates,5yearly,30_34,238.434
923,1970,estimates,5yearly,35_39,342.316
923,1970,estimates,5yearly,40_44,450.748
923,1970,estimates,5yearly,45_49,561.53
923,1970,estimates,5yearly,50_54,546.792
923,1970,estimates,5yearly,55_59,759.669
923,1970,estimates,5yearly,60_64,1217.75
923,1970,estimates,5yearly,65_69,1563.083
923,1970,estimates,5yearly,70_74,1756.931
923,1970,estimates,5yearly,75_79,1723.995
923,1970,estimates,5yearly,80_84,1473.204
923,1970,estimates,5yearly,85_89,920.966
923,1970,estimates,5yearly,90_94,345.895
923,1970,estimates,5yearly,95plus,84.095
923,1970,estimates,5yearly,0_14,874.406
923,1970,estimates,5yearly,0_19,992.866
923,1970,estimates,5yearly,0_24,1162.227
923,1970,estimates,5yearly,5_14,119.668
923,1970,estimates,5yearly,15plus,12443.242
923,1970,estimates,5yearly,15_24,287.821
923,1970,estimates,5yearly,15_49,2050.862
923,1970,estimates,5yearly,15_59,3357.323
923,1970,estimates,5yearly,15_64,4575.073
923,1970,estimates,5yearly,20plus,12324.782
923,1970,estimates,5yearly,20_64,4456.613
923,1970,estimates,5yearly,20_69,6019.696
923,1970,estimates,5yearly,25plus,12155.421
923,1970,estimates,5yearly,25_69,5850.335
923,1970,estimates,5yearly,40plus,11404.658
923,1970,estimates,5yearly,50plus,10392.38
923,1970,estimates,5yearly,60plus,9085.919
923,1970,estimates,5yearly,65plus,7868.169
923,1970,estimates,5yearly,70plus,6305.086
923,1970,estimates,5yearly,80plus,2824.16
923,1970,estimates,5yearly,90plus,429.99
