region,year,variant,freq,agebroad,totaldeaths
957,1965,estimates,5yearly,15_19,0.443
957,1965,estimates,5yearly,20_24,0.5
957,1965,estimates,5yearly,25_29,0.524
957,1965,estimates,5yearly,30_34,0.541
957,1965,estimates,5yearly,35_39,0.586
957,1965,estimates,5yearly,40_44,0.66
957,1965,estimates,5yearly,45_49,0.764
957,1965,estimates,5yearly,50_54,0.898
957,1965,estimates,5yearly,55_59,1.021
957,1965,estimates,5yearly,60_64,1.107
957,1965,estimates,5yearly,65_69,1.182
957,1965,estimates,5yearly,70_74,1.032
957,1965,estimates,5yearly,75_79,0.838
957,1965,estimates,5yearly,80_84,0.575
957,1965,estimates,5yearly,85_89,0.263
957,1965,estimates,5yearly,90_94,0.091
957,1965,estimates,5yearly,95plus,0.013
957,1965,estimates,5yearly,0_14,7.555
957,1965,estimates,5yearly,0_19,7.998
957,1965,estimates,5yearly,0_24,8.498
957,1965,estimates,5yearly,5_14,0.784
957,1965,estimates,5yearly,15plus,11.038
957,1965,estimates,5yearly,15_24,0.943
957,1965,estimates,5yearly,15_49,4.018
957,1965,estimates,5yearly,15_59,5.937
957,1965,estimates,5yearly,15_64,7.044
957,1965,estimates,5yearly,20plus,10.595
957,1965,estimates,5yearly,20_64,6.601
957,1965,estimates,5yearly,20_69,7.783
957,1965,estimates,5yearly,25plus,10.095
957,1965,estimates,5yearly,25_69,7.283
957,1965,estimates,5yearly,40plus,8.444
957,1965,estimates,5yearly,50plus,7.02
957,1965,estimates,5yearly,60plus,5.101
957,1965,estimates,5yearly,65plus,3.994
957,1965,estimates,5yearly,70plus,2.812
957,1965,estimates,5yearly,80plus,0.942
957,1965,estimates,5yearly,90plus,0.104
957,1970,estimates,5yearly,0_4,5.871
957,1970,estimates,5yearly,5_9,0.395
957,1970,estimates,5yearly,10_14,0.347
957,1970,estimates,5yearly,15_19,0.467
957,1970,estimates,5yearly,20_24,0.489
957,1970,estimates,5yearly,25_29,0.457
957,1970,estimates,5yearly,30_34,0.498
957,1970,estimates,5yearly,35_39,0.565
957,1970,estimates,5yearly,40_44,0.654
957,1970,estimates,5yearly,45_49,0.787
957,1970,estimates,5yearly,50_54,0.947
957,1970,estimates,5yearly,55_59,1.098
957,1970,estimates,5yearly,60_64,1.226
957,1970,estimates,5yearly,65_69,1.288
957,1970,estimates,5yearly,70_74,1.213
957,1970,estimates,5yearly,75_79,0.896
957,1970,estimates,5yearly,80_84,0.613
957,1970,estimates,5yearly,85_89,0.335
957,1970,estimates,5yearly,90_94,0.111
957,1970,estimates,5yearly,95plus,0.02
957,1970,estimates,5yearly,0_14,6.613
957,1970,estimates,5yearly,0_19,7.08
957,1970,estimates,5yearly,0_24,7.569
957,1970,estimates,5yearly,5_14,0.742
957,1970,estimates,5yearly,15plus,11.664
957,1970,estimates,5yearly,15_24,0.956
957,1970,estimates,5yearly,15_49,3.917
957,1970,estimates,5yearly,15_59,5.962
957,1970,estimates,5yearly,15_64,7.188
957,1970,estimates,5yearly,20plus,11.197
957,1970,estimates,5yearly,20_64,6.721
957,1970,estimates,5yearly,20_69,8.009
957,1970,estimates,5yearly,25plus,10.708
957,1970,estimates,5yearly,25_69,7.52
957,1970,estimates,5yearly,40plus,9.188
957,1970,estimates,5yearly,50plus,7.747
957,1970,estimates,5yearly,60plus,5.702
957,1970,estimates,5yearly,65plus,4.476
957,1970,estimates,5yearly,70plus,3.188
957,1970,estimates,5yearly,80plus,1.079
957,1970,estimates,5yearly,90plus,0.131
957,1975,estimates,5yearly,0_4,4.976
957,1975,estimates,5yearly,5_9,0.324
957,1975,estimates,5yearly,10_14,0.322
957,1975,estimates,5yearly,15_19,0.459
957,1975,estimates,5yearly,20_24,0.513
957,1975,estimates,5yearly,25_29,0.451
957,1975,estimates,5yearly,30_34,0.442
957,1975,estimates,5yearly,35_39,0.524
957,1975,estimates,5yearly,40_44,0.638
957,1975,estimates,5yearly,45_49,0.787
957,1975,estimates,5yearly,50_54,0.99
957,1975,estimates,5yearly,55_59,1.171
957,1975,estimates,5yearly,60_64,1.334
957,1975,estimates,5yearly,65_69,1.424
957,1975,estimates,5yearly,70_74,1.347
