variant,country,year,populationgrowthrate
estimates,48,1950,1.051
estimates,48,1951,1.69
estimates,48,1952,2.771
estimates,48,1953,3.498
estimates,48,1954,3.929
estimates,48,1955,4.12
estimates,48,1956,4.137
estimates,48,1957,4.038
estimates,48,1958,3.867
estimates,48,1959,3.653
estimates,48,1960,3.425
estimates,48,1961,3.195
estimates,48,1962,2.962
estimates,48,1963,2.737
estimates,48,1964,2.542
estimates,48,1965,2.374
estimates,48,1966,2.251
estimates,48,1967,2.261
estimates,48,1968,2.482
estimates,48,1969,2.893
estimates,48,1970,3.348
estimates,48,1971,3.748
estimates,48,1972,4.181
estimates,48,1973,4.734
estimates,48,1974,5.343
estimates,48,1975,5.951
estimates,48,1976,6.439
estimates,48,1977,6.551
estimates,48,1978,6.142
estimates,48,1979,5.334
estimates,48,1980,4.372
estimates,48,1981,3.496
estimates,48,1982,2.899
estimates,48,1983,2.683
estimates,48,1984,2.817
estimates,48,1985,3.124
estimates,48,1986,3.403
estimates,48,1987,3.531
estimates,48,1988,3.455
estimates,48,1989,3.198
estimates,48,1990,2.895
estimates,48,1991,2.666
estimates,48,1992,2.529
estimates,48,1993,2.471
estimates,48,1994,2.499
estimates,48,1995,2.578
estimates,48,1996,2.696
estimates,48,1997,2.939
estimates,48,1998,3.381
estimates,48,1999,3.985
estimates,48,2000,4.576
estimates,48,2001,5.043
estimates,48,2002,5.503
estimates,48,2003,6.059
estimates,48,2004,6.632
estimates,48,2005,7.202
estimates,48,2006,7.637
estimates,48,2007,7.548
estimates,48,2008,6.725
estimates,48,2009,5.366
estimates,48,2010,3.787
estimates,48,2011,2.336
estimates,48,2012,1.432
estimates,48,2013,1.372
estimates,48,2014,2.101
estimates,48,2015,3.216
medium_variant,48,2015,3.216
medium_variant,48,2016,4.217
medium_variant,48,2017,4.743
medium_variant,48,2018,4.645
medium_variant,48,2019,4.008
medium_variant,48,2020,3.147
medium_variant,48,2021,2.368
medium_variant,48,2022,1.806
medium_variant,48,2023,1.508
medium_variant,48,2024,1.47
medium_variant,48,2025,1.557
medium_variant,48,2026,1.625
medium_variant,48,2027,1.631
medium_variant,48,2028,1.575
medium_variant,48,2029,1.455
medium_variant,48,2030,1.311
medium_variant,48,2031,1.183
medium_variant,48,2032,1.08
medium_variant,48,2033,0.996
medium_variant,48,2034,0.934
medium_variant,48,2035,0.883
medium_variant,48,2036,0.834
medium_variant,48,2037,0.787
medium_variant,48,2038,0.746
medium_variant,48,2039,0.707
medium_variant,48,2040,0.674
medium_variant,48,2041,0.643
medium_variant,48,2042,0.614
medium_variant,48,2043,0.586
medium_variant,48,2044,0.559
medium_variant,48,2045,0.533
medium_variant,48,2046,0.509
medium_variant,48,2047,0.486
medium_variant,48,2048,0.463
medium_variant,48,2049,0.441
medium_variant,48,2050,0.42
medium_variant,48,2051,0.399
medium_variant,48,2052,0.379
medium_variant,48,2053,0.361
medium_variant,48,2054,0.343
medium_variant,48,2055,0.326
medium_variant,48,2056,0.31
medium_variant,48,2057,0.293
medium_variant,48,2058,0.276
medium_variant,48,2059,0.258
medium_variant,48,2060,0.241
medium_variant,48,2061,0.223
medium_variant,48,2062,0.205
medium_variant,48,2063,0.186
medium_variant,48,2064,0.168
medium_variant,48,2065,0.149
medium_variant,48,2066,0.13
medium_variant,48,2067,0.11
medium_variant,48,2068,0.09
medium_variant,48,2069,0.069
medium_variant,48,2070,0.048
medium_variant,48,2071,0.027
medium_variant,48,2072,0.006
medium_variant,48,2073,-0.016
medium_variant,48,2074,-0.039
medium_variant,48,2075,-0.062
medium_variant,48,2076,-0.085
medium_variant,48,2077,-0.109
medium_variant,48,2078,-0.132
medium_variant,48,2079,-0.156
medium_variant,48,2080,-0.179
medium_variant,48,2081,-0.203
medium_variant,48,2082,-0.226
medium_variant,48,2083,-0.25
medium_variant,48,2084,-0.274
medium_variant,48,2085,-0.297
medium_variant,48,2086,-0.32
medium_variant,48,2087,-0.343
medium_variant,48,2088,-0.364
medium_variant,48,2089,-0.384
medium_variant,48,2090,-0.404
medium_variant,48,2091,-0.422
medium_variant,48,2092,-0.438
medium_variant,48,2093,-0.453
medium_variant,48,2094,-0.467
medium_variant,48,2095,-0.478
medium_variant,48,2096,-0.488
medium_variant,48,2097,-0.495
medium_variant,48,2098,-0.5
medium_variant,48,2099,-0.502
