variant,country,year,populationgrowthrate
estimates,52,1950,2.208
estimates,52,1951,2.008
estimates,52,1952,1.621
estimates,52,1953,1.264
estimates,52,1954,0.948
estimates,52,1955,0.681
estimates,52,1956,0.469
estimates,52,1957,0.323
estimates,52,1958,0.247
estimates,52,1959,0.241
estimates,52,1960,0.288
estimates,52,1961,0.355
estimates,52,1962,0.41
estimates,52,1963,0.42
estimates,52,1964,0.381
estimates,52,1965,0.318
estimates,52,1966,0.264
estimates,52,1967,0.244
estimates,52,1968,0.272
estimates,52,1969,0.346
estimates,52,1970,0.444
estimates,52,1971,0.54
estimates,52,1972,0.609
estimates,52,1973,0.637
estimates,52,1974,0.625
estimates,52,1975,0.59
estimates,52,1976,0.556
estimates,52,1977,0.52
estimates,52,1978,0.479
estimates,52,1979,0.43
estimates,52,1980,0.377
estimates,52,1981,0.325
estimates,52,1982,0.283
estimates,52,1983,0.266
estimates,52,1984,0.275
estimates,52,1985,0.301
estimates,52,1986,0.329
estimates,52,1987,0.348
estimates,52,1988,0.357
estimates,52,1989,0.356
estimates,52,1990,0.349
estimates,52,1991,0.346
estimates,52,1992,0.346
estimates,52,1993,0.348
estimates,52,1994,0.354
estimates,52,1995,0.364
estimates,52,1996,0.373
estimates,52,1997,0.376
estimates,52,1998,0.369
estimates,52,1999,0.353
estimates,52,2000,0.327
estimates,52,2001,0.301
estimates,52,2002,0.29
estimates,52,2003,0.296
estimates,52,2004,0.321
estimates,52,2005,0.355
estimates,52,2006,0.389
estimates,52,2007,0.413
estimates,52,2008,0.418
estimates,52,2009,0.404
estimates,52,2010,0.381
estimates,52,2011,0.359
estimates,52,2012,0.339
estimates,52,2013,0.319
estimates,52,2014,0.301
estimates,52,2015,0.283
medium_variant,52,2015,0.283
medium_variant,52,2016,0.264
medium_variant,52,2017,0.244
medium_variant,52,2018,0.225
medium_variant,52,2019,0.206
medium_variant,52,2020,0.184
medium_variant,52,2021,0.167
medium_variant,52,2022,0.149
medium_variant,52,2023,0.127
medium_variant,52,2024,0.105
medium_variant,52,2025,0.086
medium_variant,52,2026,0.064
medium_variant,52,2027,0.043
medium_variant,52,2028,0.023
medium_variant,52,2029,0.001
medium_variant,52,2030,-0.018
medium_variant,52,2031,-0.038
medium_variant,52,2032,-0.058
medium_variant,52,2033,-0.075
medium_variant,52,2034,-0.095
medium_variant,52,2035,-0.114
medium_variant,52,2036,-0.131
medium_variant,52,2037,-0.146
medium_variant,52,2038,-0.161
medium_variant,52,2039,-0.176
medium_variant,52,2040,-0.187
medium_variant,52,2041,-0.198
medium_variant,52,2042,-0.21
medium_variant,52,2043,-0.219
medium_variant,52,2044,-0.228
medium_variant,52,2045,-0.235
medium_variant,52,2046,-0.24
medium_variant,52,2047,-0.246
medium_variant,52,2048,-0.251
medium_variant,52,2049,-0.253
medium_variant,52,2050,-0.253
medium_variant,52,2051,-0.255
medium_variant,52,2052,-0.256
medium_variant,52,2053,-0.252
medium_variant,52,2054,-0.249
medium_variant,52,2055,-0.246
medium_variant,52,2056,-0.243
medium_variant,52,2057,-0.242
medium_variant,52,2058,-0.236
medium_variant,52,2059,-0.229
medium_variant,52,2060,-0.224
medium_variant,52,2061,-0.218
medium_variant,52,2062,-0.213
medium_variant,52,2063,-0.207
medium_variant,52,2064,-0.202
medium_variant,52,2065,-0.198
medium_variant,52,2066,-0.192
medium_variant,52,2067,-0.188
medium_variant,52,2068,-0.184
medium_variant,52,2069,-0.18
medium_variant,52,2070,-0.177
medium_variant,52,2071,-0.172
medium_variant,52,2072,-0.169
medium_variant,52,2073,-0.167
medium_variant,52,2074,-0.164
medium_variant,52,2075,-0.162
medium_variant,52,2076,-0.161
medium_variant,52,2077,-0.16
medium_variant,52,2078,-0.158
medium_variant,52,2079,-0.159
medium_variant,52,2080,-0.159
medium_variant,52,2081,-0.16
medium_variant,52,2082,-0.161
medium_variant,52,2083,-0.16
medium_variant,52,2084,-0.161
medium_variant,52,2085,-0.162
medium_variant,52,2086,-0.163
medium_variant,52,2087,-0.162
medium_variant,52,2088,-0.164
medium_variant,52,2089,-0.167
medium_variant,52,2090,-0.168
medium_variant,52,2091,-0.168
medium_variant,52,2092,-0.169
medium_variant,52,2093,-0.173
medium_variant,52,2094,-0.174
medium_variant,52,2095,-0.172
medium_variant,52,2096,-0.174
medium_variant,52,2097,-0.174
medium_variant,52,2098,-0.173
medium_variant,52,2099,-0.176
