variant,country,year,populationgrowthrate
estimates,288,1950,1.743
estimates,288,1951,2.068
estimates,288,1952,2.602
estimates,288,1953,2.928
estimates,288,1954,3.098
estimates,288,1955,3.163
estimates,288,1956,3.17
estimates,288,1957,3.155
estimates,288,1958,3.147
estimates,288,1959,3.154
estimates,288,1960,3.166
estimates,288,1961,3.154
estimates,288,1962,3.084
estimates,288,1963,2.931
estimates,288,1964,2.712
estimates,288,1965,2.452
estimates,288,1966,2.2
estimates,288,1967,2.049
estimates,288,1968,2.066
estimates,288,1969,2.236
estimates,288,1970,2.497
estimates,288,1971,2.753
estimates,288,1972,2.877
estimates,288,1973,2.787
estimates,288,1974,2.51
estimates,288,1975,2.136
estimates,288,1976,1.791
estimates,288,1977,1.625
estimates,288,1978,1.74
estimates,288,1979,2.116
estimates,288,1980,2.617
estimates,288,1981,3.079
estimates,288,1982,3.38
estimates,288,1983,3.46
estimates,288,1984,3.338
estimates,288,1985,3.122
estimates,288,1986,2.922
estimates,288,1987,2.782
estimates,288,1988,2.716
estimates,288,1989,2.718
estimates,288,1990,2.753
estimates,288,1991,2.778
estimates,288,1992,2.771
estimates,288,1993,2.725
estimates,288,1994,2.646
estimates,288,1995,2.553
estimates,288,1996,2.469
estimates,288,1997,2.416
estimates,288,1998,2.408
estimates,288,1999,2.441
estimates,288,2000,2.491
estimates,288,2001,2.537
estimates,288,2002,2.572
estimates,288,2003,2.596
estimates,288,2004,2.609
estimates,288,2005,2.615
estimates,288,2006,2.618
estimates,288,2007,2.611
estimates,288,2008,2.583
estimates,288,2009,2.539
estimates,288,2010,2.485
estimates,288,2011,2.43
estimates,288,2012,2.38
estimates,288,2013,2.334
estimates,288,2014,2.293
estimates,288,2015,2.256
medium_variant,288,2015,2.256
medium_variant,288,2016,2.217
medium_variant,288,2017,2.18
medium_variant,288,2018,2.144
medium_variant,288,2019,2.11
medium_variant,288,2020,2.078
medium_variant,288,2021,2.047
medium_variant,288,2022,2.016
medium_variant,288,2023,1.987
medium_variant,288,2024,1.958
medium_variant,288,2025,1.93
medium_variant,288,2026,1.904
medium_variant,288,2027,1.878
medium_variant,288,2028,1.854
medium_variant,288,2029,1.832
medium_variant,288,2030,1.81
medium_variant,288,2031,1.789
medium_variant,288,2032,1.768
medium_variant,288,2033,1.747
medium_variant,288,2034,1.725
medium_variant,288,2035,1.704
medium_variant,288,2036,1.682
medium_variant,288,2037,1.661
medium_variant,288,2038,1.64
medium_variant,288,2039,1.619
medium_variant,288,2040,1.598
medium_variant,288,2041,1.577
medium_variant,288,2042,1.555
medium_variant,288,2043,1.532
medium_variant,288,2044,1.507
medium_variant,288,2045,1.481
medium_variant,288,2046,1.456
medium_variant,288,2047,1.43
medium_variant,288,2048,1.403
medium_variant,288,2049,1.375
medium_variant,288,2050,1.347
medium_variant,288,2051,1.319
medium_variant,288,2052,1.292
medium_variant,288,2053,1.265
medium_variant,288,2054,1.239
medium_variant,288,2055,1.213
medium_variant,288,2056,1.188
medium_variant,288,2057,1.163
medium_variant,288,2058,1.14
medium_variant,288,2059,1.117
medium_variant,288,2060,1.095
medium_variant,288,2061,1.073
medium_variant,288,2062,1.052
medium_variant,288,2063,1.032
medium_variant,288,2064,1.012
medium_variant,288,2065,0.992
medium_variant,288,2066,0.973
medium_variant,288,2067,0.954
medium_variant,288,2068,0.935
medium_variant,288,2069,0.915
medium_variant,288,2070,0.896
medium_variant,288,2071,0.877
medium_variant,288,2072,0.857
medium_variant,288,2073,0.838
medium_variant,288,2074,0.818
medium_variant,288,2075,0.798
medium_variant,288,2076,0.778
medium_variant,288,2077,0.759
medium_variant,288,2078,0.739
medium_variant,288,2079,0.719
medium_variant,288,2080,0.7
medium_variant,288,2081,0.68
medium_variant,288,2082,0.661
medium_variant,288,2083,0.641
medium_variant,288,2084,0.62
medium_variant,288,2085,0.6
medium_variant,288,2086,0.579
medium_variant,288,2087,0.56
medium_variant,288,2088,0.541
medium_variant,288,2089,0.523
medium_variant,288,2090,0.506
medium_variant,288,2091,0.489
medium_variant,288,2092,0.473
medium_variant,288,2093,0.456
medium_variant,288,2094,0.441
medium_variant,288,2095,0.425
medium_variant,288,2096,0.41
medium_variant,288,2097,0.396
medium_variant,288,2098,0.382
medium_variant,288,2099,0.37
