variant,country,year,populationgrowthrate
estimates,360,1950,1.889
estimates,360,1951,1.951
estimates,360,1952,2.071
estimates,360,1953,2.185
estimates,360,1954,2.29
estimates,360,1955,2.383
estimates,360,1956,2.462
estimates,360,1957,2.526
estimates,360,1958,2.574
estimates,360,1959,2.607
estimates,360,1960,2.629
estimates,360,1961,2.643
estimates,360,1962,2.656
estimates,360,1963,2.672
estimates,360,1964,2.69
estimates,360,1965,2.706
estimates,360,1966,2.716
estimates,360,1967,2.716
estimates,360,1968,2.707
estimates,360,1969,2.689
estimates,360,1970,2.666
estimates,360,1971,2.639
estimates,360,1972,2.611
estimates,360,1973,2.578
estimates,360,1974,2.543
estimates,360,1975,2.504
estimates,360,1976,2.462
estimates,360,1977,2.423
estimates,360,1978,2.393
estimates,360,1979,2.369
estimates,360,1980,2.348
estimates,360,1981,2.324
estimates,360,1982,2.287
estimates,360,1983,2.231
estimates,360,1984,2.157
estimates,360,1985,2.075
estimates,360,1986,1.995
estimates,360,1987,1.922
estimates,360,1988,1.859
estimates,360,1989,1.806
estimates,360,1990,1.759
estimates,360,1991,1.714
estimates,360,1992,1.668
estimates,360,1993,1.619
estimates,360,1994,1.567
estimates,360,1995,1.516
estimates,360,1996,1.468
estimates,360,1997,1.43
estimates,360,1998,1.406
estimates,360,1999,1.396
estimates,360,2000,1.393
estimates,360,2001,1.391
estimates,360,2002,1.388
estimates,360,2003,1.384
estimates,360,2004,1.379
estimates,360,2005,1.373
estimates,360,2006,1.365
estimates,360,2007,1.357
estimates,360,2008,1.345
estimates,360,2009,1.33
estimates,360,2010,1.313
estimates,360,2011,1.294
estimates,360,2012,1.271
estimates,360,2013,1.24
estimates,360,2014,1.202
estimates,360,2015,1.159
medium_variant,360,2015,1.159
medium_variant,360,2016,1.116
medium_variant,360,2017,1.076
medium_variant,360,2018,1.039
medium_variant,360,2019,1.007
medium_variant,360,2020,0.977
medium_variant,360,2021,0.947
medium_variant,360,2022,0.916
medium_variant,360,2023,0.884
medium_variant,360,2024,0.853
medium_variant,360,2025,0.822
medium_variant,360,2026,0.791
medium_variant,360,2027,0.761
medium_variant,360,2028,0.732
medium_variant,360,2029,0.705
medium_variant,360,2030,0.677
medium_variant,360,2031,0.651
medium_variant,360,2032,0.624
medium_variant,360,2033,0.597
medium_variant,360,2034,0.57
medium_variant,360,2035,0.543
medium_variant,360,2036,0.517
medium_variant,360,2037,0.491
medium_variant,360,2038,0.465
medium_variant,360,2039,0.44
medium_variant,360,2040,0.416
medium_variant,360,2041,0.392
medium_variant,360,2042,0.368
medium_variant,360,2043,0.344
medium_variant,360,2044,0.319
medium_variant,360,2045,0.295
medium_variant,360,2046,0.272
medium_variant,360,2047,0.249
medium_variant,360,2048,0.227
medium_variant,360,2049,0.206
medium_variant,360,2050,0.186
medium_variant,360,2051,0.166
medium_variant,360,2052,0.147
medium_variant,360,2053,0.129
medium_variant,360,2054,0.112
medium_variant,360,2055,0.095
medium_variant,360,2056,0.079
medium_variant,360,2057,0.063
medium_variant,360,2058,0.049
medium_variant,360,2059,0.035
medium_variant,360,2060,0.021
medium_variant,360,2061,0.009
medium_variant,360,2062,-0.003
medium_variant,360,2063,-0.014
medium_variant,360,2064,-0.025
medium_variant,360,2065,-0.034
medium_variant,360,2066,-0.043
medium_variant,360,2067,-0.052
medium_variant,360,2068,-0.061
medium_variant,360,2069,-0.07
medium_variant,360,2070,-0.079
medium_variant,360,2071,-0.088
medium_variant,360,2072,-0.096
medium_variant,360,2073,-0.105
medium_variant,360,2074,-0.113
medium_variant,360,2075,-0.121
medium_variant,360,2076,-0.129
medium_variant,360,2077,-0.137
medium_variant,360,2078,-0.144
medium_variant,360,2079,-0.152
medium_variant,360,2080,-0.159
medium_variant,360,2081,-0.167
medium_variant,360,2082,-0.174
medium_variant,360,2083,-0.181
medium_variant,360,2084,-0.187
medium_variant,360,2085,-0.194
medium_variant,360,2086,-0.2
medium_variant,360,2087,-0.206
medium_variant,360,2088,-0.212
medium_variant,360,2089,-0.218
medium_variant,360,2090,-0.224
medium_variant,360,2091,-0.23
medium_variant,360,2092,-0.235
medium_variant,360,2093,-0.24
medium_variant,360,2094,-0.244
medium_variant,360,2095,-0.248
medium_variant,360,2096,-0.252
medium_variant,360,2097,-0.255
medium_variant,360,2098,-0.257
medium_variant,360,2099,-0.26
