variant,country,year,populationgrowthrate
estimates,380,1950,0.904
estimates,380,1951,0.865
estimates,380,1952,0.785
estimates,380,1953,0.705
estimates,380,1954,0.631
estimates,380,1955,0.572
estimates,380,1956,0.535
estimates,380,1957,0.525
estimates,380,1958,0.546
estimates,380,1959,0.597
estimates,380,1960,0.669
estimates,380,1961,0.744
estimates,380,1962,0.8
estimates,380,1963,0.82
estimates,380,1964,0.804
estimates,380,1965,0.767
estimates,380,1966,0.729
estimates,380,1967,0.7
estimates,380,1968,0.685
estimates,380,1969,0.684
estimates,380,1970,0.688
estimates,380,1971,0.688
estimates,380,1972,0.674
estimates,380,1973,0.641
estimates,380,1974,0.589
estimates,380,1975,0.526
estimates,380,1976,0.463
estimates,380,1977,0.405
estimates,380,1978,0.358
estimates,380,1979,0.322
estimates,380,1980,0.292
estimates,380,1981,0.263
estimates,380,1982,0.231
estimates,380,1983,0.194
estimates,380,1984,0.153
estimates,380,1985,0.109
estimates,380,1986,0.068
estimates,380,1987,0.036
estimates,380,1988,0.021
estimates,380,1989,0.021
estimates,380,1990,0.034
estimates,380,1991,0.054
estimates,380,1992,0.065
estimates,380,1993,0.055
estimates,380,1994,0.025
estimates,380,1995,-0.019
estimates,380,1996,-0.061
estimates,380,1997,-0.067
estimates,380,1998,-0.004
estimates,380,1999,0.122
estimates,380,2000,0.285
estimates,380,2001,0.441
estimates,380,2002,0.554
estimates,380,2003,0.596
estimates,380,2004,0.566
estimates,380,2005,0.498
estimates,380,2006,0.428
estimates,380,2007,0.356
estimates,380,2008,0.276
estimates,380,2009,0.191
estimates,380,2010,0.099
estimates,380,2011,0.003
estimates,380,2012,-0.077
estimates,380,2013,-0.124
estimates,380,2014,-0.137
estimates,380,2015,-0.131
medium_variant,380,2015,-0.131
medium_variant,380,2016,-0.121
medium_variant,380,2017,-0.117
medium_variant,380,2018,-0.121
medium_variant,380,2019,-0.134
medium_variant,380,2020,-0.151
medium_variant,380,2021,-0.165
medium_variant,380,2022,-0.174
medium_variant,380,2023,-0.178
medium_variant,380,2024,-0.179
medium_variant,380,2025,-0.177
medium_variant,380,2026,-0.174
medium_variant,380,2027,-0.173
medium_variant,380,2028,-0.175
medium_variant,380,2029,-0.179
medium_variant,380,2030,-0.185
medium_variant,380,2031,-0.191
medium_variant,380,2032,-0.196
medium_variant,380,2033,-0.202
medium_variant,380,2034,-0.207
medium_variant,380,2035,-0.213
medium_variant,380,2036,-0.219
medium_variant,380,2037,-0.227
medium_variant,380,2038,-0.235
medium_variant,380,2039,-0.244
medium_variant,380,2040,-0.255
medium_variant,380,2041,-0.265
medium_variant,380,2042,-0.277
medium_variant,380,2043,-0.289
medium_variant,380,2044,-0.302
medium_variant,380,2045,-0.316
medium_variant,380,2046,-0.33
medium_variant,380,2047,-0.344
medium_variant,380,2048,-0.359
medium_variant,380,2049,-0.375
medium_variant,380,2050,-0.391
medium_variant,380,2051,-0.406
medium_variant,380,2052,-0.42
medium_variant,380,2053,-0.433
medium_variant,380,2054,-0.444
medium_variant,380,2055,-0.454
medium_variant,380,2056,-0.462
medium_variant,380,2057,-0.469
medium_variant,380,2058,-0.472
medium_variant,380,2059,-0.472
medium_variant,380,2060,-0.47
medium_variant,380,2061,-0.466
medium_variant,380,2062,-0.46
medium_variant,380,2063,-0.45
medium_variant,380,2064,-0.438
medium_variant,380,2065,-0.424
medium_variant,380,2066,-0.408
medium_variant,380,2067,-0.391
medium_variant,380,2068,-0.373
medium_variant,380,2069,-0.354
medium_variant,380,2070,-0.334
medium_variant,380,2071,-0.313
medium_variant,380,2072,-0.293
medium_variant,380,2073,-0.273
medium_variant,380,2074,-0.255
medium_variant,380,2075,-0.237
medium_variant,380,2076,-0.22
medium_variant,380,2077,-0.205
medium_variant,380,2078,-0.192
medium_variant,380,2079,-0.181
medium_variant,380,2080,-0.173
medium_variant,380,2081,-0.165
medium_variant,380,2082,-0.159
medium_variant,380,2083,-0.155
medium_variant,380,2084,-0.151
medium_variant,380,2085,-0.15
medium_variant,380,2086,-0.149
medium_variant,380,2087,-0.148
medium_variant,380,2088,-0.148
medium_variant,380,2089,-0.149
medium_variant,380,2090,-0.149
medium_variant,380,2091,-0.15
medium_variant,380,2092,-0.152
medium_variant,380,2093,-0.153
medium_variant,380,2094,-0.155
medium_variant,380,2095,-0.157
medium_variant,380,2096,-0.159
medium_variant,380,2097,-0.161
medium_variant,380,2098,-0.162
medium_variant,380,2099,-0.162
