country,variant,freq,year,noofbirth
466,estimates,5yearly,1950,1250.531
466,estimates,5yearly,1955,1292.323
466,estimates,5yearly,1960,1356.782
466,estimates,5yearly,1965,1447.22
466,estimates,5yearly,1970,1565.297
466,estimates,5yearly,1975,1694.616
466,estimates,5yearly,1980,1841.366
466,estimates,5yearly,1985,1984.738
466,estimates,5yearly,1990,2210.745
466,estimates,5yearly,1995,2504.034
466,estimates,5yearly,2000,2893.166
466,estimates,5yearly,2005,3322.518
466,estimates,5yearly,2010,3639.774
466,constant_fertility,5yearly,2015,4222.598
466,constant_mortality,5yearly,2015,3937.182
466,high_variant,5yearly,2015,4110.088
466,instant_replacement,5yearly,2015,1640.476
466,low_variant,5yearly,2015,3777.101
466,medium_variant,5yearly,2015,3943.596
466,momentum,5yearly,2015,1714.642
466,no_change,5yearly,2015,4215.727
466,zero_migration,5yearly,2015,3976.843
466,constant_fertility,5yearly,2020,5003.514
466,constant_mortality,5yearly,2020,4290.878
466,high_variant,5yearly,2020,4632.998
466,instant_replacement,5yearly,2020,1889.335
466,low_variant,5yearly,2020,4000.926
466,medium_variant,5yearly,2020,4316.963
466,momentum,5yearly,2020,2049.029
466,no_change,5yearly,2020,4973.265
466,zero_migration,5yearly,2020,4404.902
466,constant_fertility,5yearly,2025,5961.582
466,constant_mortality,5yearly,2025,4659.989
466,high_variant,5yearly,2025,5193.421
466,instant_replacement,5yearly,2025,2199.422
466,low_variant,5yearly,2025,4251.373
466,medium_variant,5yearly,2025,4722.397
466,momentum,5yearly,2025,2439.677
466,no_change,5yearly,2025,5882.806
466,zero_migration,5yearly,2025,4846.569
466,constant_fertility,5yearly,2030,7095.874
466,constant_mortality,5yearly,2030,4969.722
466,high_variant,5yearly,2030,5679.093
466,instant_replacement,5yearly,2030,2383.464
466,low_variant,5yearly,2030,4518.748
466,medium_variant,5yearly,2030,5096.352
466,momentum,5yearly,2030,2687.203
466,no_change,5yearly,2030,6918.377
466,zero_migration,5yearly,2030,5244.546
466,constant_fertility,5yearly,2035,8465.981
466,constant_mortality,5yearly,2035,5183.521
466,high_variant,5yearly,2035,6158.517
466,instant_replacement,5yearly,2035,2367.709
466,low_variant,5yearly,2035,4679.51
466,medium_variant,5yearly,2035,5408.034
466,momentum,5yearly,2035,2705.593
466,no_change,5yearly,2035,8108.104
466,zero_migration,5yearly,2035,5579.825
466,constant_fertility,5yearly,2040,10149.435
466,constant_mortality,5yearly,2040,5299.576
466,high_variant,5yearly,2040,6624.008
466,instant_replacement,5yearly,2040,2235.066
466,low_variant,5yearly,2040,4730.452
466,medium_variant,5yearly,2040,5650.344
466,momentum,5yearly,2040,2593.355
466,no_change,5yearly,2040,9505.768
466,zero_migration,5yearly,2040,5850.719
466,constant_fertility,5yearly,2045,12226.261
466,constant_mortality,5yearly,2045,5350.063
466,high_variant,5yearly,2045,7083.699
466,instant_replacement,5yearly,2045,2077.996
466,low_variant,5yearly,2045,4711.478
466,medium_variant,5yearly,2045,5847.48
466,momentum,5yearly,2045,2456.442
466,no_change,5yearly,2045,11166.829
466,zero_migration,5yearly,2045,6079.861
466,constant_fertility,5yearly,2050,14778.68
466,constant_mortality,5yearly,2050,5369.75
466,high_variant,5yearly,2050,7541.354
466,instant_replacement,5yearly,2050,2023.299
466,low_variant,5yearly,2050,4669.112
466,medium_variant,5yearly,2050,6025.94
466,momentum,5yearly,2050,2432.068
466,no_change,5yearly,2050,13140.62
466,zero_migration,5yearly,2050,6288.399
466,constant_fertility,5yearly,2055,17902.282
466,constant_mortality,5yearly,2055,5348.312
466,high_variant,5yearly,2055,7968.141
466,instant_replacement,5yearly,2055,2053.533
466,low_variant,5yearly,2055,4598.047
466,medium_variant,5yearly,2055,6168.451
466,momentum,5yearly,2055,2496.898
466,no_change,5yearly,2055,15474.673
466,zero_migration,5yearly,2055,6454.276
466,constant_fertility,5yearly,2060,21717.558
466,constant_mortality,5yearly,2060,5298.57
466,high_variant,5yearly,2060,8383.232
466,instant_replacement,5yearly,2060,2077.658
466,low_variant,5yearly,2060,4509.994
466,medium_variant,5yearly,2060,6288.248
466,momentum,5yearly,2060,2548.545
466,no_change,5yearly,2060,18224.078
466,zero_migration,5yearly,2060,6592.82
466,constant_fertility,5yearly,2065,26377.042
466,constant_mortality,5yearly,2065,5199.523
466,high_variant,5yearly,2065,8764.959
466,instant_replacement,5yearly,2065,2069.617
466,low_variant,5yearly,2065,4377.133
466,medium_variant,5yearly,2065,6358.065
466,momentum,5yearly,2065,2558.588
466,no_change,5yearly,2065,21459.002
466,zero_migration,5yearly,2065,6678.4
466,constant_fertility,5yearly,2070,32072.393
466,constant_mortality,5yearly,2070,5055.957
466,high_variant,5yearly,2070,9112.896
466,instant_replacement,5yearly,2070,2041.368
466,low_variant,5yearly,2070,4201.223
466,medium_variant,5yearly,2070,6377.844
466,momentum,5yearly,2070,2543.183
466,no_change,5yearly,2070,25268.679
466,zero_migration,5yearly,2070,6712.158
466,constant_fertility,5yearly,2075,39042.684
466,constant_mortality,5yearly,2075,4891.268
466,high_variant,5yearly,2075,9448.012
466,instant_replacement,5yearly,2075,1997.507
466,low_variant,5yearly,2075,4006.626
466,medium_variant,5yearly,2075,6371.067
466,momentum,5yearly,2075,2512.216
466,no_change,5yearly,2075,29763.67
466,zero_migration,5yearly,2075,6718.257
466,constant_fertility,5yearly,2080,47570.793
466,constant_mortality,5yearly,2080,4698.868
466,high_variant,5yearly,2080,9742.195
