global,variant,gender,freq,year,mortality15to60per1000aliveat15
900,estimates,female,5yearly,1950,342.73903699828
900,estimates,male,5yearly,1950,413.164122306235
900,estimates,female,5yearly,1955,314.607154643959
900,estimates,male,5yearly,1955,388.583036235694
900,estimates,female,5yearly,1960,292.42573355641
900,estimates,male,5yearly,1960,366.224457748358
900,estimates,female,5yearly,1965,246.448415063149
900,estimates,male,5yearly,1965,306.765235552125
900,estimates,female,5yearly,1970,211.419249500962
900,estimates,male,5yearly,1970,277.328172251239
900,estimates,female,5yearly,1975,188.144188885585
900,estimates,male,5yearly,1975,255.573955296397
900,estimates,female,5yearly,1980,171.744729025479
900,estimates,male,5yearly,1980,245.529144019911
900,estimates,female,5yearly,1985,160.840754574303
900,estimates,male,5yearly,1985,229.29799019539
900,estimates,female,5yearly,1990,154.694983799808
900,estimates,male,5yearly,1990,226.548632648694
900,estimates,female,5yearly,1995,150.130553394234
900,estimates,male,5yearly,1995,220.858545087107
900,estimates,female,5yearly,2000,144.617040465697
900,estimates,male,5yearly,2000,209.452874535428
900,estimates,female,5yearly,2005,132.281859850141
900,estimates,male,5yearly,2005,194.581344585244
900,estimates,female,5yearly,2010,118.078650527849
900,estimates,male,5yearly,2010,178.851325940605
900,medium_variant,female,5yearly,2015,110.000441371301
900,medium_variant,male,5yearly,2015,168.524573615142
900,medium_variant,female,5yearly,2020,104.15272842418
900,medium_variant,male,5yearly,2020,159.744560973635
900,medium_variant,female,5yearly,2025,99.1856837763011
900,medium_variant,male,5yearly,2025,153.041041741132
900,medium_variant,female,5yearly,2030,94.4900177461864
900,medium_variant,male,5yearly,2030,147.383426570803
900,medium_variant,female,5yearly,2035,89.7102543781704
900,medium_variant,male,5yearly,2035,141.075439101147
900,medium_variant,female,5yearly,2040,85.2563491992263
900,medium_variant,male,5yearly,2040,134.10129300929
900,medium_variant,female,5yearly,2045,81.463121444328
900,medium_variant,male,5yearly,2045,128.361770886167
900,medium_variant,female,5yearly,2050,77.9958497014074
900,medium_variant,male,5yearly,2050,123.577346872152
900,medium_variant,female,5yearly,2055,74.2077125593534
900,medium_variant,male,5yearly,2055,118.243708580432
900,medium_variant,female,5yearly,2060,70.2905417415225
900,medium_variant,male,5yearly,2060,112.353266646101
900,medium_variant,female,5yearly,2065,66.536732530322
900,medium_variant,male,5yearly,2065,106.951788748147
900,medium_variant,female,5yearly,2070,63.1926810059377
900,medium_variant,male,5yearly,2070,101.858918753727
900,medium_variant,female,5yearly,2075,60.0428916209491
900,medium_variant,male,5yearly,2075,96.9498750189233
900,medium_variant,female,5yearly,2080,57.0273691617269
900,medium_variant,male,5yearly,2080,92.1354600900456
900,medium_variant,female,5yearly,2085,54.0047050524109
900,medium_variant,male,5yearly,2085,87.2245731462358
900,medium_variant,female,5yearly,2090,51.0142269220485
900,medium_variant,male,5yearly,2090,82.2998703709071
900,medium_variant,female,5yearly,2095,48.122848301256
900,medium_variant,male,5yearly,2095,77.4450970356399
