region,variant,year,population
1517,estimates,1950,1734480.842
1517,estimates,1951,1772394.343
1517,estimates,1952,1808889.488
1517,estimates,1953,1844730.274
1517,estimates,1954,1880558.365
1517,estimates,1955,1916892.378
1517,estimates,1956,1954124.307
1517,estimates,1957,1992523.405
1517,estimates,1958,2032248.837
1517,estimates,1959,2073370.392
1517,estimates,1960,2115931.194
1517,estimates,1961,2160014.407
1517,estimates,1962,2205801.805
1517,estimates,1963,2253598.279
1517,estimates,1964,2303761.744
1517,estimates,1965,2356493.838
1517,estimates,1966,2411923.763
1517,estimates,1967,2469839.271
1517,estimates,1968,2529661.209
1517,estimates,1969,2590588.799
1517,estimates,1970,2652001.365
1517,estimates,1971,2713763.489
1517,estimates,1972,2775915.239
1517,estimates,1973,2838237.81
1517,estimates,1974,2900525.973
1517,estimates,1975,2962675.794
1517,estimates,1976,3024530.792
1517,estimates,1977,3086205.956
1517,estimates,1978,3148221.744
1517,estimates,1979,3211302.681
1517,estimates,1980,3275987.701
1517,estimates,1981,3342257.467
1517,estimates,1982,3409973.017
1517,estimates,1983,3479379.237
1517,estimates,1984,3550746.687
1517,estimates,1985,3624140.52
1517,estimates,1986,3699744.233
1517,estimates,1987,3777150.727
1517,estimates,1988,3855094.072
1517,estimates,1989,3931884.618
1517,estimates,1990,4006282.317
1517,estimates,1991,4077818.407
1517,estimates,1992,4146729.057
1517,estimates,1993,4213363.865
1517,estimates,1994,4278375.61
1517,estimates,1995,4342278.351
1517,estimates,1996,4405121.314
1517,estimates,1997,4466813.945
1517,estimates,1998,4527594.916
1517,estimates,1999,4587741.55
1517,estimates,2000,4647489.693
1517,estimates,2001,4706978.594
1517,estimates,2002,4766301.524
1517,estimates,2003,4825586.517
1517,estimates,2004,4884948.742
1517,estimates,2005,4944485.729
1517,estimates,2006,5004220.786
1517,estimates,2007,5064199.911
1517,estimates,2008,5124552.316
1517,estimates,2009,5185424.323
1517,estimates,2010,5246881.509
1517,estimates,2011,5308974.416
1517,estimates,2012,5371564.898
1517,estimates,2013,5434287.584
1517,estimates,2014,5496648.665
1517,constant_fertility,2015,5558263.979
1517,constant_mortality,2015,5558263.979
1517,estimates,2015,5558263.979
1517,high_variant,2015,5558263.979
1517,instant_replacement,2015,5558263.979
1517,low_variant,2015,5558263.979
1517,medium_variant,2015,5558263.979
1517,momentum,2015,5558263.979
1517,no_change,2015,5558263.979
1517,zero_migration,2015,5558263.979
1517,constant_fertility,2016,5621930.766
1517,constant_mortality,2016,5617124.643
1517,high_variant,2016,5625902.759
1517,instant_replacement,2016,5615296.558
1517,low_variant,2016,5611935.029
1517,medium_variant,2016,5618975.116
1517,momentum,2016,5615984.828
1517,no_change,2016,5620085.986
1517,zero_migration,2016,5621777.501
1517,constant_fertility,2017,5685450.804
1517,constant_mortality,2017,5674537.24
1517,high_variant,2017,5694918.233
1517,instant_replacement,2017,5669920.616
1517,low_variant,2017,5662483.58
1517,medium_variant,2017,5678780.098
1517,momentum,2017,5671541.422
1517,no_change,2017,5681201.548
1517,zero_migration,2017,5684324.22
1517,constant_fertility,2018,5748828.112
1517,constant_mortality,2018,5730480.991
1517,high_variant,2018,5764893.697
1517,instant_replacement,2018,5722686.763
1517,low_variant,2018,5710275.343
1517,medium_variant,2018,5737641.716
