region,variant,year,population
911,estimates,1950,26453.762
911,estimates,1951,26964.613
911,estimates,1952,27489.974
911,estimates,1953,28031.958
911,estimates,1954,28592.555
911,estimates,1955,29173.448
911,estimates,1956,29776.158
911,estimates,1957,30401.992
911,estimates,1958,31052.071
911,estimates,1959,31727.337
911,estimates,1960,32428.782
911,estimates,1961,33157.346
911,estimates,1962,33914.243
911,estimates,1963,34700.768
911,estimates,1964,35518.451
911,estimates,1965,36368.441
911,estimates,1966,37252.708
911,estimates,1967,38172.001
911,estimates,1968,39124.76
911,estimates,1969,40108.43
911,estimates,1970,41121.907
911,estimates,1971,42164.596
911,estimates,1972,43239.385
911,estimates,1973,44352.986
911,estimates,1974,45514.244
911,estimates,1975,46729.589
911,estimates,1976,48002.938
911,estimates,1977,49333.362
911,estimates,1978,50716.63
911,estimates,1979,52145.92
911,estimates,1980,53616.947
911,estimates,1981,55133.231
911,estimates,1982,56699.473
911,estimates,1983,58314.641
911,estimates,1984,59977.123
911,estimates,1985,61688.663
911,estimates,1986,63437.72
911,estimates,1987,65231.293
911,estimates,1988,67111.126
911,estimates,1989,69132.987
911,estimates,1990,71331.287
911,estimates,1991,73736.618
911,estimates,1992,76323.994
911,estimates,1993,79005.063
911,estimates,1994,81656.738
911,estimates,1995,84195.938
911,estimates,1996,86588.291
911,estimates,1997,88875.647
911,estimates,1998,91144.828
911,estimates,1999,93521.619
911,estimates,2000,96098.868
911,estimates,2001,98904.195
911,estimates,2002,101915.477
911,estimates,2003,105115.738
911,estimates,2004,108470.523
911,estimates,2005,111954.048
911,estimates,2006,115567.081
911,estimates,2007,119320.013
911,estimates,2008,123206.46
911,estimates,2009,127218.929
911,estimates,2010,131351.399
911,estimates,2011,135600.334
911,estimates,2012,139964.428
911,estimates,2013,144442.785
911,estimates,2014,149035.564
911,constant_fertility,2015,153742.724
911,constant_mortality,2015,153742.724
911,estimates,2015,153742.724
911,high_variant,2015,153742.724
911,instant_replacement,2015,153742.724
911,low_variant,2015,153742.724
911,medium_variant,2015,153742.724
911,momentum,2015,153742.724
911,no_change,2015,153742.724
911,zero_migration,2015,153742.724
911,constant_fertility,2016,158789.516
911,constant_mortality,2016,158465.662
911,high_variant,2016,158731.808
911,instant_replacement,2016,156299.441
911,low_variant,2016,158412.907
911,medium_variant,2016,158562.976
911,momentum,2016,156256.588
911,no_change,2016,158684.87
911,zero_migration,2016,158573.007
911,constant_fertility,2017,164047.983
911,constant_mortality,2017,163254.861
911,high_variant,2017,163891.899
911,instant_replacement,2017,158022.246
911,low_variant,2017,163120.388
911,medium_variant,2017,163494.885
911,momentum,2017,157917.676
911,no_change,2017,163796.813
911,zero_migration,2017,163505.351
911,constant_fertility,2018,169522.812
911,constant_mortality,2018,168112.227
911,high_variant,2018,169216.428
911,instant_replacement,2018,159210.752
911,low_variant,2018,167877.679
911,medium_variant,2018,168538.203
911,momentum,2018,159028.645
911,no_change,2018,169082.513
911,zero_migration,2018,168542.903
911,constant_fertility,2019,175219.448
911,constant_mortality,2019,173039.034
911,high_variant,2019,174700.779
911,instant_replacement,2019,160306.367
911,low_variant,2019,172694.196
911,medium_variant,2019,173692.967
911,momentum,2019,160035.966
911,no_change,2019,174546.248
911,zero_migration,2019,173688.417
911,constant_fertility,2020,181143.858
911,constant_mortality,2020,178036.03
911,high_variant,2020,180342.294
911,instant_replacement,2020,161636.516
911,low_variant,2020,177576.251
911,medium_variant,2020,178959.265
911,momentum,2020,161270.637
911,no_change,2020,180192.565
911,zero_migration,2020,178944.27
911,constant_fertility,2021,187302.688
911,constant_mortality,2021,183103.198
911,high_variant,2021,186140.36
911,instant_replacement,2021,163294.735
911,low_variant,2021,182526.841
911,medium_variant,2021,184336.506
911,momentum,2021,162826.458
911,no_change,2021,186026.27
911,zero_migration,2021,184312.506
911,constant_fertility,2022,193703.164
911,constant_mortality,2022,188240.025
911,high_variant,2022,192096.283
911,instant_replacement,2022,165205.842
911,low_variant,2022,187545.767
911,medium_variant,2022,189824.352
911,momentum,2022,164626.876
911,no_change,2022,192052.476
911,zero_migration,2022,189794.789
911,constant_fertility,2023,200353.16
911,constant_mortality,2023,193445.318
911,high_variant,2023,198213.003
911,instant_replacement,2023,167325.901
911,low_variant,2023,192630.308
911,medium_variant,2023,195423.65
911,momentum,2023,166628.35
911,no_change,2023,198276.553
