variant,global,year,childdependencyratio2064
estimates,900,1950,85.689
estimates,900,1951,86.667
estimates,900,1952,87.625
estimates,900,1953,88.446
estimates,900,1954,89.029
estimates,900,1955,89.386
estimates,900,1956,90.311
estimates,900,1957,90.831
estimates,900,1958,91.22
estimates,900,1959,91.746
estimates,900,1960,92.515
estimates,900,1961,93.462
estimates,900,1962,94.746
estimates,900,1963,96.152
estimates,900,1964,97.378
estimates,900,1965,98.283
estimates,900,1966,99.498
estimates,900,1967,100.329
estimates,900,1968,100.821
estimates,900,1969,101.038
estimates,900,1970,100.991
estimates,900,1971,100.889
estimates,900,1972,100.415
estimates,900,1973,99.693
estimates,900,1974,98.845
estimates,900,1975,97.943
estimates,900,1976,97.282
estimates,900,1977,96.513
estimates,900,1978,95.632
estimates,900,1979,94.637
estimates,900,1980,93.541
estimates,900,1981,92.463
estimates,900,1982,91.391
estimates,900,1983,90.301
estimates,900,1984,89.161
estimates,900,1985,87.979
estimates,900,1986,87.156
estimates,900,1987,86.245
estimates,900,1988,85.276
estimates,900,1989,84.257
estimates,900,1990,83.175
estimates,900,1991,82.361
estimates,900,1992,81.313
estimates,900,1993,80.162
estimates,900,1994,79.056
estimates,900,1995,78.055
estimates,900,1996,76.985
estimates,900,1997,76.088
estimates,900,1998,75.262
estimates,900,1999,74.371
estimates,900,2000,73.367
estimates,900,2001,72.489
estimates,900,2002,71.555
estimates,900,2003,70.545
estimates,900,2004,69.441
estimates,900,2005,68.24
estimates,900,2006,67.086
estimates,900,2007,65.807
estimates,900,2008,64.513
estimates,900,2009,63.327
estimates,900,2010,62.307
estimates,900,2011,61.476
estimates,900,2012,60.757
estimates,900,2013,60.146
estimates,900,2014,59.62
estimates,900,2015,59.165
medium_variant,900,2015,59.165
medium_variant,900,2016,58.868
medium_variant,900,2017,58.622
medium_variant,900,2018,58.406
medium_variant,900,2019,58.194
medium_variant,900,2020,57.964
medium_variant,900,2021,57.749
medium_variant,900,2022,57.514
medium_variant,900,2023,57.257
medium_variant,900,2024,56.98
medium_variant,900,2025,56.685
medium_variant,900,2026,56.425
medium_variant,900,2027,56.147
medium_variant,900,2028,55.846
medium_variant,900,2029,55.521
medium_variant,900,2030,55.171
medium_variant,900,2031,54.871
medium_variant,900,2032,54.539
medium_variant,900,2033,54.189
medium_variant,900,2034,53.835
medium_variant,900,2035,53.486
medium_variant,900,2036,53.202
medium_variant,900,2037,52.915
medium_variant,900,2038,52.63
medium_variant,900,2039,52.351
medium_variant,900,2040,52.077
medium_variant,900,2041,51.861
medium_variant,900,2042,51.645
medium_variant,900,2043,51.438
medium_variant,900,2044,51.246
medium_variant,900,2045,51.071
medium_variant,900,2046,50.957
medium_variant,900,2047,50.85
medium_variant,900,2048,50.752
medium_variant,900,2049,50.664
medium_variant,900,2050,50.585
medium_variant,900,2051,50.555
medium_variant,900,2052,50.526
medium_variant,900,2053,50.49
medium_variant,900,2054,50.435
medium_variant,900,2055,50.351
medium_variant,900,2056,50.28
medium_variant,900,2057,50.177
medium_variant,900,2058,50.044
medium_variant,900,2059,49.885
medium_variant,900,2060,49.703
medium_variant,900,2061,49.535
medium_variant,900,2062,49.343
medium_variant,900,2063,49.133
medium_variant,900,2064,48.913
medium_variant,900,2065,48.69
medium_variant,900,2066,48.505
medium_variant,900,2067,48.313
medium_variant,900,2068,48.12
medium_variant,900,2069,47.929
medium_variant,900,2070,47.743
medium_variant,900,2071,47.6
medium_variant,900,2072,47.456
medium_variant,900,2073,47.317
medium_variant,900,2074,47.185
medium_variant,900,2075,47.059
medium_variant,900,2076,46.974
medium_variant,900,2077,46.89
medium_variant,900,2078,46.807
medium_variant,900,2079,46.722
medium_variant,900,2080,46.632
medium_variant,900,2081,46.567
medium_variant,900,2082,46.493
medium_variant,900,2083,46.41
medium_variant,900,2084,46.317
medium_variant,900,2085,46.212
medium_variant,900,2086,46.125
medium_variant,900,2087,46.023
medium_variant,900,2088,45.908
medium_variant,900,2089,45.782
medium_variant,900,2090,45.648
medium_variant,900,2091,45.532
medium_variant,900,2092,45.403
medium_variant,900,2093,45.265
medium_variant,900,2094,45.122
