variant,region,year,lifeexpectancyatbirth
estimates,941,1950,35.051
estimates,941,1951,35.334
estimates,941,1952,35.89
estimates,941,1953,36.43
estimates,941,1954,36.952
estimates,941,1955,37.458
estimates,941,1956,37.948
estimates,941,1957,38.425
estimates,941,1958,38.891
estimates,941,1959,39.351
estimates,941,1960,39.812
estimates,941,1961,40.279
estimates,941,1962,40.754
estimates,941,1963,41.237
estimates,941,1964,41.721
estimates,941,1965,42.189
estimates,941,1966,42.62
estimates,941,1967,43.002
estimates,941,1968,43.327
estimates,941,1969,43.6
estimates,941,1970,43.828
estimates,941,1971,44.025
estimates,941,1972,44.215
estimates,941,1973,44.421
estimates,941,1974,44.659
estimates,941,1975,44.95
estimates,941,1976,45.311
estimates,941,1977,45.74
estimates,941,1978,46.228
estimates,941,1979,46.764
estimates,941,1980,47.331
estimates,941,1981,47.907
estimates,941,1982,48.467
estimates,941,1983,48.99
estimates,941,1984,49.462
estimates,941,1985,49.868
estimates,941,1986,50.198
estimates,941,1987,50.465
estimates,941,1988,50.686
estimates,941,1989,50.876
estimates,941,1990,51.058
estimates,941,1991,51.258
estimates,941,1992,51.495
estimates,941,1993,51.783
estimates,941,1994,52.132
estimates,941,1995,52.54
estimates,941,1996,52.996
estimates,941,1997,53.482
estimates,941,1998,53.984
estimates,941,1999,54.497
estimates,941,2000,55.027
estimates,941,2001,55.582
estimates,941,2002,56.17
estimates,941,2003,56.793
estimates,941,2004,57.445
estimates,941,2005,58.118
estimates,941,2006,58.801
estimates,941,2007,59.479
estimates,941,2008,60.138
estimates,941,2009,60.769
estimates,941,2010,61.361
estimates,941,2011,61.909
estimates,941,2012,62.415
estimates,941,2013,62.884
estimates,941,2014,63.317
estimates,941,2015,63.716
medium_variant,941,2015,63.716
medium_variant,941,2016,64.085
medium_variant,941,2017,64.43
medium_variant,941,2018,64.758
medium_variant,941,2019,65.073
medium_variant,941,2020,65.38
medium_variant,941,2021,65.68
medium_variant,941,2022,65.974
medium_variant,941,2023,66.262
medium_variant,941,2024,66.545
medium_variant,941,2025,66.824
medium_variant,941,2026,67.101
medium_variant,941,2027,67.373
medium_variant,941,2028,67.64
medium_variant,941,2029,67.903
medium_variant,941,2030,68.161
medium_variant,941,2031,68.415
medium_variant,941,2032,68.665
medium_variant,941,2033,68.91
medium_variant,941,2034,69.151
medium_variant,941,2035,69.388
medium_variant,941,2036,69.622
medium_variant,941,2037,69.851
medium_variant,941,2038,70.078
medium_variant,941,2039,70.301
medium_variant,941,2040,70.522
medium_variant,941,2041,70.739
medium_variant,941,2042,70.954
medium_variant,941,2043,71.166
medium_variant,941,2044,71.376
medium_variant,941,2045,71.582
medium_variant,941,2046,71.786
medium_variant,941,2047,71.988
medium_variant,941,2048,72.187
medium_variant,941,2049,72.382
medium_variant,941,2050,72.575
medium_variant,941,2051,72.765
medium_variant,941,2052,72.951
medium_variant,941,2053,73.134
medium_variant,941,2054,73.314
medium_variant,941,2055,73.49
medium_variant,941,2056,73.662
medium_variant,941,2057,73.831
medium_variant,941,2058,73.997
medium_variant,941,2059,74.16
medium_variant,941,2060,74.321
medium_variant,941,2061,74.478
medium_variant,941,2062,74.634
medium_variant,941,2063,74.787
medium_variant,941,2064,74.937
medium_variant,941,2065,75.085
medium_variant,941,2066,75.232
medium_variant,941,2067,75.376
medium_variant,941,2068,75.517
medium_variant,941,2069,75.657
medium_variant,941,2070,75.794
medium_variant,941,2071,75.929
medium_variant,941,2072,76.062
medium_variant,941,2073,76.193
medium_variant,941,2074,76.322
medium_variant,941,2075,76.449
medium_variant,941,2076,76.575
medium_variant,941,2077,76.699
medium_variant,941,2078,76.822
medium_variant,941,2079,76.944
medium_variant,941,2080,77.065
medium_variant,941,2081,77.185
medium_variant,941,2082,77.304
medium_variant,941,2083,77.422
medium_variant,941,2084,77.539
medium_variant,941,2085,77.656
medium_variant,941,2086,77.773
medium_variant,941,2087,77.889
medium_variant,941,2088,78.005
medium_variant,941,2089,78.12
medium_variant,941,2090,78.235
medium_variant,941,2091,78.351
medium_variant,941,2092,78.466
medium_variant,941,2093,78.582
medium_variant,941,2094,78.697
medium_variant,941,2095,78.813
medium_variant,941,2096,78.929
medium_variant,941,2097,79.046
medium_variant,941,2098,79.162
medium_variant,941,2099,79.278
