variant,region,year,lifeexpectancyatbirth
estimates,916,1950,47.235
estimates,916,1951,47.718
estimates,916,1952,48.667
estimates,916,1953,49.584
estimates,916,1954,50.468
estimates,916,1955,51.319
estimates,916,1956,52.135
estimates,916,1957,52.916
estimates,916,1958,53.66
estimates,916,1959,54.362
estimates,916,1960,55.018
estimates,916,1961,55.626
estimates,916,1962,56.184
estimates,916,1963,56.695
estimates,916,1964,57.167
estimates,916,1965,57.61
estimates,916,1966,58.039
estimates,916,1967,58.465
estimates,916,1968,58.899
estimates,916,1969,59.349
estimates,916,1970,59.82
estimates,916,1971,60.31
estimates,916,1972,60.813
estimates,916,1973,61.321
estimates,916,1974,61.831
estimates,916,1975,62.339
estimates,916,1976,62.841
estimates,916,1977,63.335
estimates,916,1978,63.82
estimates,916,1979,64.296
estimates,916,1980,64.765
estimates,916,1981,65.23
estimates,916,1982,65.696
estimates,916,1983,66.164
estimates,916,1984,66.636
estimates,916,1985,67.111
estimates,916,1986,67.587
estimates,916,1987,68.061
estimates,916,1988,68.531
estimates,916,1989,68.993
estimates,916,1990,69.448
estimates,916,1991,69.896
estimates,916,1992,70.335
estimates,916,1993,70.766
estimates,916,1994,71.185
estimates,916,1995,71.587
estimates,916,1996,71.97
estimates,916,1997,72.33
estimates,916,1998,72.666
estimates,916,1999,72.978
estimates,916,2000,73.264
estimates,916,2001,73.525
estimates,916,2002,73.764
estimates,916,2003,73.987
estimates,916,2004,74.195
estimates,916,2005,74.394
estimates,916,2006,74.585
estimates,916,2007,74.771
estimates,916,2008,74.954
estimates,916,2009,75.137
estimates,916,2010,75.322
estimates,916,2011,75.511
estimates,916,2012,75.701
estimates,916,2013,75.894
estimates,916,2014,76.088
estimates,916,2015,76.283
medium_variant,916,2015,76.283
medium_variant,916,2016,76.479
medium_variant,916,2017,76.675
medium_variant,916,2018,76.869
medium_variant,916,2019,77.062
medium_variant,916,2020,77.253
medium_variant,916,2021,77.442
medium_variant,916,2022,77.628
medium_variant,916,2023,77.814
medium_variant,916,2024,77.998
medium_variant,916,2025,78.181
medium_variant,916,2026,78.362
medium_variant,916,2027,78.543
medium_variant,916,2028,78.724
medium_variant,916,2029,78.904
medium_variant,916,2030,79.083
medium_variant,916,2031,79.262
medium_variant,916,2032,79.44
medium_variant,916,2033,79.617
medium_variant,916,2034,79.794
medium_variant,916,2035,79.97
medium_variant,916,2036,80.145
medium_variant,916,2037,80.319
medium_variant,916,2038,80.492
medium_variant,916,2039,80.665
medium_variant,916,2040,80.838
medium_variant,916,2041,81.009
medium_variant,916,2042,81.18
medium_variant,916,2043,81.351
medium_variant,916,2044,81.521
medium_variant,916,2045,81.69
medium_variant,916,2046,81.859
medium_variant,916,2047,82.027
medium_variant,916,2048,82.194
medium_variant,916,2049,82.359
medium_variant,916,2050,82.524
medium_variant,916,2051,82.687
medium_variant,916,2052,82.849
medium_variant,916,2053,83.008
medium_variant,916,2054,83.166
medium_variant,916,2055,83.321
medium_variant,916,2056,83.473
medium_variant,916,2057,83.623
medium_variant,916,2058,83.77
medium_variant,916,2059,83.915
medium_variant,916,2060,84.057
medium_variant,916,2061,84.197
medium_variant,916,2062,84.334
medium_variant,916,2063,84.47
medium_variant,916,2064,84.603
medium_variant,916,2065,84.735
medium_variant,916,2066,84.864
medium_variant,916,2067,84.992
medium_variant,916,2068,85.118
medium_variant,916,2069,85.241
medium_variant,916,2070,85.364
medium_variant,916,2071,85.485
medium_variant,916,2072,85.606
medium_variant,916,2073,85.726
medium_variant,916,2074,85.845
medium_variant,916,2075,85.964
medium_variant,916,2076,86.082
medium_variant,916,2077,86.2
medium_variant,916,2078,86.316
medium_variant,916,2079,86.431
medium_variant,916,2080,86.546
medium_variant,916,2081,86.66
medium_variant,916,2082,86.772
medium_variant,916,2083,86.885
medium_variant,916,2084,86.997
medium_variant,916,2085,87.109
medium_variant,916,2086,87.221
medium_variant,916,2087,87.334
medium_variant,916,2088,87.446
medium_variant,916,2089,87.559
medium_variant,916,2090,87.673
medium_variant,916,2091,87.786
medium_variant,916,2092,87.898
medium_variant,916,2093,88.01
medium_variant,916,2094,88.122
medium_variant,916,2095,88.232
medium_variant,916,2096,88.342
medium_variant,916,2097,88.451
medium_variant,916,2098,88.559
medium_variant,916,2099,88.666
