variant,region,year,lifeexpectancyatbirth
estimates,957,1950,48.632
estimates,957,1951,49.107
estimates,957,1952,50.022
estimates,957,1953,50.872
estimates,957,1954,51.655
estimates,957,1955,52.373
estimates,957,1956,53.026
estimates,957,1957,53.618
estimates,957,1958,54.154
estimates,957,1959,54.644
estimates,957,1960,55.096
estimates,957,1961,55.525
estimates,957,1962,55.942
estimates,957,1963,56.359
estimates,957,1964,56.782
estimates,957,1965,57.214
estimates,957,1966,57.649
estimates,957,1967,58.081
estimates,957,1968,58.503
estimates,957,1969,58.914
estimates,957,1970,59.314
estimates,957,1971,59.701
estimates,957,1972,60.081
estimates,957,1973,60.457
estimates,957,1974,60.836
estimates,957,1975,61.227
estimates,957,1976,61.641
estimates,957,1977,62.081
estimates,957,1978,62.547
estimates,957,1979,63.035
estimates,957,1980,63.536
estimates,957,1981,64.036
estimates,957,1982,64.522
estimates,957,1983,64.984
estimates,957,1984,65.417
estimates,957,1985,65.821
estimates,957,1986,66.201
estimates,957,1987,66.567
estimates,957,1988,66.927
estimates,957,1989,67.283
estimates,957,1990,67.638
estimates,957,1991,67.99
estimates,957,1992,68.338
estimates,957,1993,68.68
estimates,957,1994,69.015
estimates,957,1995,69.341
estimates,957,1996,69.658
estimates,957,1997,69.966
estimates,957,1998,70.267
estimates,957,1999,70.561
estimates,957,2000,70.854
estimates,957,2001,71.151
estimates,957,2002,71.454
estimates,957,2003,71.764
estimates,957,2004,72.081
estimates,957,2005,72.402
estimates,957,2006,72.723
estimates,957,2007,73.04
estimates,957,2008,73.347
estimates,957,2009,73.64
estimates,957,2010,73.918
estimates,957,2011,74.178
estimates,957,2012,74.422
estimates,957,2013,74.653
estimates,957,2014,74.871
estimates,957,2015,75.079
medium_variant,957,2015,75.079
medium_variant,957,2016,75.279
medium_variant,957,2017,75.474
medium_variant,957,2018,75.666
medium_variant,957,2019,75.858
medium_variant,957,2020,76.049
medium_variant,957,2021,76.241
medium_variant,957,2022,76.432
medium_variant,957,2023,76.62
medium_variant,957,2024,76.807
medium_variant,957,2025,76.993
medium_variant,957,2026,77.177
medium_variant,957,2027,77.36
medium_variant,957,2028,77.541
medium_variant,957,2029,77.722
medium_variant,957,2030,77.902
medium_variant,957,2031,78.081
medium_variant,957,2032,78.259
medium_variant,957,2033,78.438
medium_variant,957,2034,78.615
medium_variant,957,2035,78.793
medium_variant,957,2036,78.97
medium_variant,957,2037,79.146
medium_variant,957,2038,79.322
medium_variant,957,2039,79.497
medium_variant,957,2040,79.671
medium_variant,957,2041,79.845
medium_variant,957,2042,80.019
medium_variant,957,2043,80.192
medium_variant,957,2044,80.365
medium_variant,957,2045,80.537
medium_variant,957,2046,80.708
medium_variant,957,2047,80.879
medium_variant,957,2048,81.048
medium_variant,957,2049,81.216
medium_variant,957,2050,81.383
medium_variant,957,2051,81.548
medium_variant,957,2052,81.712
medium_variant,957,2053,81.874
medium_variant,957,2054,82.034
medium_variant,957,2055,82.191
medium_variant,957,2056,82.347
medium_variant,957,2057,82.5
medium_variant,957,2058,82.65
medium_variant,957,2059,82.798
medium_variant,957,2060,82.942
medium_variant,957,2061,83.084
medium_variant,957,2062,83.223
medium_variant,957,2063,83.36
medium_variant,957,2064,83.494
medium_variant,957,2065,83.626
medium_variant,957,2066,83.755
medium_variant,957,2067,83.883
medium_variant,957,2068,84.009
medium_variant,957,2069,84.133
medium_variant,957,2070,84.257
medium_variant,957,2071,84.38
medium_variant,957,2072,84.503
medium_variant,957,2073,84.625
medium_variant,957,2074,84.747
medium_variant,957,2075,84.869
medium_variant,957,2076,84.991
medium_variant,957,2077,85.112
medium_variant,957,2078,85.234
medium_variant,957,2079,85.355
medium_variant,957,2080,85.476
medium_variant,957,2081,85.596
medium_variant,957,2082,85.717
medium_variant,957,2083,85.837
medium_variant,957,2084,85.958
medium_variant,957,2085,86.078
medium_variant,957,2086,86.198
medium_variant,957,2087,86.318
medium_variant,957,2088,86.438
medium_variant,957,2089,86.558
medium_variant,957,2090,86.677
medium_variant,957,2091,86.796
medium_variant,957,2092,86.914
medium_variant,957,2093,87.032
medium_variant,957,2094,87.15
medium_variant,957,2095,87.267
medium_variant,957,2096,87.384
medium_variant,957,2097,87.501
medium_variant,957,2098,87.617
medium_variant,957,2099,87.733
