variant,region,year,lifeexpectancyatbirth
estimates,922,1950,42.482
estimates,922,1951,42.803
estimates,922,1952,43.443
estimates,922,1953,44.08
estimates,922,1954,44.713
estimates,922,1955,45.342
estimates,922,1956,45.969
estimates,922,1957,46.594
estimates,922,1958,47.221
estimates,922,1959,47.853
estimates,922,1960,48.496
estimates,922,1961,49.155
estimates,922,1962,49.832
estimates,922,1963,50.528
estimates,922,1964,51.241
estimates,922,1965,51.964
estimates,922,1966,52.687
estimates,922,1967,53.4
estimates,922,1968,54.097
estimates,922,1969,54.775
estimates,922,1970,55.437
estimates,922,1971,56.09
estimates,922,1972,56.743
estimates,922,1973,57.397
estimates,922,1974,58.05
estimates,922,1975,58.692
estimates,922,1976,59.309
estimates,922,1977,59.892
estimates,922,1978,60.437
estimates,922,1979,60.948
estimates,922,1980,61.436
estimates,922,1981,61.919
estimates,922,1982,62.413
estimates,922,1983,62.928
estimates,922,1984,63.462
estimates,922,1985,64.006
estimates,922,1986,64.545
estimates,922,1987,65.059
estimates,922,1988,65.537
estimates,922,1989,65.976
estimates,922,1990,66.379
estimates,922,1991,66.758
estimates,922,1992,67.126
estimates,922,1993,67.494
estimates,922,1994,67.867
estimates,922,1995,68.247
estimates,922,1996,68.63
estimates,922,1997,69.011
estimates,922,1998,69.381
estimates,922,1999,69.739
estimates,922,2000,70.081
estimates,922,2001,70.405
estimates,922,2002,70.712
estimates,922,2003,71
estimates,922,2004,71.269
estimates,922,2005,71.515
estimates,922,2006,71.735
estimates,922,2007,71.929
estimates,922,2008,72.102
estimates,922,2009,72.26
estimates,922,2010,72.41
estimates,922,2011,72.562
estimates,922,2012,72.725
estimates,922,2013,72.904
estimates,922,2014,73.103
estimates,922,2015,73.322
medium_variant,922,2015,73.322
medium_variant,922,2016,73.56
medium_variant,922,2017,73.81
medium_variant,922,2018,74.065
medium_variant,922,2019,74.319
medium_variant,922,2020,74.568
medium_variant,922,2021,74.808
medium_variant,922,2022,75.037
medium_variant,922,2023,75.254
medium_variant,922,2024,75.459
medium_variant,922,2025,75.65
medium_variant,922,2026,75.83
medium_variant,922,2027,76.002
medium_variant,922,2028,76.167
medium_variant,922,2029,76.329
medium_variant,922,2030,76.488
medium_variant,922,2031,76.644
medium_variant,922,2032,76.797
medium_variant,922,2033,76.948
medium_variant,922,2034,77.096
medium_variant,922,2035,77.243
medium_variant,922,2036,77.389
medium_variant,922,2037,77.534
medium_variant,922,2038,77.677
medium_variant,922,2039,77.82
medium_variant,922,2040,77.962
medium_variant,922,2041,78.103
medium_variant,922,2042,78.242
medium_variant,922,2043,78.379
medium_variant,922,2044,78.515
medium_variant,922,2045,78.649
medium_variant,922,2046,78.781
medium_variant,922,2047,78.912
medium_variant,922,2048,79.041
medium_variant,922,2049,79.169
medium_variant,922,2050,79.297
medium_variant,922,2051,79.422
medium_variant,922,2052,79.546
medium_variant,922,2053,79.669
medium_variant,922,2054,79.79
medium_variant,922,2055,79.91
medium_variant,922,2056,80.029
medium_variant,922,2057,80.146
medium_variant,922,2058,80.262
medium_variant,922,2059,80.377
medium_variant,922,2060,80.492
medium_variant,922,2061,80.606
medium_variant,922,2062,80.719
medium_variant,922,2063,80.832
medium_variant,922,2064,80.945
medium_variant,922,2065,81.057
medium_variant,922,2066,81.168
medium_variant,922,2067,81.279
medium_variant,922,2068,81.389
medium_variant,922,2069,81.499
medium_variant,922,2070,81.608
medium_variant,922,2071,81.717
medium_variant,922,2072,81.826
medium_variant,922,2073,81.935
medium_variant,922,2074,82.044
medium_variant,922,2075,82.153
medium_variant,922,2076,82.262
medium_variant,922,2077,82.37
medium_variant,922,2078,82.478
medium_variant,922,2079,82.585
medium_variant,922,2080,82.692
medium_variant,922,2081,82.799
medium_variant,922,2082,82.904
medium_variant,922,2083,83.01
medium_variant,922,2084,83.115
medium_variant,922,2085,83.22
medium_variant,922,2086,83.325
medium_variant,922,2087,83.431
medium_variant,922,2088,83.536
medium_variant,922,2089,83.642
medium_variant,922,2090,83.749
medium_variant,922,2091,83.856
medium_variant,922,2092,83.963
medium_variant,922,2093,84.07
medium_variant,922,2094,84.177
medium_variant,922,2095,84.283
medium_variant,922,2096,84.39
medium_variant,922,2097,84.497
medium_variant,922,2098,84.604
medium_variant,922,2099,84.71
