continent,year,variant,freq,agebroad,totaldeaths
909,1950,estimates,5yearly,"Region, subregion, country or area *",OCEANIA
909,1950,estimates,5yearly,0_4,157.104
909,1950,estimates,5yearly,5_9,12.701
909,1950,estimates,5yearly,10_14,9.737
909,1950,estimates,5yearly,15_19,12.907
909,1950,estimates,5yearly,20_24,16.388
909,1950,estimates,5yearly,25_29,17.067
909,1950,estimates,5yearly,30_34,17.248
909,1950,estimates,5yearly,35_39,19.286
909,1950,estimates,5yearly,40_44,23.012
909,1950,estimates,5yearly,45_49,28.229
909,1950,estimates,5yearly,50_54,35.542
909,1950,estimates,5yearly,55_59,44.535
909,1950,estimates,5yearly,60_64,57.92
909,1950,estimates,5yearly,65_69,71.407
909,1950,estimates,5yearly,70_74,79.482
909,1950,estimates,5yearly,75_79,76.255
909,1950,estimates,5yearly,80_84,59.03
909,1950,estimates,5yearly,85_89,35.393
909,1950,estimates,5yearly,90_94,15.18
909,1950,estimates,5yearly,95plus,4.538
909,1950,estimates,5yearly,0_14,179.542
909,1950,estimates,5yearly,0_19,192.449
909,1950,estimates,5yearly,0_24,208.837
909,1950,estimates,5yearly,5_14,22.438
909,1950,estimates,5yearly,15plus,613.419
909,1950,estimates,5yearly,15_24,29.295
909,1950,estimates,5yearly,15_49,134.137
909,1950,estimates,5yearly,15_59,214.214
909,1950,estimates,5yearly,15_64,272.134
909,1950,estimates,5yearly,20plus,600.512
909,1950,estimates,5yearly,20_64,259.227
909,1950,estimates,5yearly,20_69,330.634
909,1950,estimates,5yearly,25plus,584.124
909,1950,estimates,5yearly,25_69,314.246
909,1950,estimates,5yearly,40plus,530.523
909,1950,estimates,5yearly,50plus,479.282
909,1950,estimates,5yearly,60plus,399.205
909,1950,estimates,5yearly,65plus,341.285
909,1950,estimates,5yearly,70plus,269.878
909,1950,estimates,5yearly,80plus,114.141
909,1950,estimates,5yearly,90plus,19.718
909,1955,estimates,5yearly,"Region, subregion, country or area *",OCEANIA
909,1955,estimates,5yearly,0_4,155.977
909,1955,estimates,5yearly,5_9,12.591
909,1955,estimates,5yearly,10_14,9.568
909,1955,estimates,5yearly,15_19,12.592
909,1955,estimates,5yearly,20_24,15.411
909,1955,estimates,5yearly,25_29,15.864
909,1955,estimates,5yearly,30_34,16.851
909,1955,estimates,5yearly,35_39,18.972
909,1955,estimates,5yearly,40_44,22.621
909,1955,estimates,5yearly,45_49,28.765
909,1955,estimates,5yearly,50_54,36.259
909,1955,estimates,5yearly,55_59,45.361
909,1955,estimates,5yearly,60_64,57.46
909,1955,estimates,5yearly,65_69,72.034
909,1955,estimates,5yearly,70_74,84.863
909,1955,estimates,5yearly,75_79,84.047
909,1955,estimates,5yearly,80_84,67.323
909,1955,estimates,5yearly,85_89,39.535
909,1955,estimates,5yearly,90_94,15.613
909,1955,estimates,5yearly,95plus,4.373
909,1955,estimates,5yearly,0_14,178.136
909,1955,estimates,5yearly,0_19,190.728
909,1955,estimates,5yearly,0_24,206.139
909,1955,estimates,5yearly,5_14,22.159
909,1955,estimates,5yearly,15plus,637.944
909,1955,estimates,5yearly,15_24,28.003
909,1955,estimates,5yearly,15_49,131.076
909,1955,estimates,5yearly,15_59,212.696
909,1955,estimates,5yearly,15_64,270.156
909,1955,estimates,5yearly,20plus,625.352
909,1955,estimates,5yearly,20_64,257.564
909,1955,estimates,5yearly,20_69,329.598
909,1955,estimates,5yearly,25plus,609.941
909,1955,estimates,5yearly,25_69,314.187
909,1955,estimates,5yearly,40plus,558.254
909,1955,estimates,5yearly,50plus,506.868
909,1955,estimates,5yearly,60plus,425.248
909,1955,estimates,5yearly,65plus,367.788
909,1955,estimates,5yearly,70plus,295.754
909,1955,estimates,5yearly,80plus,126.844
909,1955,estimates,5yearly,90plus,19.986
909,1960,estimates,5yearly,"Region, subregion, country or area *",OCEANIA
909,1960,estimates,5yearly,0_4,151.269
909,1960,estimates,5yearly,5_9,12.33
909,1960,estimates,5yearly,10_14,9.813
909,1960,estimates,5yearly,15_19,13.32
909,1960,estimates,5yearly,20_24,15.915
909,1960,estimates,5yearly,25_29,15.64
909,1960,estimates,5yearly,30_34,16.426
909,1960,estimates,5yearly,35_39,19.639
909,1960,estimates,5yearly,40_44,23.962
909,1960,estimates,5yearly,45_49,30.839
909,1960,estimates,5yearly,50_54,40.454
909,1960,estimates,5yearly,55_59,50.358
909,1960,estimates,5yearly,60_64,62.315
909,1960,estimates,5yearly,65_69,74.814
909,1960,estimates,5yearly,70_74,89.147
909,1960,estimates,5yearly,75_79,92.731
909,1960,estimates,5yearly,80_84,76.522
909,1960,estimates,5yearly,85_89,46.961
909,1960,estimates,5yearly,90_94,18.383
909,1960,estimates,5yearly,95plus,4.753
909,1960,estimates,5yearly,0_14,173.412
909,1960,estimates,5yearly,0_19,186.732
909,1960,estimates,5yearly,0_24,202.647
909,1960,estimates,5yearly,5_14,22.143
909,1960,estimates,5yearly,15plus,692.179
909,1960,estimates,5yearly,15_24,29.235
909,1960,estimates,5yearly,15_49,135.741
909,1960,estimates,5yearly,15_59,226.553
909,1960,estimates,5yearly,15_64,288.868
909,1960,estimates,5yearly,20plus,678.859
909,1960,estimates,5yearly,20_64,275.548
909,1960,estimates,5yearly,20_69,350.362
909,1960,estimates,5yearly,25plus,662.944
909,1960,estimates,5yearly,25_69,334.447
909,1960,estimates,5yearly,40plus,611.239
909,1960,estimates,5yearly,50plus,556.438
909,1960,estimates,5yearly,60plus,465.626
909,1960,estimates,5yearly,65plus,403.311
909,1960,estimates,5yearly,70plus,328.497
909,1960,estimates,5yearly,80plus,146.619
909,1960,estimates,5yearly,90plus,23.136
909,1965,estimates,5yearly,"Region, subregion, country or area *",OCEANIA
909,1965,estimates,5yearly,0_4,141.593
909,1965,estimates,5yearly,5_9,11.326
909,1965,estimates,5yearly,10_14,9.626
909,1965,estimates,5yearly,15_19,14.185
909,1965,estimates,5yearly,20_24,16.357
909,1965,estimates,5yearly,25_29,14.889
909,1965,estimates,5yearly,30_34,15.474
909,1965,estimates,5yearly,35_39,18.869
909,1965,estimates,5yearly,40_44,25.031
909,1965,estimates,5yearly,45_49,32.813
909,1965,estimates,5yearly,50_54,43.758
909,1965,estimates,5yearly,55_59,57.506
909,1965,estimates,5yearly,60_64,70.959
909,1965,estimates,5yearly,65_69,83.641
909,1965,estimates,5yearly,70_74,95.369
909,1965,estimates,5yearly,75_79,99.235
909,1965,estimates,5yearly,80_84,85.533
909,1965,estimates,5yearly,85_89,54.681
909,1965,estimates,5yearly,90_94,22.685
909,1965,estimates,5yearly,95plus,5.817
909,1965,estimates,5yearly,0_14,162.545
