continent,year,variant,freq,agebroad,totaldeaths
935,1950,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1950,estimates,5yearly,0_4,71055.42
935,1950,estimates,5yearly,5_9,5594.761
935,1950,estimates,5yearly,10_14,4262.309
935,1950,estimates,5yearly,15_19,4079.99
935,1950,estimates,5yearly,20_24,4540.17
935,1950,estimates,5yearly,25_29,4558.061
935,1950,estimates,5yearly,30_34,4561.795
935,1950,estimates,5yearly,35_39,4905.115
935,1950,estimates,5yearly,40_44,5530.437
935,1950,estimates,5yearly,45_49,5980.2
935,1950,estimates,5yearly,50_54,6235.345
935,1950,estimates,5yearly,55_59,7107.62
935,1950,estimates,5yearly,60_64,8494.99
935,1950,estimates,5yearly,65_69,8890.28
935,1950,estimates,5yearly,70_74,8090.283
935,1950,estimates,5yearly,75_79,6442.816
935,1950,estimates,5yearly,80_84,3802.72
935,1950,estimates,5yearly,85_89,1489.889
935,1950,estimates,5yearly,90_94,423.705
935,1950,estimates,5yearly,95plus,94.054
935,1950,estimates,5yearly,0_14,80912.49
935,1950,estimates,5yearly,0_19,84992.48
935,1950,estimates,5yearly,0_24,89532.65
935,1950,estimates,5yearly,5_14,9857.07
935,1950,estimates,5yearly,15plus,85227.47
935,1950,estimates,5yearly,15_24,8620.16
935,1950,estimates,5yearly,15_49,34155.768
935,1950,estimates,5yearly,15_59,47498.733
935,1950,estimates,5yearly,15_64,55993.723
935,1950,estimates,5yearly,20plus,81147.48
935,1950,estimates,5yearly,20_64,51913.733
935,1950,estimates,5yearly,20_69,60804.013
935,1950,estimates,5yearly,25plus,76607.31
935,1950,estimates,5yearly,25_69,56263.843
935,1950,estimates,5yearly,40plus,62582.339
935,1950,estimates,5yearly,50plus,51071.702
935,1950,estimates,5yearly,60plus,37728.737
935,1950,estimates,5yearly,65plus,29233.747
935,1950,estimates,5yearly,70plus,20343.467
935,1950,estimates,5yearly,80plus,5810.368
935,1950,estimates,5yearly,90plus,517.759
935,1955,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1955,estimates,5yearly,0_4,70321.176
935,1955,estimates,5yearly,5_9,5825.172
935,1955,estimates,5yearly,10_14,3966.129
935,1955,estimates,5yearly,15_19,3637.333
935,1955,estimates,5yearly,20_24,4167.937
935,1955,estimates,5yearly,25_29,4310.657
935,1955,estimates,5yearly,30_34,4357.572
935,1955,estimates,5yearly,35_39,4659.892
935,1955,estimates,5yearly,40_44,5191.036
935,1955,estimates,5yearly,45_49,5736.305
935,1955,estimates,5yearly,50_54,6451.67
935,1955,estimates,5yearly,55_59,7547.243
935,1955,estimates,5yearly,60_64,8593.172
935,1955,estimates,5yearly,65_69,9073.617
935,1955,estimates,5yearly,70_74,8604.705
