continent,year,variant,freq,agebroad,totaldeaths
908,1950,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1950,estimates,5yearly,0_4,5546.255
908,1950,estimates,5yearly,5_9,262.501
908,1950,estimates,5yearly,10_14,219.014
908,1950,estimates,5yearly,15_19,332.331
908,1950,estimates,5yearly,20_24,464.228
908,1950,estimates,5yearly,25_29,510.302
908,1950,estimates,5yearly,30_34,450.821
908,1950,estimates,5yearly,35_39,543.804
908,1950,estimates,5yearly,40_44,811.527
908,1950,estimates,5yearly,45_49,1103.528
908,1950,estimates,5yearly,50_54,1422.581
908,1950,estimates,5yearly,55_59,1759.886
908,1950,estimates,5yearly,60_64,2265.172
908,1950,estimates,5yearly,65_69,2950.524
908,1950,estimates,5yearly,70_74,3626.561
908,1950,estimates,5yearly,75_79,3808.928
908,1950,estimates,5yearly,80_84,2948.971
908,1950,estimates,5yearly,85_89,1610.214
908,1950,estimates,5yearly,90_94,619.058
908,1950,estimates,5yearly,95plus,165.581
908,1950,estimates,5yearly,0_14,6027.77
908,1950,estimates,5yearly,0_19,6360.101
908,1950,estimates,5yearly,0_24,6824.329
908,1950,estimates,5yearly,5_14,481.515
908,1950,estimates,5yearly,15plus,25394.017
908,1950,estimates,5yearly,15_24,796.559
908,1950,estimates,5yearly,15_49,4216.541
908,1950,estimates,5yearly,15_59,7399.008
908,1950,estimates,5yearly,15_64,9664.18
908,1950,estimates,5yearly,20plus,25061.686
908,1950,estimates,5yearly,20_64,9331.849
908,1950,estimates,5yearly,20_69,12282.373
908,1950,estimates,5yearly,25plus,24597.458
908,1950,estimates,5yearly,25_69,11818.145
908,1950,estimates,5yearly,40plus,23092.531
908,1950,estimates,5yearly,50plus,21177.476
908,1950,estimates,5yearly,60plus,17995.009
908,1950,estimates,5yearly,65plus,15729.837
908,1950,estimates,5yearly,70plus,12779.313
908,1950,estimates,5yearly,80plus,5343.824
908,1950,estimates,5yearly,90plus,784.639
908,1955,estimates,5yearly,"Region, subregion, country or area *",EUROPE
908,1955,estimates,5yearly,0_4,3798.517
908,1955,estimates,5yearly,5_9,198.876
908,1955,estimates,5yearly,10_14,148.193
908,1955,estimates,5yearly,15_19,233.017
