country,variant,gender,freq,year,lifeexpectancyatbirth
175,estimates,female,5yearly,1950,50.59
175,estimates,male,5yearly,1950,44.91
175,estimates,female,5yearly,1955,56.95
175,estimates,male,5yearly,1955,49.87
175,estimates,female,5yearly,1960,61.51
175,estimates,male,5yearly,1960,53.95
175,estimates,female,5yearly,1965,65.35
175,estimates,male,5yearly,1965,57.49
175,estimates,female,5yearly,1970,68.58
175,estimates,male,5yearly,1970,60.54
175,estimates,female,5yearly,1975,71.33
175,estimates,male,5yearly,1975,63.22
175,estimates,female,5yearly,1980,73.68
175,estimates,male,5yearly,1980,65.59
175,estimates,female,5yearly,1985,75.73
175,estimates,male,5yearly,1985,67.7
175,estimates,female,5yearly,1990,77.53
175,estimates,male,5yearly,1990,69.61
175,estimates,female,5yearly,1995,79.12
175,estimates,male,5yearly,1995,71.36
175,estimates,female,5yearly,2000,80.56
175,estimates,male,5yearly,2000,72.97
175,estimates,female,5yearly,2005,81.87
175,estimates,male,5yearly,2005,74.47
175,estimates,female,5yearly,2010,82.9
175,estimates,male,5yearly,2010,76.04
175,medium_variant,female,5yearly,2015,83.75
175,medium_variant,male,5yearly,2015,77.32
175,medium_variant,female,5yearly,2020,84.56
175,medium_variant,male,5yearly,2020,78.61
175,medium_variant,female,5yearly,2025,85.31
175,medium_variant,male,5yearly,2025,79.84
175,medium_variant,female,5yearly,2030,86.05
175,medium_variant,male,5yearly,2030,80.8
175,medium_variant,female,5yearly,2035,86.77
175,medium_variant,male,5yearly,2035,81.59
175,medium_variant,female,5yearly,2040,87.46
175,medium_variant,male,5yearly,2040,82.32
175,medium_variant,female,5yearly,2045,88.13
175,medium_variant,male,5yearly,2045,83.0
175,medium_variant,female,5yearly,2050,88.78
175,medium_variant,male,5yearly,2050,83.66
175,medium_variant,female,5yearly,2055,89.44
175,medium_variant,male,5yearly,2055,84.31
175,medium_variant,female,5yearly,2060,90.07
175,medium_variant,male,5yearly,2060,84.94
175,medium_variant,female,5yearly,2065,90.69
175,medium_variant,male,5yearly,2065,85.57
175,medium_variant,female,5yearly,2070,91.3
175,medium_variant,male,5yearly,2070,86.19
175,medium_variant,female,5yearly,2075,91.91
175,medium_variant,male,5yearly,2075,86.78
175,medium_variant,female,5yearly,2080,92.52
175,medium_variant,male,5yearly,2080,87.38
175,medium_variant,female,5yearly,2085,93.11
175,medium_variant,male,5yearly,2085,87.97
175,medium_variant,female,5yearly,2090,93.72
175,medium_variant,male,5yearly,2090,88.57
175,medium_variant,female,5yearly,2095,94.3
175,medium_variant,male,5yearly,2095,89.16
175,estimates,female,5yearly,Regi,Mayotte
175,estimates,male,5yearly,Regi,Mayotte
175,medium_variant,female,5yearly,Regi,Mayotte
175,medium_variant,male,5yearly,Regi,Mayotte
