country,variant,gender,freq,year,lifeexpectancyatbirth
56,estimates,female,5yearly,1950,70.36
56,estimates,male,5yearly,1950,65.34
56,estimates,female,5yearly,1955,72.21
56,estimates,male,5yearly,1955,66.77
56,estimates,female,5yearly,1960,73.33
56,estimates,male,5yearly,1960,67.37
56,estimates,female,5yearly,1965,73.88
56,estimates,male,5yearly,1965,67.65
56,estimates,female,5yearly,1970,74.78
56,estimates,male,5yearly,1970,68.32
56,estimates,female,5yearly,1975,75.99
56,estimates,male,5yearly,1975,69.4
56,estimates,female,5yearly,1980,77.28
56,estimates,male,5yearly,1980,70.59
56,estimates,female,5yearly,1985,78.6
56,estimates,male,5yearly,1985,71.93
56,estimates,female,5yearly,1990,79.73
56,estimates,male,5yearly,1990,73.04
56,estimates,female,5yearly,1995,80.6
56,estimates,male,5yearly,1995,74.14
56,estimates,female,5yearly,2000,81.36
56,estimates,male,5yearly,2000,75.34
56,estimates,female,5yearly,2005,82.27
56,estimates,male,5yearly,2005,76.79
56,estimates,female,5yearly,2010,83.0
56,estimates,male,5yearly,2010,77.97
56,medium_variant,female,5yearly,2015,83.68
56,medium_variant,male,5yearly,2015,79.02
56,medium_variant,female,5yearly,2020,84.35
56,medium_variant,male,5yearly,2020,80.09
56,medium_variant,female,5yearly,2025,84.98
56,medium_variant,male,5yearly,2025,81.16
56,medium_variant,female,5yearly,2030,85.61
56,medium_variant,male,5yearly,2030,82.1
56,medium_variant,female,5yearly,2035,86.23
56,medium_variant,male,5yearly,2035,82.86
56,medium_variant,female,5yearly,2040,86.84
56,medium_variant,male,5yearly,2040,83.54
56,medium_variant,female,5yearly,2045,87.43
56,medium_variant,male,5yearly,2045,84.16
56,medium_variant,female,5yearly,2050,88.03
56,medium_variant,male,5yearly,2050,84.75
56,medium_variant,female,5yearly,2055,88.62
56,medium_variant,male,5yearly,2055,85.36
56,medium_variant,female,5yearly,2060,89.18
56,medium_variant,male,5yearly,2060,85.92
56,medium_variant,female,5yearly,2065,89.75
56,medium_variant,male,5yearly,2065,86.49
56,medium_variant,female,5yearly,2070,90.33
56,medium_variant,male,5yearly,2070,87.05
56,medium_variant,female,5yearly,2075,90.89
56,medium_variant,male,5yearly,2075,87.61
56,medium_variant,female,5yearly,2080,91.47
56,medium_variant,male,5yearly,2080,88.17
56,medium_variant,female,5yearly,2085,92.03
56,medium_variant,male,5yearly,2085,88.72
56,medium_variant,female,5yearly,2090,92.58
56,medium_variant,male,5yearly,2090,89.26
56,medium_variant,female,5yearly,2095,93.15
56,medium_variant,male,5yearly,2095,89.82
56,estimates,female,5yearly,Regi,Belgium
56,estimates,male,5yearly,Regi,Belgium
56,medium_variant,female,5yearly,Regi,Belgium
56,medium_variant,male,5yearly,Regi,Belgium
