country,variant,gender,freq,year,lifeexpectancyatbirth
643,estimates,female,5yearly,1950,61.98
643,estimates,male,5yearly,1950,53.92
643,estimates,female,5yearly,1955,68.24
643,estimates,male,5yearly,1955,60.1
643,estimates,female,5yearly,1960,71.43
643,estimates,male,5yearly,1960,63.08
643,estimates,female,5yearly,1965,72.55
643,estimates,male,5yearly,1965,63.23
643,estimates,female,5yearly,1970,72.9
643,estimates,male,5yearly,1970,62.75
643,estimates,female,5yearly,1975,72.84
643,estimates,male,5yearly,1975,61.55
643,estimates,female,5yearly,1980,72.97
643,estimates,male,5yearly,1980,61.46
643,estimates,female,5yearly,1985,73.86
643,estimates,male,5yearly,1985,63.86
643,estimates,female,5yearly,1990,72.77
643,estimates,male,5yearly,1990,60.57
643,estimates,female,5yearly,1995,72.26
643,estimates,male,5yearly,1995,59.61
643,estimates,female,5yearly,2000,71.98
643,estimates,male,5yearly,2000,58.63
643,estimates,female,5yearly,2005,73.69
643,estimates,male,5yearly,2005,60.97
643,estimates,female,5yearly,2010,75.92
643,estimates,male,5yearly,2010,64.66
643,medium_variant,female,5yearly,2015,76.76
643,medium_variant,male,5yearly,2015,65.59
643,medium_variant,female,5yearly,2020,77.52
643,medium_variant,male,5yearly,2020,66.51
643,medium_variant,female,5yearly,2025,78.24
643,medium_variant,male,5yearly,2025,67.41
643,medium_variant,female,5yearly,2030,78.9
643,medium_variant,male,5yearly,2030,68.31
643,medium_variant,female,5yearly,2035,79.55
643,medium_variant,male,5yearly,2035,69.23
643,medium_variant,female,5yearly,2040,80.18
643,medium_variant,male,5yearly,2040,70.14
643,medium_variant,female,5yearly,2045,80.77
643,medium_variant,male,5yearly,2045,71.08
643,medium_variant,female,5yearly,2050,81.36
643,medium_variant,male,5yearly,2050,72.03
643,medium_variant,female,5yearly,2055,81.92
643,medium_variant,male,5yearly,2055,72.97
643,medium_variant,female,5yearly,2060,82.47
643,medium_variant,male,5yearly,2060,73.93
643,medium_variant,female,5yearly,2065,83.03
643,medium_variant,male,5yearly,2065,74.92
643,medium_variant,female,5yearly,2070,83.56
643,medium_variant,male,5yearly,2070,75.9
643,medium_variant,female,5yearly,2075,84.09
643,medium_variant,male,5yearly,2075,76.87
643,medium_variant,female,5yearly,2080,84.62
643,medium_variant,male,5yearly,2080,77.82
643,medium_variant,female,5yearly,2085,85.15
643,medium_variant,male,5yearly,2085,78.67
643,medium_variant,female,5yearly,2090,85.67
643,medium_variant,male,5yearly,2090,79.48
643,medium_variant,female,5yearly,2095,86.19
643,medium_variant,male,5yearly,2095,80.18
643,estimates,female,5yearly,Regi,Russian Federation
643,estimates,male,5yearly,Regi,Russian Federation
643,medium_variant,female,5yearly,Regi,Russian Federation
643,medium_variant,male,5yearly,Regi,Russian Federation
