country,variant,gender,freq,year,lifeexpectancyatbirth
729,estimates,female,5yearly,1950,45.99
729,estimates,male,5yearly,1950,43.15
729,estimates,female,5yearly,1955,48.53
729,estimates,male,5yearly,1955,45.69
729,estimates,female,5yearly,1960,50.69
729,estimates,male,5yearly,1960,47.81
729,estimates,female,5yearly,1965,52.7
729,estimates,male,5yearly,1965,49.82
729,estimates,female,5yearly,1970,54.54
729,estimates,male,5yearly,1970,51.63
729,estimates,female,5yearly,1975,55.5
729,estimates,male,5yearly,1975,52.55
729,estimates,female,5yearly,1980,55.95
729,estimates,male,5yearly,1980,53.02
729,estimates,female,5yearly,1985,56.63
729,estimates,male,5yearly,1985,53.7
729,estimates,female,5yearly,1990,57.59
729,estimates,male,5yearly,1990,54.46
729,estimates,female,5yearly,1995,59.4
729,estimates,male,5yearly,1995,55.83
729,estimates,female,5yearly,2000,61.28
729,estimates,male,5yearly,2000,57.54
729,estimates,female,5yearly,2005,63.25
729,estimates,male,5yearly,2005,59.81
729,estimates,female,5yearly,2010,65.14
729,estimates,male,5yearly,2010,62.07
729,medium_variant,female,5yearly,2015,66.41
729,medium_variant,male,5yearly,2015,63.14
729,medium_variant,female,5yearly,2020,67.6
729,medium_variant,male,5yearly,2020,64.09
729,medium_variant,female,5yearly,2025,68.71
729,medium_variant,male,5yearly,2025,64.99
729,medium_variant,female,5yearly,2030,69.74
729,medium_variant,male,5yearly,2030,65.78
729,medium_variant,female,5yearly,2035,70.73
729,medium_variant,male,5yearly,2035,66.57
729,medium_variant,female,5yearly,2040,71.63
729,medium_variant,male,5yearly,2040,67.25
729,medium_variant,female,5yearly,2045,72.49
729,medium_variant,male,5yearly,2045,67.89
729,medium_variant,female,5yearly,2050,73.32
729,medium_variant,male,5yearly,2050,68.5
729,medium_variant,female,5yearly,2055,74.11
729,medium_variant,male,5yearly,2055,69.05
729,medium_variant,female,5yearly,2060,74.84
729,medium_variant,male,5yearly,2060,69.61
729,medium_variant,female,5yearly,2065,75.56
729,medium_variant,male,5yearly,2065,70.2
729,medium_variant,female,5yearly,2070,76.24
729,medium_variant,male,5yearly,2070,70.77
729,medium_variant,female,5yearly,2075,76.91
729,medium_variant,male,5yearly,2075,71.37
729,medium_variant,female,5yearly,2080,77.58
729,medium_variant,male,5yearly,2080,71.99
729,medium_variant,female,5yearly,2085,78.21
729,medium_variant,male,5yearly,2085,72.63
729,medium_variant,female,5yearly,2090,78.85
729,medium_variant,male,5yearly,2090,73.28
729,medium_variant,female,5yearly,2095,79.45
729,medium_variant,male,5yearly,2095,74.0
729,estimates,female,5yearly,Regi,Sudan
729,estimates,male,5yearly,Regi,Sudan
729,medium_variant,female,5yearly,Regi,Sudan
729,medium_variant,male,5yearly,Regi,Sudan
