country,variant,gender,freq,year,lifeexpectancyatbirth
662,estimates,female,5yearly,1950,55.29
662,estimates,male,5yearly,1950,49.59
662,estimates,female,5yearly,1955,58.78
662,estimates,male,5yearly,1955,51.88
662,estimates,female,5yearly,1960,63.01
662,estimates,male,5yearly,1960,55.69
662,estimates,female,5yearly,1965,64.69
662,estimates,male,5yearly,1965,58.33
662,estimates,female,5yearly,1970,67.83
662,estimates,male,5yearly,1970,61.09
662,estimates,female,5yearly,1975,70.8
662,estimates,male,5yearly,1975,64.02
662,estimates,female,5yearly,1980,73.45
662,estimates,male,5yearly,1980,66.52
662,estimates,female,5yearly,1985,73.44
662,estimates,male,5yearly,1985,68.02
662,estimates,female,5yearly,1990,73.47
662,estimates,male,5yearly,1990,69.21
662,estimates,female,5yearly,1995,73.08
662,estimates,male,5yearly,1995,69.26
662,estimates,female,5yearly,2000,74.03
662,estimates,male,5yearly,2000,70.13
662,estimates,female,5yearly,2005,76.62
662,estimates,male,5yearly,2005,71.42
662,estimates,female,5yearly,2010,77.57
662,estimates,male,5yearly,2010,72.17
662,medium_variant,female,5yearly,2015,78.52
662,medium_variant,male,5yearly,2015,73.15
662,medium_variant,female,5yearly,2020,79.41
662,medium_variant,male,5yearly,2020,74.13
662,medium_variant,female,5yearly,2025,80.21
662,medium_variant,male,5yearly,2025,75.08
662,medium_variant,female,5yearly,2030,80.99
662,medium_variant,male,5yearly,2030,76.05
662,medium_variant,female,5yearly,2035,81.73
662,medium_variant,male,5yearly,2035,77.02
662,medium_variant,female,5yearly,2040,82.43
662,medium_variant,male,5yearly,2040,77.99
662,medium_variant,female,5yearly,2045,83.11
662,medium_variant,male,5yearly,2045,78.97
662,medium_variant,female,5yearly,2050,83.76
662,medium_variant,male,5yearly,2050,79.97
662,medium_variant,female,5yearly,2055,84.41
662,medium_variant,male,5yearly,2055,80.97
662,medium_variant,female,5yearly,2060,85.02
662,medium_variant,male,5yearly,2060,81.89
662,medium_variant,female,5yearly,2065,85.63
662,medium_variant,male,5yearly,2065,82.74
662,medium_variant,female,5yearly,2070,86.24
662,medium_variant,male,5yearly,2070,83.49
662,medium_variant,female,5yearly,2075,86.82
662,medium_variant,male,5yearly,2075,84.14
662,medium_variant,female,5yearly,2080,87.39
662,medium_variant,male,5yearly,2080,84.75
662,medium_variant,female,5yearly,2085,87.97
662,medium_variant,male,5yearly,2085,85.32
662,medium_variant,female,5yearly,2090,88.54
662,medium_variant,male,5yearly,2090,85.88
662,medium_variant,female,5yearly,2095,89.13
662,medium_variant,male,5yearly,2095,86.42
662,estimates,female,5yearly,Regi,Saint Lucia
662,estimates,male,5yearly,Regi,Saint Lucia
662,medium_variant,female,5yearly,Regi,Saint Lucia
662,medium_variant,male,5yearly,Regi,Saint Lucia
