country,variant,freq,year,lifeexpectancyat60
344,estimates,5yearly,1950,16.195359
344,estimates,5yearly,1955,16.894201
344,estimates,5yearly,1960,17.570039
344,estimates,5yearly,1965,18.308734
344,estimates,5yearly,1970,18.885459
344,estimates,5yearly,1975,19.178731
344,estimates,5yearly,1980,20.181355
344,estimates,5yearly,1985,20.807985
344,estimates,5yearly,1990,21.472803
344,estimates,5yearly,1995,22.949174
344,estimates,5yearly,2000,24.064865
344,estimates,5yearly,2005,24.788235
344,estimates,5yearly,2010,25.634442
344,medium_variant,5yearly,2015,26.230032
344,medium_variant,5yearly,2020,26.833183
344,medium_variant,5yearly,2025,27.456954
344,medium_variant,5yearly,2030,28.089073
344,medium_variant,5yearly,2035,28.726159
344,medium_variant,5yearly,2040,29.371159
344,medium_variant,5yearly,2045,30.007511
344,medium_variant,5yearly,2050,30.617543
344,medium_variant,5yearly,2055,31.201119
344,medium_variant,5yearly,2060,31.75632
344,medium_variant,5yearly,2065,32.275667
344,medium_variant,5yearly,2070,32.765713
344,medium_variant,5yearly,2075,33.237147
344,medium_variant,5yearly,2080,33.688099
344,medium_variant,5yearly,2085,34.156811
344,medium_variant,5yearly,2090,34.62876
344,medium_variant,5yearly,2095,35.113895
344,estimates,5yearly,Regi,"China, Hong Kong SAR"
344,medium_variant,5yearly,Regi,"China, Hong Kong SAR"
