country,variant,freq,year,lifeexpectancyat60
222,estimates,5yearly,1950,13.031919
222,estimates,5yearly,1955,14.343223
222,estimates,5yearly,1960,15.282763
222,estimates,5yearly,1965,15.560422
222,estimates,5yearly,1970,16.03159
222,estimates,5yearly,1975,16.815634
222,estimates,5yearly,1980,17.388091
222,estimates,5yearly,1985,18.005125
222,estimates,5yearly,1990,18.387443
222,estimates,5yearly,1995,18.8359
222,estimates,5yearly,2000,19.664377
222,estimates,5yearly,2005,20.683166
222,estimates,5yearly,2010,21.47132
222,medium_variant,5yearly,2015,21.968437
222,medium_variant,5yearly,2020,22.467776
222,medium_variant,5yearly,2025,22.985732
222,medium_variant,5yearly,2030,23.489394
222,medium_variant,5yearly,2035,23.985973
222,medium_variant,5yearly,2040,24.457061
222,medium_variant,5yearly,2045,24.927308
222,medium_variant,5yearly,2050,25.392502
222,medium_variant,5yearly,2055,25.869162
222,medium_variant,5yearly,2060,26.31328
222,medium_variant,5yearly,2065,26.727487
222,medium_variant,5yearly,2070,27.116254
222,medium_variant,5yearly,2075,27.481149
222,medium_variant,5yearly,2080,27.834241
222,medium_variant,5yearly,2085,28.200556
222,medium_variant,5yearly,2090,28.570547
222,medium_variant,5yearly,2095,28.944472
