country,variant,freq,year,lifeexpectancyat60
364,estimates,5yearly,1950,12.797745
364,estimates,5yearly,1955,13.133918
364,estimates,5yearly,1960,13.373932
364,estimates,5yearly,1965,13.651868
364,estimates,5yearly,1970,14.028195
364,estimates,5yearly,1975,14.507309
364,estimates,5yearly,1980,15.489553
364,estimates,5yearly,1985,16.79745
364,estimates,5yearly,1990,16.996513
364,estimates,5yearly,1995,17.652598
364,estimates,5yearly,2000,18.484455
364,estimates,5yearly,2005,19.128797
364,estimates,5yearly,2010,19.394415
364,medium_variant,5yearly,2015,20.065261
364,medium_variant,5yearly,2020,20.711029
364,medium_variant,5yearly,2025,21.346303
364,medium_variant,5yearly,2030,21.998623
364,medium_variant,5yearly,2035,22.64257
364,medium_variant,5yearly,2040,23.282504
364,medium_variant,5yearly,2045,23.942384
364,medium_variant,5yearly,2050,24.597072
364,medium_variant,5yearly,2055,25.239289
364,medium_variant,5yearly,2060,25.864452
364,medium_variant,5yearly,2065,26.461863
364,medium_variant,5yearly,2070,27.011731
364,medium_variant,5yearly,2075,27.527026
364,medium_variant,5yearly,2080,28.044837
364,medium_variant,5yearly,2085,28.54991
364,medium_variant,5yearly,2090,29.050889
364,medium_variant,5yearly,2095,29.547882
364,estimates,5yearly,Regi,Iran (Islamic Republic of)
364,medium_variant,5yearly,Regi,Iran (Islamic Republic of)
