country,variant,freq,year,lifeexpectancyat60
380,estimates,5yearly,1950,17.20764
380,estimates,5yearly,1955,17.557152
380,estimates,5yearly,1960,17.858597
380,estimates,5yearly,1965,18.075981
380,estimates,5yearly,1970,18.579537
380,estimates,5yearly,1975,18.948892
380,estimates,5yearly,1980,19.582709
380,estimates,5yearly,1985,20.545933
380,estimates,5yearly,1990,21.433305
380,estimates,5yearly,1995,22.259388
380,estimates,5yearly,2000,23.253071
380,estimates,5yearly,2005,24.112122
380,estimates,5yearly,2010,24.677784
380,medium_variant,5yearly,2015,25.365563
380,medium_variant,5yearly,2020,25.967033
380,medium_variant,5yearly,2025,26.498572
380,medium_variant,5yearly,2030,27.022709
380,medium_variant,5yearly,2035,27.537104
380,medium_variant,5yearly,2040,28.052035
380,medium_variant,5yearly,2045,28.560782
380,medium_variant,5yearly,2050,29.058056
380,medium_variant,5yearly,2055,29.561086
380,medium_variant,5yearly,2060,30.071839
380,medium_variant,5yearly,2065,30.580926
380,medium_variant,5yearly,2070,31.091323
380,medium_variant,5yearly,2075,31.601297
380,medium_variant,5yearly,2080,32.106855
380,medium_variant,5yearly,2085,32.61517
380,medium_variant,5yearly,2090,33.136725
380,medium_variant,5yearly,2095,33.649476
380,estimates,5yearly,Regi,Italy
380,medium_variant,5yearly,Regi,Italy
