continent,variant,gender,freq,year,lifeexpectancyatbirth
935,estimates,female,5yearly,1950,43.2248522066256
935,estimates,male,5yearly,1950,41.5213822607876
935,estimates,female,5yearly,1955,45.5334417646636
935,estimates,male,5yearly,1955,43.6333192003222
935,estimates,female,5yearly,1960,47.4458590912508
935,estimates,male,5yearly,1960,45.6180972446911
935,estimates,female,5yearly,1965,53.988015190166
935,estimates,male,5yearly,1965,51.6668062067737
935,estimates,female,5yearly,1970,57.6138335374512
935,estimates,male,5yearly,1970,55.4515708714661
935,estimates,female,5yearly,1975,60.5892314095126
935,estimates,male,5yearly,1975,58.1278574934895
935,estimates,female,5yearly,1980,63.0931813723868
935,estimates,male,5yearly,1980,60.1437225456943
935,estimates,female,5yearly,1985,65.0555718831368
935,estimates,male,5yearly,1985,62.1631060193618
935,estimates,female,5yearly,1990,66.8193463480642
935,estimates,male,5yearly,1990,63.6368615596752
935,estimates,female,5yearly,1995,68.4848361809261
935,estimates,male,5yearly,1995,65.0355842128285
935,estimates,female,5yearly,2000,70.3451672173373
935,estimates,male,5yearly,2000,67.0419719980345
935,estimates,female,5yearly,2005,72.1517265905714
935,estimates,male,5yearly,2005,68.6216236427462
935,estimates,female,5yearly,2010,73.7934035975599
935,estimates,male,5yearly,2010,69.9466585119138
935,medium_variant,female,5yearly,2015,74.9157994291855
935,medium_variant,male,5yearly,2015,70.9286987591112
935,medium_variant,female,5yearly,2020,75.8973304956929
935,medium_variant,male,5yearly,2020,71.8173250794131
935,medium_variant,female,5yearly,2025,76.777974365212
935,medium_variant,male,5yearly,2025,72.6058544443432
935,medium_variant,female,5yearly,2030,77.5979480020817
935,medium_variant,male,5yearly,2030,73.3361171072112
935,medium_variant,female,5yearly,2035,78.3321329598329
935,medium_variant,male,5yearly,2035,74.0235964974172
935,medium_variant,female,5yearly,2040,79.0188575480329
935,medium_variant,male,5yearly,2040,74.7065058386872
935,medium_variant,female,5yearly,2045,79.6630301475365
935,medium_variant,male,5yearly,2045,75.3774354342711
935,medium_variant,female,5yearly,2050,80.2717676671687
935,medium_variant,male,5yearly,2050,76.0471169739923
935,medium_variant,female,5yearly,2055,80.8539154818709
935,medium_variant,male,5yearly,2055,76.6950718725666
935,medium_variant,female,5yearly,2060,81.4108913898252
935,medium_variant,male,5yearly,2060,77.3453165659136
935,medium_variant,female,5yearly,2065,81.9547051971991
935,medium_variant,male,5yearly,2065,77.9804329401818
935,medium_variant,female,5yearly,2070,82.4834955487532
935,medium_variant,male,5yearly,2070,78.6263475460645
935,medium_variant,female,5yearly,2075,83.0160406814015
935,medium_variant,male,5yearly,2075,79.2608997218035
935,medium_variant,female,5yearly,2080,83.5591284916293
935,medium_variant,male,5yearly,2080,79.8998305800032
935,medium_variant,female,5yearly,2085,84.1071541392884
935,medium_variant,male,5yearly,2085,80.5637858745929
935,medium_variant,female,5yearly,2090,84.6533657773863
935,medium_variant,male,5yearly,2090,81.223719974484
935,medium_variant,female,5yearly,2095,85.2119000322317
935,medium_variant,male,5yearly,2095,81.9164056242824
935,estimates,female,5yearly,Regi,ASIA
935,estimates,male,5yearly,Regi,ASIA
935,medium_variant,female,5yearly,Regi,ASIA
935,medium_variant,male,5yearly,Regi,ASIA
