continent,variant,gender,freq,year,lifeexpectancyatbirth
908,estimates,female,5yearly,1950,66.1471270505842
908,estimates,male,5yearly,1950,60.9731604610196
908,estimates,female,5yearly,1955,69.7770168355401
908,estimates,male,5yearly,1955,64.1884545496934
908,estimates,female,5yearly,1960,72.0820871007539
908,estimates,male,5yearly,1960,66.0241318080065
908,estimates,female,5yearly,1965,73.241047314432
908,estimates,male,5yearly,1965,66.5598717316111
908,estimates,female,5yearly,1970,74.0919732447752
908,estimates,male,5yearly,1970,66.8893029242205
908,estimates,female,5yearly,1975,74.8401095569695
908,estimates,male,5yearly,1975,67.0470890045015
908,estimates,female,5yearly,1980,75.5672925117777
908,estimates,male,5yearly,1980,67.5670441758939
908,estimates,female,5yearly,1985,76.5293669912734
908,estimates,male,5yearly,1985,68.9462243415611
908,estimates,female,5yearly,1990,76.8652364953167
908,estimates,male,5yearly,1990,68.4554486231793
908,estimates,female,5yearly,1995,77.3544928797611
908,estimates,male,5yearly,1995,68.9138799644368
908,estimates,female,5yearly,2000,78.0749890371536
908,estimates,male,5yearly,2000,69.6136607703912
908,estimates,female,5yearly,2005,79.2972049998454
908,estimates,male,5yearly,2005,71.3302637409276
908,estimates,female,5yearly,2010,80.7018518320174
908,estimates,male,5yearly,2010,73.6606047876685
908,medium_variant,female,5yearly,2015,81.464202810926
908,medium_variant,male,5yearly,2015,74.7038320343607
908,medium_variant,female,5yearly,2020,82.216577228092
908,medium_variant,male,5yearly,2020,75.7251184355339
908,medium_variant,female,5yearly,2025,82.9353452985917
908,medium_variant,male,5yearly,2025,76.7147391198797
908,medium_variant,female,5yearly,2030,83.6157470494151
908,medium_variant,male,5yearly,2030,77.6472821881494
908,medium_variant,female,5yearly,2035,84.2649345522423
908,medium_variant,male,5yearly,2035,78.5207312139696
908,medium_variant,female,5yearly,2040,84.9158038552729
908,medium_variant,male,5yearly,2040,79.342917616381
908,medium_variant,female,5yearly,2045,85.5494671667049
908,medium_variant,male,5yearly,2045,80.1279822098231
908,medium_variant,female,5yearly,2050,86.1625634170719
908,medium_variant,male,5yearly,2050,80.8905697616536
908,medium_variant,female,5yearly,2055,86.7403610566076
908,medium_variant,male,5yearly,2055,81.6483540229525
908,medium_variant,female,5yearly,2060,87.3121026328968
908,medium_variant,male,5yearly,2060,82.4128457070202
908,medium_variant,female,5yearly,2065,87.9110487939272
908,medium_variant,male,5yearly,2065,83.1886849451811
908,medium_variant,female,5yearly,2070,88.5309539687215
908,medium_variant,male,5yearly,2070,83.9513796955464
908,medium_variant,female,5yearly,2075,89.1659731426322
908,medium_variant,male,5yearly,2075,84.6893544140306
908,medium_variant,female,5yearly,2080,89.7862250753657
908,medium_variant,male,5yearly,2080,85.3798288161428
908,medium_variant,female,5yearly,2085,90.3730157332893
908,medium_variant,male,5yearly,2085,86.014099206152
908,medium_variant,female,5yearly,2090,90.9226043057511
908,medium_variant,male,5yearly,2090,86.6271089728123
908,medium_variant,female,5yearly,2095,91.4702259900131
908,medium_variant,male,5yearly,2095,87.2192283861621
