global,variant,gender,year,population
900,High_variant,female,2016,3687261.761
900,High_variant,male,2016,3753524.458
900,Instant_replacement,female,2016,3678915.925
900,Instant_replacement,male,2016,3744938.275
900,Low_variant,female,2016,3679432.412
900,Low_variant,male,2016,3745091.196
900,Medium_variant,female,2016,3683351.18
900,Medium_variant,male,2016,3749312.095
900,No_change,female,2016,3683738.812
900,No_change,male,2016,3749667.749
900,Zero_migration,female,2016,3683319.569
900,Zero_migration,male,2016,3749373.832
900,Constant_fertility,female,2017,3728013.748
900,Constant_fertility,male,2017,3795206.59
900,Constant_mortality,female,2017,3721323.962
900,Constant_mortality,male,2017,3787918.598
900,High_variant,female,2017,3733748.939
900,High_variant,male,2017,3801329.068
900,Instant_replacement,female,2017,3713512.113
900,Instant_replacement,male,2017,3780506.454
900,Low_variant,female,2017,3714669.211
900,Low_variant,male,2017,3780780.811
900,Medium_variant,female,2017,3724218.931
900,Medium_variant,male,2017,3791065.222
900,No_change,female,2017,3725184.172
900,No_change,male,2017,3791951.217
900,Zero_migration,female,2017,3724142.685
900,Zero_migration,male,2017,3791214.981
900,Constant_fertility,female,2018,3771544.265
900,Constant_fertility,male,2018,3839753.721
900,Constant_mortality,female,2018,3759676.999
900,Constant_mortality,male,2018,3826824.568
900,High_variant,female,2018,3781385.931
900,High_variant,male,2018,3850254.787
900,Instant_replacement,female,2018,3746606.148
900,Instant_replacement,male,2018,3814451.839
900,Low_variant,female,2018,3748160.604
900,Low_variant,male,2018,3814482.713
900,Medium_variant,female,2018,3764789.652
900,Medium_variant,male,2018,3832385.882
900,No_change,female,2018,3766538.63
900,No_change,male,2018,3833992.374
900,Zero_migration,female,2018,3764660.609
900,Zero_migration,male,2018,3832646.656
900,Constant_fertility,female,2019,3815339.301
900,Constant_fertility,male,2019,3884488.219
900,Constant_mortality,female,2019,3797223.908
900,Constant_mortality,male,2019,3864750.123
900,High_variant,female,2019,3829660.493
900,High_variant,male,2019,3899757.803
900,Instant_replacement,female,2019,3779035.422
900,Instant_replacement,male,2019,3847602.622
900,Low_variant,female,2019,3780252.91
900,Low_variant,male,2019,3846586.247
900,Medium_variant,female,2019,3804979.162
900,Medium_variant,male,2019,3873195.494
900,No_change,female,2019,3807729.82
900,No_change,male,2019,3875724.379
900,Zero_migration,female,2019,3804796.123
900,Zero_migration,male,2019,3873584.757
900,Constant_fertility,female,2020,3859296.373
900,Constant_fertility,male,2020,3929307.004
900,Constant_mortality,female,2020,3833954.058
900,Constant_mortality,male,2020,3901691.764
900,High_variant,female,2020,3878182.358
900,High_variant,male,2020,3949424.61
900,Instant_replacement,female,2020,3811418.79
900,Instant_replacement,male,2020,3880571.97
900,Low_variant,female,2020,3811208.18
900,Low_variant,male,2020,3877387.217
900,Medium_variant,female,2020,3844722.461
900,Medium_variant,male,2020,3913434.331
900,No_change,female,2020,3848703.459
900,No_change,male,2020,3917097.989
900,Zero_migration,female,2020,3844489.439
900,Zero_migration,male,2020,3913964.802
900,Constant_fertility,female,2021,3903394.119
900,Constant_fertility,male,2021,3974189.836
900,Constant_mortality,female,2021,3869817.078
900,Constant_mortality,male,2021,3937598.397
900,High_variant,female,2021,3926820.835
900,High_variant,male,2021,3999117.099
900,Instant_replacement,female,2021,3843912.008
900,Instant_replacement,male,2021,3913512.557
900,Low_variant,female,2021,3841065.203
900,Low_variant,male,2021,3906932.575
900,Medium_variant,female,2021,3883972.705
900,Medium_variant,male,2021,3953055.864
900,No_change,female,2021,3889430.646
900,No_change,male,2021,3958084.407
900,Zero_migration,female,2021,3883694.83
900,Zero_migration,male,2021,3953739.363
900,Constant_fertility,female,2022,3947665.426
900,Constant_fertility,male,2022,4019173.977
900,Constant_mortality,female,2022,3904768.002
900,Constant_mortality,male,2022,3972422.882
900,High_variant,female,2022,3975629.065
900,High_variant,male,2022,4048893.434
900,Instant_replacement,female,2022,3876350.947
900,Instant_replacement,male,2022,3946263.202
900,Low_variant,female,2022,3869744.007
900,Low_variant,male,2022,3935137.636
900,Medium_variant,female,2022,3922716.629
900,Medium_variant,male,2022,3992046.981
900,No_change,female,2022,3929910.3
900,No_change,male,2022,3998682.115
900,Zero_migration,female,2022,3922397.744
900,Zero_migration,male,2022,3992894.725
900,Constant_fertility,female,2023,3992128.621
900,Constant_fertility,male,2023,4064285.259
900,Constant_mortality,female,2023,3938816.833
900,Constant_mortality,male,2023,4006180.958
900,High_variant,female,2023,4024614.714
900,High_variant,male,2023,4098765.871
900,Instant_replacement,female,2023,3908654.793
900,Instant_replacement,male,2023,3978752.133
900,Low_variant,female,2023,3897263.046
900,Low_variant,male,2023,3962028.389
900,Medium_variant,female,2023,3960968.682
900,Medium_variant,male,2023,4030428.279
900,No_change,female,2023,3970153.68
900,No_change,male,2023,4038907.702
900,Zero_migration,female,2023,3960612.417
900,Zero_migration,male,2023,4031447.082
900,Constant_fertility,female,2024,4036819.393
900,Constant_fertility,male,2024,4109569.271
900,Constant_mortality,female,2024,3971992.325
900,Constant_mortality,male,2024,4038909.181
900,High_variant,female,2024,4073839.218
900,High_variant,male,2024,4148805.172
900,Instant_replacement,female,2024,3940646.448
900,Instant_replacement,male,2024,4010815.559
900,Low_variant,female,2024,3923628.483
900,Low_variant,male,2024,3987617.663
900,Medium_variant,female,2024,3998764.72
900,Medium_variant,male,2024,4068243.682
900,No_change,female,2024,4010187.2
900,No_change,male,2024,4078794.902
900,Zero_migration,female,2024,3998373.683
900,Zero_migration,male,2024,4069435.117
900,Constant_fertility,female,2025,4081769.99
900,Constant_fertility,male,2025,4155068.061
900,Constant_mortality,female,2025,4004316.276
900,Constant_mortality,male,2025,4070637.827
900,High_variant,female,2025,4123326.137
900,High_variant,male,2025,4199042.501
900,Instant_replacement,female,2025,3972197.683
900,Instant_replacement,male,2025,4042337.588
900,Low_variant,female,2025,3948869.282
900,Low_variant,male,2025,4011943.448
900,Medium_variant,female,2025,4036132.082
900,Medium_variant,male,2025,4105528.925
900,No_change,female,2025,4050034.343
900,No_change,male,2025,4118375.295
900,Zero_migration,female,2025,4035707.989
900,Zero_migration,male,2025,4106890.319
900,Constant_fertility,female,2026,4126994.284
900,Constant_fertility,male,2026,4200802.081
900,Constant_mortality,female,2026,4035780.821
900,Constant_mortality,male,2026,4101365.417
900,High_variant,female,2026,4173059.032
900,High_variant,male,2026,4249464.946
900,Instant_replacement,female,2026,4003314.55
900,Instant_replacement,male,2026,4073330.148
900,Low_variant,female,2026,3972995.636
900,Low_variant,male,2026,4035023.828
900,Medium_variant,female,2026,4073065.059
900,Medium_variant,male,2026,4142283.816
900,No_change,female,2026,4089701.658
900,No_change,male,2026,4157661.995
900,Zero_migration,female,2026,4072609.876
900,Zero_migration,male,2026,4143810.021
900,Constant_fertility,female,2027,4172502.197
900,Constant_fertility,male,2027,4246788.805
900,Constant_mortality,female,2027,4066373.944
900,Constant_mortality,male,2027,4131088.196
900,High_variant,female,2027,4222932.387
900,High_variant,male,2027,4299966.95
900,Instant_replacement,female,2027,4034069.458
900,Instant_replacement,male,2027,4103871.537
900,Low_variant,female,2027,3996093.112
900,Low_variant,male,2027,4056959.231
900,Medium_variant,female,2027,4109551.496
900,Medium_variant,male,2027,4178503.474
900,No_change,female,2027,4129193.265
900,No_change,male,2027,4196667.807
900,Zero_migration,female,2027,4109066.814
900,Zero_migration,male,2027,4180188.394
900,Constant_fertility,female,2028,4218321.193
900,Constant_fertility,male,2028,4293068.275
900,Constant_mortality,female,2028,4096110.59
900,Constant_mortality,male,2028,4159834.622
900,High_variant,female,2028,4272781.073
900,High_variant,male,2028,4350384.041
900,Instant_replacement,female,2028,4064469.594
900,Instant_replacement,male,2028,4133981.921
900,Low_variant,female,2028,4018355.343
900,Low_variant,male,2028,4077967.928
900,Medium_variant,female,2028,4145607.232
900,Medium_variant,male,2028,4214216.544
900,No_change,female,2028,4168530.707
900,No_change,male,2028,4235428.027
900,Zero_migration,female,2028,4145092.133
900,Zero_migration,male,2028,4216053.437
900,Constant_fertility,female,2029,4264483.305
900,Constant_fertility,male,2029,4339686.937
900,Constant_mortality,female,2029,4125011.445
900,Constant_mortality,male,2029,4187641.101
900,High_variant,female,2029,4322397.742
900,High_variant,male,2029,4400508.873
900,Instant_replacement,female,2029,4094526.455
900,Instant_replacement,male,2029,4163687.686
900,Low_variant,female,2029,4040027.11
900,Low_variant,male,2029,4098324.111
900,Medium_variant,female,2029,4181253.369
900,Medium_variant,male,2029,4249459.068
900,No_change,female,2029,4207740.31
900,No_change,male,2029,4273985.04
900,Zero_migration,female,2029,4180703.582
900,Zero_migration,male,2029,4251441.208
900,Constant_fertility,female,2030,4311022.369
900,Constant_fertility,male,2030,4386691.746
900,Constant_mortality,female,2030,4153091.343
900,Constant_mortality,male,2030,4214537.15
900,High_variant,female,2030,4371637.296
900,High_variant,male,2030,4450199.017
900,Instant_replacement,female,2030,4124241.813
900,Instant_replacement,male,2030,4193003.988
900,Low_variant,female,2030,4061285.833
900,Low_variant,male,2030,4118229.018
900,Medium_variant,female,2030,4216505.813
900,Medium_variant,male,2030,4284260.239
900,No_change,female,2030,4246848.662
900,No_change,male,2030,4312380.506
900,Zero_migration,female,2030,4215914.53
900,Zero_migration,male,2030,4286380.679
900,Constant_fertility,female,2031,4357967.664
900,Constant_fertility,male,2031,4434123.248
900,Constant_mortality,female,2031,4180353.971
900,Constant_mortality,male,2031,4240536.042
900,High_variant,female,2031,4420438.418
900,High_variant,male,2031,4499399.128
900,Instant_replacement,female,2031,4153608.386
900,Instant_replacement,male,2031,4221934.639
900,Low_variant,female,2031,4082205.215
900,Low_variant,male,2031,4137772.411
900,Medium_variant,female,2031,4251366.806
900,Medium_variant,male,2031,4318633.066
900,No_change,female,2031,4285878.481
900,No_change,male,2031,4350646.961
900,Zero_migration,female,2031,4250726.287
900,Zero_migration,male,2031,4320884.098
900,Constant_fertility,female,2032,4405353.532
900,Constant_fertility,male,2032,4482024.656
900,Constant_mortality,female,2032,4206794.612
900,Constant_mortality,male,2032,4265642.854
900,High_variant,female,2032,4468845.668
900,High_variant,male,2032,4548163.739
900,Instant_replacement,female,2032,4182600.665
900,Instant_replacement,male,2032,4250462.281
900,Low_variant,female,2032,4102751.347
900,Low_variant,male,2032,4156926.514
900,Medium_variant,female,2032,4285833.937
900,Medium_variant,male,2032,4352582.718
900,No_change,female,2032,4324853.205
900,No_change,male,2032,4388818.169
900,Zero_migration,female,2032,4285136.64
900,Zero_migration,male,2032,4354955.3
900,Constant_fertility,female,2033,4453226.737
900,Constant_fertility,male,2033,4530450.82
900,Constant_mortality,female,2033,4232409
900,Constant_mortality,male,2033,4289868.721
900,High_variant,female,2033,4516956.158
900,High_variant,male,2033,4596602.282
900,Instant_replacement,female,2033,4211178.398
900,Instant_replacement,male,2033,4278553.765
900,Low_variant,female,2033,4122855.49
900,Low_variant,male,2033,4175624.22
900,Medium_variant,female,2033,4319912.024
900,Medium_variant,male,2033,4386120.263
900,No_change,female,2033,4363802.68
900,No_change,male,2033,4426940.153
900,Zero_migration,female,2033,4319150.322
900,Zero_migration,male,2033,4388604.248
900,Constant_fertility,female,2034,4501639.592
900,Constant_fertility,male,2034,4579461.183
900,Constant_mortality,female,2034,4257189.651
900,Constant_mortality,male,2034,4313222.88
900,High_variant,female,2034,4564922.306
900,High_variant,male,2034,4644881.855
900,Instant_replacement,female,2034,4239290.356
900,Instant_replacement,male,2034,4306163.694
900,Low_variant,female,2034,4142396.872
900,Low_variant,male,2034,4193741.555
900,Medium_variant,female,2034,4353605.345
900,Medium_variant,male,2034,4419254.87
900,No_change,female,2034,4402759.191
900,No_change,male,2034,4465062.976
900,Zero_migration,female,2034,4352771.931
900,Zero_migration,male,2034,4421838.894
900,Constant_fertility,female,2035,4550641.605
900,Constant_fertility,male,2035,4629113.689
900,Constant_mortality,female,2035,4281129.69
900,Constant_mortality,male,2035,4335712.839
900,High_variant,female,2035,4612867.86
900,High_variant,male,2035,4693140.692
900,Instant_replacement,female,2035,4266892.066
900,Instant_replacement,male,2035,4333254.853
900,Low_variant,female,2035,4161276.04
900,Low_variant,male,2035,4211179.222
900,Medium_variant,female,2035,4386914.365
900,Medium_variant,male,2035,4451993.512
900,No_change,female,2035,4441755.38
900,No_change,male,2035,4503234.537
900,Zero_migration,female,2035,4386002.277
900,Zero_migration,male,2035,4454665.418
900,Constant_fertility,female,2036,4600275.745
900,Constant_fertility,male,2036,4679457.558
900,Constant_mortality,female,2036,4304226.443
900,Constant_mortality,male,2036,4357346.684
900,High_variant,female,2036,4660822.368
900,High_variant,male,2036,4741415.916
900,Instant_replacement,female,2036,4293968.412
900,Instant_replacement,male,2036,4359818.523
900,Low_variant,female,2036,4179474.496
900,Low_variant,male,2036,4227923.506
