variant,continent,year,dependencyratio2064
constant_mortality,935,2050,67.8838298861282
no_change,935,2050,76.2918565568387
high_variant,935,2055,85.882320246121
low_variant,935,2055,69.5636669617877
constant_fertility,935,2055,86.7879613122806
instant_replacement,935,2055,80.8173926326615
zero_migration,935,2055,77.1516077039031
constant_mortality,935,2055,70.3491976249467
no_change,935,2055,79.837194616283
high_variant,935,2060,88.123607690968
low_variant,935,2060,73.2036292917073
constant_fertility,935,2060,90.1372433531761
instant_replacement,935,2060,83.6112377260336
zero_migration,935,2060,79.63017646305
constant_mortality,935,2060,71.384352571029
no_change,935,2060,81.8322432017055
high_variant,935,2065,87.9968807353547
low_variant,935,2065,75.837168399216
constant_fertility,935,2065,91.5590372752358
instant_replacement,935,2065,84.4617805205291
zero_migration,935,2065,80.4939444991249
constant_mortality,935,2065,70.835289587189
no_change,935,2065,82.0942710704606
high_variant,935,2070,86.9570985830927
low_variant,935,2070,79.3352533927962
constant_fertility,935,2070,92.5293640674559
instant_replacement,935,2070,84.7895453024056
zero_migration,935,2070,81.2740622298465
constant_mortality,935,2070,70.2081370591716
no_change,935,2070,82.0725967770975
high_variant,935,2075,86.0214186060747
low_variant,935,2075,84.6949579758962
constant_fertility,935,2075,93.6565391132815
instant_replacement,935,2075,85.3653620098677
zero_migration,935,2075,82.6867154480501
constant_mortality,935,2075,70.3104240695081
no_change,935,2075,82.4122898794839
high_variant,935,2080,85.632320884629
low_variant,935,2080,92.3780864903329
constant_fertility,935,2080,94.9572010461457
instant_replacement,935,2080,86.5852691675243
zero_migration,935,2080,84.9053703974984
constant_mortality,935,2080,71.3516539240186
no_change,935,2080,83.1500261378536
high_variant,935,2085,87.0216454499873
low_variant,935,2085,97.4999994425751
constant_fertility,935,2085,96.3897276759579
instant_replacement,935,2085,88.6236978397264
zero_migration,935,2085,87.1288582087683
constant_mortality,935,2085,72.4074270876747
no_change,935,2085,84.0587894547402
high_variant,935,2090,88.6082504444666
low_variant,935,2090,100.195626458048
constant_fertility,935,2090,97.5063090612682
instant_replacement,935,2090,90.0895090707345
zero_migration,935,2090,88.8082318935558
constant_mortality,935,2090,72.778125180445
no_change,935,2090,84.6215791890369
high_variant,935,2095,89.9546327618827
low_variant,935,2095,101.464109780885
constant_fertility,935,2095,98.4579045387661
instant_replacement,935,2095,91.1150559690506
zero_migration,935,2095,90.1691069787779
constant_mortality,935,2095,72.6439137103348
no_change,935,2095,84.9546278640626
high_variant,935,2100,90.6144985759372
low_variant,935,2100,103.62560425555
constant_fertility,935,2100,99.4229153802055
instant_replacement,935,2100,91.9603052013871
zero_migration,935,2100,91.5314290281971
constant_mortality,935,2100,72.4820837157069
no_change,935,2100,85.3256920100065
