region,year,variant,freq,age5yearinterval,fertilityrateper1000women
947,1950,estimates,5yearly,15_19,154.030582548435
947,1950,estimates,5yearly,20_24,287.216525081523
947,1950,estimates,5yearly,25_29,281.081729324464
947,1950,estimates,5yearly,30_34,246.025244742858
947,1950,estimates,5yearly,35_39,183.616560619354
947,1950,estimates,5yearly,40_44,109.825972155008
947,1950,estimates,5yearly,45_49,51.832054892552
947,1955,estimates,5yearly,15_19,153.443884068362
947,1955,estimates,5yearly,20_24,287.253727875645
947,1955,estimates,5yearly,25_29,282.411191414368
947,1955,estimates,5yearly,30_34,248.170952991645
947,1955,estimates,5yearly,35_39,186.401468992975
947,1955,estimates,5yearly,40_44,111.189812957194
947,1955,estimates,5yearly,45_49,50.9848001291462
947,1960,estimates,5yearly,15_19,153.383618412747
947,1960,estimates,5yearly,20_24,288.818682703631
947,1960,estimates,5yearly,25_29,284.972555160074
947,1960,estimates,5yearly,30_34,251.782448471321
947,1960,estimates,5yearly,35_39,190.594662956558
947,1960,estimates,5yearly,40_44,113.518945608328
947,1960,estimates,5yearly,45_49,50.4749454054951
947,1965,estimates,5yearly,15_19,151.557485140231
947,1965,estimates,5yearly,20_24,289.595684422372
947,1965,estimates,5yearly,25_29,286.063754528512
947,1965,estimates,5yearly,30_34,252.844853543095
947,1965,estimates,5yearly,35_39,193.250518686557
947,1965,estimates,5yearly,40_44,115.724440619579
947,1965,estimates,5yearly,45_49,49.9874055513531
947,1970,estimates,5yearly,15_19,153.314798754547
947,1970,estimates,5yearly,20_24,292.349722213073
947,1970,estimates,5yearly,25_29,290.184364405558
947,1970,estimates,5yearly,30_34,255.376565511795
947,1970,estimates,5yearly,35_39,196.43587469846
947,1970,estimates,5yearly,40_44,117.246021784172
947,1970,estimates,5yearly,45_49,49.5385017001467
947,1975,estimates,5yearly,15_19,153.935841707008
947,1975,estimates,5yearly,20_24,290.504332225681
947,1975,estimates,5yearly,25_29,291.005041185217
947,1975,estimates,5yearly,30_34,256.588747725828
947,1975,estimates,5yearly,35_39,197.752580074127
947,1975,estimates,5yearly,40_44,116.832790080285
947,1975,estimates,5yearly,45_49,49.0859910788623
947,1980,estimates,5yearly,15_19,150.739811680373
947,1980,estimates,5yearly,20_24,285.281354657955
947,1980,estimates,5yearly,25_29,287.848799320899
947,1980,estimates,5yearly,30_34,256.372421615706
947,1980,estimates,5yearly,35_39,198.663219728213
947,1980,estimates,5yearly,40_44,114.500039424765
947,1980,estimates,5yearly,45_49,46.7981502510146
947,1985,estimates,5yearly,15_19,144.967139906427
947,1985,estimates,5yearly,20_24,275.539582696721
947,1985,estimates,5yearly,25_29,280.531078317567
947,1985,estimates,5yearly,30_34,250.304101096637
947,1985,estimates,5yearly,35_39,192.940362416911
947,1985,estimates,5yearly,40_44,110.780814166527
947,1985,estimates,5yearly,45_49,42.7100945010074
947,1990,estimates,5yearly,15_19,138.091107734975
947,1990,estimates,5yearly,20_24,263.024815684274
947,1990,estimates,5yearly,25_29,269.270510127182
947,1990,estimates,5yearly,30_34,239.716440786221
947,1990,estimates,5yearly,35_39,181.640429019226
947,1990,estimates,5yearly,40_44,102.716861923223
947,1990,estimates,5yearly,45_49,37.5070245513075
947,1995,estimates,5yearly,15_19,132.878562466502
947,1995,estimates,5yearly,20_24,254.709315649986
947,1995,estimates,5yearly,25_29,262.66036410777
947,1995,estimates,5yearly,30_34,231.102198998586
947,1995,estimates,5yearly,35_39,170.996102157736
947,1995,estimates,5yearly,40_44,93.4685610998542
947,1995,estimates,5yearly,45_49,33.3582522546058
947,2000,estimates,5yearly,15_19,126.246776691781
947,2000,estimates,5yearly,20_24,245.173177841318
947,2000,estimates,5yearly,25_29,254.976962560627
947,2000,estimates,5yearly,30_34,223.81340046393
947,2000,estimates,5yearly,35_39,162.506591961009
947,2000,estimates,5yearly,40_44,86.4085095504296
947,2000,estimates,5yearly,45_49,30.7648831951771
947,2005,estimates,5yearly,15_19,118.499903697572
947,2005,estimates,5yearly,20_24,237.262063860187
947,2005,estimates,5yearly,25_29,248.699129262453
947,2005,estimates,5yearly,30_34,214.610133500182
947,2005,estimates,5yearly,35_39,153.965962499253
947,2005,estimates,5yearly,40_44,77.5971736660852
947,2005,estimates,5yearly,45_49,28.8618186213358
947,2010,estimates,5yearly,15_19,110.384774764255
947,2010,estimates,5yearly,20_24,228.215938664234
947,2010,estimates,5yearly,25_29,240.822242360913
947,2010,estimates,5yearly,30_34,201.032968496497
947,2010,estimates,5yearly,35_39,144.573586846001
947,2010,estimates,5yearly,40_44,69.8678763807938
947,2010,estimates,5yearly,45_49,24.5253239504618
947,2015,constant_fertility,5yearly,15_19,111.444731058482
947,2015,constant_mortality,5yearly,15_19,101.384455158019
947,2015,high_variant,5yearly,15_19,106.584922725263
947,2015,instant_replacement,5yearly,15_19,49.428333914361
947,2015,low_variant,5yearly,15_19,96.1889631017389
947,2015,medium_variant,5yearly,15_19,101.386924745327
947,2015,momentum,5yearly,15_19,50.8635414703494
947,2015,no_change,5yearly,15_19,111.442339163386
947,2015,zero_migration,5yearly,15_19,101.396069104166
947,2015,constant_fertility,5yearly,20_24,229.749308904028
947,2015,constant_mortality,5yearly,20_24,215.882314202868
947,2015,high_variant,5yearly,20_24,227.257772331675
947,2015,instant_replacement,5yearly,20_24,107.54959768379
947,2015,low_variant,5yearly,20_24,204.503700277811
947,2015,medium_variant,5yearly,20_24,215.880785162899
947,2015,momentum,5yearly,20_24,110.625282768609
947,2015,no_change,5yearly,20_24,229.751174423332
947,2015,zero_migration,5yearly,20_24,215.911925922917
947,2015,constant_fertility,5yearly,25_29,242.113121078178
947,2015,constant_mortality,5yearly,25_29,229.832597698202
947,2015,high_variant,5yearly,25_29,242.015150473706
947,2015,instant_replacement,5yearly,25_29,115.359991540933
947,2015,low_variant,5yearly,25_29,217.595240902665
947,2015,medium_variant,5yearly,25_29,229.805150982236
947,2015,momentum,5yearly,25_29,118.65088209184
947,2015,no_change,5yearly,25_29,242.142702844834
947,2015,zero_migration,5yearly,25_29,229.846329648693
947,2015,constant_fertility,5yearly,30_34,201.456051911158
947,2015,constant_mortality,5yearly,30_34,186.75785468031
947,2015,high_variant,5yearly,30_34,196.608554582933
947,2015,instant_replacement,5yearly,30_34,93.8704201193016
947,2015,low_variant,5yearly,30_34,176.775881736242
947,2015,medium_variant,5yearly,30_34,186.692276217967
947,2015,momentum,5yearly,30_34,96.5724704675739
947,2015,no_change,5yearly,30_34,201.52986730062
947,2015,zero_migration,5yearly,30_34,186.732687093703
947,2015,constant_fertility,5yearly,35_39,144.562816354737
947,2015,constant_mortality,5yearly,35_39,133.460361844759
947,2015,high_variant,5yearly,35_39,140.381336235572
947,2015,instant_replacement,5yearly,35_39,66.5984422078026
947,2015,low_variant,5yearly,35_39,126.379575593683
947,2015,medium_variant,5yearly,35_39,133.380358482027
947,2015,momentum,5yearly,35_39,68.5523430998247
947,2015,no_change,5yearly,35_39,144.64943731865
947,2015,zero_migration,5yearly,35_39,133.402132841529
947,2015,constant_fertility,5yearly,40_44,69.8859866604825
947,2015,constant_mortality,5yearly,40_44,61.604216958899
947,2015,high_variant,5yearly,40_44,64.7562776271143
947,2015,instant_replacement,5yearly,40_44,30.4796963099464
947,2015,low_variant,5yearly,40_44,58.3718591599089
947,2015,medium_variant,5yearly,40_44,61.5640339908126
947,2015,momentum,5yearly,40_44,31.3926042469264
947,2015,no_change,5yearly,40_44,69.9294418165099
947,2015,zero_migration,5yearly,40_44,61.5739732154049
947,2015,constant_fertility,5yearly,45_49,24.5938700897134
947,2015,constant_mortality,5yearly,45_49,21.6256892801473
947,2015,high_variant,5yearly,45_49,22.7351914837464
947,2015,instant_replacement,5yearly,45_49,10.7339915881503
947,2015,low_variant,5yearly,45_49,20.4969634709124
947,2015,medium_variant,5yearly,45_49,21.6161042438602
947,2015,momentum,5yearly,45_49,11.0600153109414
947,2015,no_change,5yearly,45_49,24.6037453076118
947,2015,zero_migration,5yearly,45_49,21.6236592895322
947,2020,constant_fertility,5yearly,15_19,112.577694611957
947,2020,constant_mortality,5yearly,15_19,92.8244879925459
947,2020,high_variant,5yearly,15_19,100.965352530726
947,2020,instant_replacement,5yearly,15_19,47.2813905259051
947,2020,low_variant,5yearly,15_19,84.7001776955525
947,2020,medium_variant,5yearly,15_19,92.8327409406903
947,2020,momentum,5yearly,15_19,49.780109567072
947,2020,no_change,5yearly,15_19,112.569848906566
947,2020,zero_migration,5yearly,15_19,92.8477432254216
947,2020,constant_fertility,5yearly,20_24,231.337554765906
947,2020,constant_mortality,5yearly,20_24,203.267618506006
947,2020,high_variant,5yearly,20_24,221.621124220734
947,2020,instant_replacement,5yearly,20_24,106.119632315222
947,2020,low_variant,5yearly,20_24,184.920103763528
947,2020,medium_variant,5yearly,20_24,203.27054205172
947,2020,momentum,5yearly,20_24,111.609726002246
947,2020,no_change,5yearly,20_24,231.336708802138
947,2020,zero_migration,5yearly,20_24,203.334088410522
947,2020,constant_fertility,5yearly,25_29,243.50546437588
947,2020,constant_mortality,5yearly,25_29,218.658317557009
947,2020,high_variant,5yearly,25_29,238.558134434716
947,2020,instant_replacement,5yearly,25_29,115.191267110258
947,2020,low_variant,5yearly,25_29,198.668597098551
947,2020,medium_variant,5yearly,25_29,218.613521687631
947,2020,momentum,5yearly,25_29,121.109077762833
947,2020,no_change,5yearly,25_29,243.555425928209
947,2020,zero_migration,5yearly,25_29,218.710533744352
947,2020,constant_fertility,5yearly,30_34,202.491159039637
947,2020,constant_mortality,5yearly,30_34,174.02762358438
947,2020,high_variant,5yearly,30_34,189.81327338438
947,2020,instant_replacement,5yearly,30_34,92.0019993788461
947,2020,low_variant,5yearly,30_34,157.995441261034
947,2020,medium_variant,5yearly,30_34,173.904339540635
947,2020,momentum,5yearly,30_34,96.7806433504366
947,2020,no_change,5yearly,30_34,202.650893904714
947,2020,zero_migration,5yearly,30_34,174.002532510005
947,2020,constant_fertility,5yearly,35_39,144.701071630006
947,2020,constant_mortality,5yearly,35_39,123.164075469509
947,2020,high_variant,5yearly,35_39,134.113451836271
947,2020,instant_replacement,5yearly,35_39,64.6488008398913
947,2020,low_variant,5yearly,35_39,111.863899292774
947,2020,medium_variant,5yearly,35_39,122.988514587499
947,2020,momentum,5yearly,35_39,68.1131860447568
947,2020,no_change,5yearly,35_39,144.916526291986
947,2020,zero_migration,5yearly,35_39,123.04198624597
947,2020,constant_fertility,5yearly,40_44,69.8341830666825
947,2020,constant_mortality,5yearly,40_44,54.2637328998825
947,2020,high_variant,5yearly,40_44,59.0073344680505
947,2020,instant_replacement,5yearly,40_44,28.2475734092958
947,2020,low_variant,5yearly,40_44,49.3116030707949
947,2020,medium_variant,5yearly,40_44,54.1594328659552
947,2020,momentum,5yearly,40_44,29.8123094468666
947,2020,no_change,5yearly,40_44,69.9602451634596
947,2020,zero_migration,5yearly,40_44,54.1809445746098
947,2020,constant_fertility,5yearly,45_49,24.6097384964015
947,2020,constant_mortality,5yearly,45_49,18.9928769850684
947,2020,high_variant,5yearly,45_49,20.6603708865962
