country,variant,gender,freq,year,lifeexpectancyat60
388,estimates,female,5yearly,1950,17.122441
388,estimates,male,5yearly,1950,16.12505
388,estimates,female,5yearly,1955,18.318286
388,estimates,male,5yearly,1955,17.239373
388,estimates,female,5yearly,1960,18.787906
388,estimates,male,5yearly,1960,17.613658
388,estimates,female,5yearly,1965,19.107585
388,estimates,male,5yearly,1965,17.922114
388,estimates,female,5yearly,1970,19.3486
388,estimates,male,5yearly,1970,18.122655
388,estimates,female,5yearly,1975,19.814609
388,estimates,male,5yearly,1975,18.533591
388,estimates,female,5yearly,1980,20.795482
388,estimates,male,5yearly,1980,19.339211
388,estimates,female,5yearly,1985,20.951799
388,estimates,male,5yearly,1985,19.475085
388,estimates,female,5yearly,1990,21.346466
388,estimates,male,5yearly,1990,19.683884
388,estimates,female,5yearly,1995,21.75093
388,estimates,male,5yearly,1995,19.794238
388,estimates,female,5yearly,2000,22.32343
388,estimates,male,5yearly,2000,19.919308
388,estimates,female,5yearly,2005,22.77493
388,estimates,male,5yearly,2005,20.228054
388,estimates,female,5yearly,2010,23.370891
388,estimates,male,5yearly,2010,20.983529
388,medium_variant,female,5yearly,2015,23.752349
388,medium_variant,male,5yearly,2015,21.330008
388,medium_variant,female,5yearly,2020,24.083217
388,medium_variant,male,5yearly,2020,21.567792
388,medium_variant,female,5yearly,2025,24.397324
388,medium_variant,male,5yearly,2025,21.809787
388,medium_variant,female,5yearly,2030,24.757893
388,medium_variant,male,5yearly,2030,22.084101
388,medium_variant,female,5yearly,2035,25.110771
388,medium_variant,male,5yearly,2035,22.40216
388,medium_variant,female,5yearly,2040,25.470866
388,medium_variant,male,5yearly,2040,22.75734
388,medium_variant,female,5yearly,2045,25.825264
388,medium_variant,male,5yearly,2045,23.160423
388,medium_variant,female,5yearly,2050,26.178265
388,medium_variant,male,5yearly,2050,23.593528
388,medium_variant,female,5yearly,2055,26.55277
388,medium_variant,male,5yearly,2055,24.090685
388,medium_variant,female,5yearly,2060,26.909684
388,medium_variant,male,5yearly,2060,24.594492
388,medium_variant,female,5yearly,2065,27.273762
388,medium_variant,male,5yearly,2065,25.131315
388,medium_variant,female,5yearly,2070,27.638983
388,medium_variant,male,5yearly,2070,25.649417
388,medium_variant,female,5yearly,2075,28.015111
388,medium_variant,male,5yearly,2075,26.132312
388,medium_variant,female,5yearly,2080,28.391479
388,medium_variant,male,5yearly,2080,26.551628
388,medium_variant,female,5yearly,2085,28.785963
388,medium_variant,male,5yearly,2085,26.937541
388,medium_variant,female,5yearly,2090,29.171601
388,medium_variant,male,5yearly,2090,27.31436
388,medium_variant,female,5yearly,2095,29.564048
388,medium_variant,male,5yearly,2095,27.675959
388,estimates,female,5yearly,Regi,Jamaica
388,estimates,male,5yearly,Regi,Jamaica
388,medium_variant,female,5yearly,Regi,Jamaica
388,medium_variant,male,5yearly,Regi,Jamaica
