country,variant,gender,freq,year,lifeexpectancyat60
703,estimates,female,5yearly,1950,17.204701
703,estimates,male,5yearly,1950,15.97736
703,estimates,female,5yearly,1955,17.737075
703,estimates,male,5yearly,1955,16.033066
703,estimates,female,5yearly,1960,18.503825
703,estimates,male,5yearly,1960,16.376964
703,estimates,female,5yearly,1965,18.645514
703,estimates,male,5yearly,1965,15.905925
703,estimates,female,5yearly,1970,18.805535
703,estimates,male,5yearly,1970,15.569769
703,estimates,female,5yearly,1975,19.149132
703,estimates,male,5yearly,1975,15.601148
703,estimates,female,5yearly,1980,19.195054
703,estimates,male,5yearly,1980,15.232443
703,estimates,female,5yearly,1985,19.408053
703,estimates,male,5yearly,1985,15.062801
703,estimates,female,5yearly,1990,19.84953
703,estimates,male,5yearly,1990,15.20316
703,estimates,female,5yearly,1995,20.344579
703,estimates,male,5yearly,1995,15.639902
703,estimates,female,5yearly,2000,20.998935
703,estimates,male,5yearly,2000,16.230587
703,estimates,female,5yearly,2005,21.636275
703,estimates,male,5yearly,2005,16.86074
703,estimates,female,5yearly,2010,22.567753
703,estimates,male,5yearly,2010,17.908828
703,medium_variant,female,5yearly,2015,23.0341
703,medium_variant,male,5yearly,2015,18.468252
703,medium_variant,female,5yearly,2020,23.513287
703,medium_variant,male,5yearly,2020,19.02113
703,medium_variant,female,5yearly,2025,23.986461
703,medium_variant,male,5yearly,2025,19.542906
703,medium_variant,female,5yearly,2030,24.438272
703,medium_variant,male,5yearly,2030,20.088915
703,medium_variant,female,5yearly,2035,24.900123
703,medium_variant,male,5yearly,2035,20.654851
703,medium_variant,female,5yearly,2040,25.359447
703,medium_variant,male,5yearly,2040,21.28131
703,medium_variant,female,5yearly,2045,25.813531
703,medium_variant,male,5yearly,2045,21.933471
703,medium_variant,female,5yearly,2050,26.261885
703,medium_variant,male,5yearly,2050,22.591764
703,medium_variant,female,5yearly,2055,26.703387
703,medium_variant,male,5yearly,2055,23.244751
703,medium_variant,female,5yearly,2060,27.147791
703,medium_variant,male,5yearly,2060,23.850435
703,medium_variant,female,5yearly,2065,27.603421
703,medium_variant,male,5yearly,2065,24.388791
703,medium_variant,female,5yearly,2070,28.041926
703,medium_variant,male,5yearly,2070,24.876055
703,medium_variant,female,5yearly,2075,28.493245
703,medium_variant,male,5yearly,2075,25.326685
703,medium_variant,female,5yearly,2080,28.933616
703,medium_variant,male,5yearly,2080,25.778762
703,medium_variant,female,5yearly,2085,29.38872
703,medium_variant,male,5yearly,2085,26.208246
703,medium_variant,female,5yearly,2090,29.839051
703,medium_variant,male,5yearly,2090,26.630431
703,medium_variant,female,5yearly,2095,30.29461
703,medium_variant,male,5yearly,2095,27.07854
