region,variant,freq,year,noofbirth
925,estimates,5yearly,1950,11770.402
925,estimates,5yearly,1955,11927.604
925,estimates,5yearly,1960,12333.51
925,estimates,5yearly,1965,12106.618
925,estimates,5yearly,1970,11774.131
925,estimates,5yearly,1975,10874.195
925,estimates,5yearly,1980,9407.879
925,estimates,5yearly,1985,8368.114
925,estimates,5yearly,1990,7755.183
925,estimates,5yearly,1995,7362.235
925,estimates,5yearly,2000,7462.326
925,estimates,5yearly,2005,7695.721
925,estimates,5yearly,2010,7004.632
925,constant_fertility,5yearly,2015,6258.279
925,constant_mortality,5yearly,2015,6498.189
925,high_variant,5yearly,2015,7626.39
925,instant_replacement,5yearly,2015,9373.103
925,low_variant,5yearly,2015,5370.604
925,medium_variant,5yearly,2015,6498.496
925,momentum,5yearly,2015,9347.242
925,no_change,5yearly,2015,6257.993
925,zero_migration,5yearly,2015,6472.652
925,constant_fertility,5yearly,2020,5749.162
925,constant_mortality,5yearly,2020,6153.727
925,high_variant,5yearly,2020,7815.764
925,instant_replacement,5yearly,2020,8618.402
925,low_variant,5yearly,2020,4494.133
925,medium_variant,5yearly,2020,6154.944
925,momentum,5yearly,2020,8505.641
925,no_change,5yearly,2020,5748.089
925,zero_migration,5yearly,2020,6062.982
925,constant_fertility,5yearly,2025,5480.367
925,constant_mortality,5yearly,2025,6022.822
925,high_variant,5yearly,2025,8000.762
925,instant_replacement,5yearly,2025,8194.365
925,low_variant,5yearly,2025,4050.108
925,medium_variant,5yearly,2025,6025.432
925,momentum,5yearly,2025,7962.302
925,no_change,5yearly,2025,5478.134
925,zero_migration,5yearly,2025,5841.356
925,constant_fertility,5yearly,2030,5368.786
925,constant_mortality,5yearly,2030,6028.693
925,high_variant,5yearly,2030,7977.14
925,instant_replacement,5yearly,2030,8037.904
925,low_variant,5yearly,2030,4095.61
925,medium_variant,5yearly,2030,6033.214
925,momentum,5yearly,2030,7682.024
925,no_change,5yearly,2030,5364.968
925,zero_migration,5yearly,2030,5750.191
925,constant_fertility,5yearly,2035,5281.345
925,constant_mortality,5yearly,2035,6066.943
925,high_variant,5yearly,2035,8068.34
925,instant_replacement,5yearly,2035,8094.036
925,low_variant,5yearly,2035,4122.704
925,medium_variant,5yearly,2035,6073.994
925,momentum,5yearly,2035,7638.891
925,no_change,5yearly,2035,5275.395
925,zero_migration,5yearly,2035,5708.321
925,constant_fertility,5yearly,2040,5088.32
925,constant_mortality,5yearly,2040,6022.509
925,high_variant,5yearly,2040,8207.021
925,instant_replacement,5yearly,2040,8330.706
925,low_variant,5yearly,2040,4007.215
925,medium_variant,5yearly,2040,6032.825
925,momentum,5yearly,2040,7799.287
925,no_change,5yearly,2040,5079.664
925,zero_migration,5yearly,2040,5602.086
925,constant_fertility,5yearly,2045,4775.128
925,constant_mortality,5yearly,2045,5854.163
925,high_variant,5yearly,2045,8400.269
925,instant_replacement,5yearly,2045,8706.185
925,low_variant,5yearly,2045,3686.232
925,medium_variant,5yearly,2045,5868.401
925,momentum,5yearly,2045,8104.288
925,no_change,5yearly,2045,4763.504
925,zero_migration,5yearly,2045,5379.586
925,constant_fertility,5yearly,2050,4450.902
925,constant_mortality,5yearly,2050,5653.021
925,high_variant,5yearly,2050,8674.741
925,instant_replacement,5yearly,2050,9024.135
925,low_variant,5yearly,2050,3270.231
925,medium_variant,5yearly,2050,5671.471
925,momentum,5yearly,2050,8340.852
925,no_change,5yearly,2050,4436.441
925,zero_migration,5yearly,2050,5121.517
925,constant_fertility,5yearly,2055,4205.142
925,constant_mortality,5yearly,2055,5515.613
925,high_variant,5yearly,2055,8935.212
925,instant_replacement,5yearly,2055,9019.979
925,low_variant,5yearly,2055,2947.366
925,medium_variant,5yearly,2055,5538.172
925,momentum,5yearly,2055,8241.973
925,no_change,5yearly,2055,4188.162
925,zero_migration,5yearly,2055,4922.572
925,constant_fertility,5yearly,2060,4043.259
925,constant_mortality,5yearly,2060,5457.19
925,high_variant,5yearly,2060,9108.147
925,instant_replacement,5yearly,2060,8831.476
925,low_variant,5yearly,2060,2786.843
925,medium_variant,5yearly,2060,5483.817
925,momentum,5yearly,2060,7956.392
925,no_change,5yearly,2060,4023.834
925,zero_migration,5yearly,2060,4802.986
925,constant_fertility,5yearly,2065,3918.418
925,constant_mortality,5yearly,2065,5441.014
925,high_variant,5yearly,2065,9237.785
925,instant_replacement,5yearly,2065,8751.819
925,low_variant,5yearly,2065,2724.94
925,medium_variant,5yearly,2065,5471.915
925,momentum,5yearly,2065,7791.746
925,no_change,5yearly,2065,3896.472
925,zero_migration,5yearly,2065,4733.635
925,constant_fertility,5yearly,2070,3778.209
925,constant_mortality,5yearly,2070,5418.855
925,high_variant,5yearly,2070,9397.04
925,instant_replacement,5yearly,2070,8849.167
925,low_variant,5yearly,2070,2666.313
925,medium_variant,5yearly,2070,5454.295
925,momentum,5yearly,2070,7821.707
925,no_change,5yearly,2070,3753.799
925,zero_migration,5yearly,2070,4669.664
925,constant_fertility,5yearly,2075,3599.876
925,constant_mortality,5yearly,2075,5352.293
925,high_variant,5yearly,2075,9607.621
925,instant_replacement,5yearly,2075,9054.611
925,low_variant,5yearly,2075,2549.719
925,medium_variant,5yearly,2075,5392.327
925,momentum,5yearly,2075,7972.779
925,no_change,5yearly,2075,3573.288
925,zero_migration,5yearly,2075,4571.467
925,constant_fertility,5yearly,2080,3399.86
925,constant_mortality,5yearly,2080,5240.913
925,high_variant,5yearly,2080,9847.278
925,instant_replacement,5yearly,2080,9251.638
925,low_variant,5yearly,2080,2376.86
925,medium_variant,5yearly,2080,5285.36
925,momentum,5yearly,2080,8118.663
925,no_change,5yearly,2080,3371.5
925,zero_migration,5yearly,2080,4433.847
925,constant_fertility,5yearly,2085,3212.031
925,constant_mortality,5yearly,2085,5121.952
925,high_variant,5yearly,2085,10088.473
925,instant_replacement,5yearly,2085,9342.452
925,low_variant,5yearly,2085,2194.312
925,medium_variant,5yearly,2085,5170.61
925,momentum,5yearly,2085,8154.47
925,no_change,5yearly,2085,3182.152
925,zero_migration,5yearly,2085,4289.397
925,constant_fertility,5yearly,2090,3055.962
925,constant_mortality,5yearly,2090,5028.218
925,high_variant,5yearly,2090,10304.695
925,instant_replacement,5yearly,2090,9315.115
925,low_variant,5yearly,2090,2046.231
925,medium_variant,5yearly,2090,5081.061
925,momentum,5yearly,2090,8069.026
925,no_change,5yearly,2090,3024.625
925,zero_migration,5yearly,2090,4170.591
925,constant_fertility,5yearly,2095,2925.748
925,constant_mortality,5yearly,2095,4964.27
925,high_variant,5yearly,2095,10490.898
925,instant_replacement,5yearly,2095,9250.418
925,low_variant,5yearly,2095,1943.697
925,medium_variant,5yearly,2095,5021.395
925,momentum,5yearly,2095,7949.503
925,no_change,5yearly,2095,2892.947
925,zero_migration,5yearly,2095,4085.07
925,constant_fertility,5yearly,Regi,Southern Europe
925,constant_mortality,5yearly,Regi,Southern Europe
925,estimates,5yearly,Regi,Southern Europe
925,high_variant,5yearly,Regi,Southern Europe
925,instant_replacement,5yearly,Regi,Southern Europe
925,low_variant,5yearly,Regi,Southern Europe
925,medium_variant,5yearly,Regi,Southern Europe
925,momentum,5yearly,Regi,Southern Europe
925,no_change,5yearly,Regi,Southern Europe
925,zero_migration,5yearly,Regi,Southern Europe
