region,variant,freq,year,noofbirth
913,estimates,5yearly,1950,3473.377
913,estimates,5yearly,1955,3833.855
913,estimates,5yearly,1960,4252.082
913,estimates,5yearly,1965,4695.984
913,estimates,5yearly,1970,5303.045
913,estimates,5yearly,1975,5848.932
913,estimates,5yearly,1980,6322.3
913,estimates,5yearly,1985,6474.072
913,estimates,5yearly,1990,6415.224
913,estimates,5yearly,1995,6508.6
913,estimates,5yearly,2000,6630.837
913,estimates,5yearly,2005,6770.913
913,estimates,5yearly,2010,6993.484
913,constant_fertility,5yearly,2015,7376.387
913,constant_mortality,5yearly,2015,6927.034
913,high_variant,5yearly,2015,7660.866
913,instant_replacement,5yearly,2015,6142.565
913,low_variant,5yearly,2015,6264.626
913,medium_variant,5yearly,2015,6962.747
913,momentum,5yearly,2015,6281.433
913,no_change,5yearly,2015,7338.849
913,zero_migration,5yearly,2015,6937.97
913,constant_fertility,5yearly,2020,7647.153
913,constant_mortality,5yearly,2020,6743.598
913,high_variant,5yearly,2020,7997.574
913,instant_replacement,5yearly,2020,6285.833
913,low_variant,5yearly,2020,5684.156
913,medium_variant,5yearly,2020,6840.862
913,momentum,5yearly,2020,6409.483
913,no_change,5yearly,2020,7539.738
913,zero_migration,5yearly,2020,6781.386
913,constant_fertility,5yearly,2025,7851.513
913,constant_mortality,5yearly,2025,6542.501
913,high_variant,5yearly,2025,8167.683
913,instant_replacement,5yearly,2025,6378.258
913,low_variant,5yearly,2025,5206.961
913,medium_variant,5yearly,2025,6687.318
913,momentum,5yearly,2025,6502.686
913,no_change,5yearly,2025,7682.991
913,zero_migration,5yearly,2025,6618.974
913,constant_fertility,5yearly,2030,8100.5
913,constant_mortality,5yearly,2030,6387.98
913,high_variant,5yearly,2030,8124.49
913,instant_replacement,5yearly,2030,6465.671
913,low_variant,5yearly,2030,5039.472
913,medium_variant,5yearly,2030,6576.449
913,momentum,5yearly,2030,6598.807
913,no_change,5yearly,2030,7868.073
913,zero_migration,5yearly,2030,6512.082
913,constant_fertility,5yearly,2035,8447.004
913,constant_mortality,5yearly,2035,6268.884
913,high_variant,5yearly,2035,8251.524
913,instant_replacement,5yearly,2035,6487.477
913,low_variant,5yearly,2035,4842.506
913,medium_variant,5yearly,2035,6512.645
913,momentum,5yearly,2035,6630.13
913,no_change,5yearly,2035,8128.351
913,zero_migration,5yearly,2035,6449.354
913,constant_fertility,5yearly,2040,8859.994
913,constant_mortality,5yearly,2040,6124.816
