country,variant,gender,year,population
729,estimates,female,1950,2869.148
729,estimates,male,1950,2864.641
729,estimates,female,1951,2945.102
729,estimates,male,1951,2939.549
729,estimates,female,1952,3023.895
729,estimates,male,1952,3017.437
729,estimates,female,1953,3105.655
729,estimates,male,1953,3098.444
729,estimates,female,1954,3190.559
729,estimates,male,1954,3182.755
729,estimates,female,1955,3278.762
729,estimates,male,1955,3270.532
729,estimates,female,1956,3370.458
729,estimates,male,1956,3361.981
729,estimates,female,1957,3465.845
729,estimates,male,1957,3457.27
729,estimates,female,1958,3565.137
729,estimates,male,1958,3556.601
729,estimates,female,1959,3668.542
729,estimates,male,1959,3660.184
729,estimates,female,1960,3776.278
729,estimates,male,1960,3768.22
729,estimates,female,1961,3888.567
729,estimates,male,1961,3880.908
729,estimates,female,1962,4005.631
729,estimates,male,1962,3998.491
729,estimates,female,1963,4127.661
729,estimates,male,1963,4121.157
729,estimates,female,1964,4254.838
729,estimates,male,1964,4249.151
729,estimates,female,1965,4387.403
729,estimates,male,1965,4382.691
729,estimates,female,1966,4525.67
729,estimates,male,1966,4522.133
729,estimates,female,1967,4669.928
729,estimates,male,1967,4667.734
729,estimates,female,1968,4820.259
729,estimates,male,1968,4819.587
729,estimates,female,1969,4976.714
729,estimates,male,1969,4977.697
729,estimates,female,1970,5139.456
729,estimates,male,1970,5142.239
729,estimates,female,1971,5308.373
729,estimates,male,1971,5313.098
729,estimates,female,1972,5483.918
729,estimates,male,1972,5490.708
729,estimates,female,1973,5667.468
729,estimates,male,1973,5676.455
729,estimates,female,1974,5860.83
729,estimates,male,1974,5872.127
729,estimates,female,1975,6065.2
729,estimates,male,1975,6078.928
729,estimates,female,1976,6281.068
729,estimates,male,1976,6297.33
729,estimates,female,1977,6507.869
729,estimates,male,1977,6526.762
729,estimates,female,1978,6744.405
729,estimates,male,1978,6766.024
729,estimates,female,1979,6988.94
729,estimates,male,1979,7013.362
729,estimates,female,1980,7240.085
729,estimates,male,1980,7267.381
729,estimates,female,1981,7498.521
729,estimates,male,1981,7528.758
729,estimates,female,1982,7764.487
729,estimates,male,1982,7797.711
729,estimates,female,1983,8035.733
729,estimates,male,1983,8072.003
729,estimates,female,1984,8309.338
729,estimates,male,1984,8348.71
729,estimates,female,1985,8583.827
729,estimates,male,1985,8626.355
729,estimates,female,1986,8855.728
729,estimates,male,1986,8901.438
729,estimates,female,1987,9126.835
729,estimates,male,1987,9175.751
729,estimates,female,1988,9407.088
729,estimates,male,1988,9459.227
729,estimates,female,1989,9710.087
729,estimates,male,1989,9765.517
729,estimates,female,1990,10044.406
729,estimates,male,1990,10103.186
729,estimates,female,1991,10415.696
729,estimates,male,1991,10477.934
729,estimates,female,1992,10817.862
729,estimates,male,1992,10883.609
729,estimates,female,1993,11233.421
729,estimates,male,1993,11302.52
729,estimates,female,1994,11637.931
729,estimates,male,1994,11709.956
729,estimates,female,1995,12014.328
729,estimates,male,1995,12088.656
729,estimates,female,1996,12355.374
729,estimates,male,1996,12430.818
729,estimates,female,1997,12667.538
729,estimates,male,1997,12742.914
729,estimates,female,1998,12964.206
729,estimates,male,1998,13039.336
729,estimates,female,1999,13265.444
729,estimates,male,1999,13341.6
729,estimates,female,2000,13585.671
729,estimates,male,2000,13664.865
729,estimates,female,2001,13929.665
729,estimates,male,2001,14015.336
729,estimates,female,2002,14292.472
729,estimates,male,2002,14387.096
729,estimates,female,2003,14667.142
729,estimates,male,2003,14768.798
729,estimates,female,2004,15042.801
729,estimates,male,2004,15143.536
729,estimates,female,2005,15411.916
729,estimates,male,2005,15499.995
729,estimates,female,2006,15772.856
729,estimates,male,2006,15834.206
729,estimates,female,2007,16129.673
729,estimates,male,2007,16152.855
729,estimates,female,2008,16487.37
729,estimates,male,2008,16468.131
729,estimates,female,2009,16853.222
729,estimates,male,2009,16797.395
729,estimates,female,2010,17232.706
729,estimates,male,2010,17153.255
729,estimates,female,2011,17627.389
729,estimates,male,2011,17539.922
729,estimates,female,2012,18036.251
729,estimates,male,2012,17953.94
729,estimates,female,2013,18459.074
729,estimates,male,2013,18390.842
729,estimates,female,2014,18894.841
729,estimates,male,2014,18843.068
729,constant_fertility,female,2015,19342.802
729,constant_fertility,male,2015,19304.999
729,constant_mortality,female,2015,19342.802
729,constant_mortality,male,2015,19304.999
729,estimates,female,2015,19342.802
729,estimates,male,2015,19304.999
729,high_variant,female,2015,19342.802
729,high_variant,male,2015,19304.999
729,instant_replacement,female,2015,19342.802
729,instant_replacement,male,2015,19304.999
729,low_variant,female,2015,19342.802
729,low_variant,male,2015,19304.999
729,medium_variant,female,2015,19342.802
729,medium_variant,male,2015,19304.999
729,momentum,female,2015,19342.802
729,momentum,male,2015,19304.999
729,no_change,female,2015,19342.802
729,no_change,male,2015,19304.999
729,zero_migration,female,2015,19342.802
729,zero_migration,male,2015,19304.999
729,constant_fertility,female,2016,19827.976
729,constant_fertility,male,2016,19799.189
729,constant_mortality,female,2016,19794.769
729,constant_mortality,male,2016,19765.626
729,high_variant,female,2016,19821.895
729,high_variant,male,2016,19792.908
729,instant_replacement,female,2016,19607.138
729,instant_replacement,male,2016,19573.045
729,low_variant,female,2016,19780.521
729,low_variant,male,2016,19750.092
729,medium_variant,female,2016,19803.12
729,medium_variant,male,2016,19775.706
729,momentum,female,2016,19624.588
729,momentum,male,2016,19591.082
729,no_change,female,2016,19821.54
729,no_change,male,2016,19793.326
729,zero_migration,female,2016,19840.67
729,zero_migration,male,2016,19810.982
729,constant_fertility,female,2017,20339.467
729,constant_fertility,male,2017,20319.776
729,constant_mortality,female,2017,20258.519
729,constant_mortality,male,2017,20237.926
729,high_variant,female,2017,20323.271
729,high_variant,male,2017,20303.034
729,instant_replacement,female,2017,19802.675
729,instant_replacement,male,2017,19767.277
729,low_variant,female,2017,20224.285
729,low_variant,male,2017,20200.641
729,medium_variant,female,2017,20276.303
729,medium_variant,male,2017,20257.039
729,momentum,female,2017,19844.545
729,momentum,male,2017,19810.598
729,no_change,female,2017,20324.044
729,no_change,male,2017,20305.722
729,zero_migration,female,2017,20346.652
729,zero_migration,male,2017,20324.746
729,constant_fertility,female,2018,20876.455
729,constant_fertility,male,2018,20865.895
729,constant_mortality,female,2018,20733.478
729,constant_mortality,male,2018,20721.361
729,high_variant,female,2018,20845.258
729,high_variant,male,2018,20833.649
