variant,continent,year,populationgrowthrate
estimates,909,1950,2.526
estimates,909,1951,2.422
estimates,909,1952,2.265
estimates,909,1953,2.193
estimates,909,1954,2.178
estimates,909,1955,2.193
estimates,909,1956,2.216
estimates,909,1957,2.227
estimates,909,1958,2.213
estimates,909,1959,2.171
estimates,909,1960,2.112
estimates,909,1961,2.058
estimates,909,1962,2.038
estimates,909,1963,2.073
estimates,909,1964,2.155
estimates,909,1965,2.259
estimates,909,1966,2.351
estimates,909,1967,2.387
estimates,909,1968,2.341
estimates,909,1969,2.22
estimates,909,1970,2.065
estimates,909,1971,1.919
estimates,909,1972,1.788
estimates,909,1973,1.667
estimates,909,1974,1.56
estimates,909,1975,1.46
estimates,909,1976,1.364
estimates,909,1977,1.303
estimates,909,1978,1.303
estimates,909,1979,1.36
estimates,909,1980,1.448
estimates,909,1981,1.535
estimates,909,1982,1.605
estimates,909,1983,1.649
estimates,909,1984,1.664
estimates,909,1985,1.666
estimates,909,1986,1.668
estimates,909,1987,1.665
estimates,909,1988,1.65
estimates,909,1989,1.623
estimates,909,1990,1.592
estimates,909,1991,1.559
estimates,909,1992,1.525
estimates,909,1993,1.487
estimates,909,1994,1.446
estimates,909,1995,1.407
estimates,909,1996,1.372
estimates,909,1997,1.347
estimates,909,1998,1.338
estimates,909,1999,1.344
estimates,909,2000,1.355
estimates,909,2001,1.366
estimates,909,2002,1.394
estimates,909,2003,1.452
estimates,909,2004,1.537
estimates,909,2005,1.635
estimates,909,2006,1.727
estimates,909,2007,1.786
estimates,909,2008,1.79
estimates,909,2009,1.744
estimates,909,2010,1.671
estimates,909,2011,1.597
estimates,909,2012,1.536
estimates,909,2013,1.492
estimates,909,2014,1.467
estimates,909,2015,1.45
medium_variant,909,2015,1.45
medium_variant,909,2016,1.431
medium_variant,909,2017,1.406
medium_variant,909,2018,1.376
medium_variant,909,2019,1.342
medium_variant,909,2020,1.306
medium_variant,909,2021,1.272
medium_variant,909,2022,1.241
medium_variant,909,2023,1.215
medium_variant,909,2024,1.193
medium_variant,909,2025,1.174
medium_variant,909,2026,1.156
medium_variant,909,2027,1.136
medium_variant,909,2028,1.116
medium_variant,909,2029,1.094
medium_variant,909,2030,1.071
medium_variant,909,2031,1.05
medium_variant,909,2032,1.029
medium_variant,909,2033,1.01
medium_variant,909,2034,0.991
medium_variant,909,2035,0.973
medium_variant,909,2036,0.956
medium_variant,909,2037,0.939
medium_variant,909,2038,0.923
medium_variant,909,2039,0.909
medium_variant,909,2040,0.895
medium_variant,909,2041,0.881
medium_variant,909,2042,0.868
medium_variant,909,2043,0.855
medium_variant,909,2044,0.843
medium_variant,909,2045,0.83
medium_variant,909,2046,0.818
medium_variant,909,2047,0.806
medium_variant,909,2048,0.792
medium_variant,909,2049,0.777
medium_variant,909,2050,0.762
medium_variant,909,2051,0.746
medium_variant,909,2052,0.731
medium_variant,909,2053,0.717
medium_variant,909,2054,0.703
medium_variant,909,2055,0.689
medium_variant,909,2056,0.675
medium_variant,909,2057,0.661
medium_variant,909,2058,0.648
medium_variant,909,2059,0.635
medium_variant,909,2060,0.622
medium_variant,909,2061,0.609
medium_variant,909,2062,0.597
medium_variant,909,2063,0.585
medium_variant,909,2064,0.573
medium_variant,909,2065,0.561
medium_variant,909,2066,0.55
medium_variant,909,2067,0.539
medium_variant,909,2068,0.527
medium_variant,909,2069,0.516
medium_variant,909,2070,0.504
medium_variant,909,2071,0.493
medium_variant,909,2072,0.481
medium_variant,909,2073,0.47
medium_variant,909,2074,0.458
medium_variant,909,2075,0.446
medium_variant,909,2076,0.434
medium_variant,909,2077,0.422
medium_variant,909,2078,0.41
medium_variant,909,2079,0.399
medium_variant,909,2080,0.388
medium_variant,909,2081,0.377
medium_variant,909,2082,0.366
medium_variant,909,2083,0.356
medium_variant,909,2084,0.347
medium_variant,909,2085,0.338
medium_variant,909,2086,0.329
medium_variant,909,2087,0.32
medium_variant,909,2088,0.311
medium_variant,909,2089,0.303
medium_variant,909,2090,0.295
medium_variant,909,2091,0.287
medium_variant,909,2092,0.279
medium_variant,909,2093,0.271
medium_variant,909,2094,0.263
medium_variant,909,2095,0.255
medium_variant,909,2096,0.246
medium_variant,909,2097,0.238
medium_variant,909,2098,0.229
medium_variant,909,2099,0.22
