variant,continent,year,populationgrowthrate
estimates,905,1950,1.419
estimates,905,1951,1.504
estimates,905,1952,1.649
estimates,905,1953,1.748
estimates,905,1954,1.805
estimates,905,1955,1.828
estimates,905,1956,1.822
estimates,905,1957,1.793
estimates,905,1958,1.744
estimates,905,1959,1.681
estimates,905,1960,1.607
estimates,905,1961,1.526
estimates,905,1962,1.44
estimates,905,1963,1.352
estimates,905,1964,1.266
estimates,905,1965,1.18
estimates,905,1966,1.096
estimates,905,1967,1.027
estimates,905,1968,0.983
estimates,905,1969,0.964
estimates,905,1970,0.959
estimates,905,1971,0.958
estimates,905,1972,0.957
estimates,905,1973,0.957
estimates,905,1974,0.956
estimates,905,1975,0.957
estimates,905,1976,0.961
estimates,905,1977,0.965
estimates,905,1978,0.964
estimates,905,1979,0.96
estimates,905,1980,0.954
estimates,905,1981,0.949
estimates,905,1982,0.947
estimates,905,1983,0.95
estimates,905,1984,0.957
estimates,905,1985,0.968
estimates,905,1986,0.979
estimates,905,1987,0.989
estimates,905,1988,0.995
estimates,905,1989,0.997
estimates,905,1990,0.995
estimates,905,1991,0.992
estimates,905,1992,0.999
estimates,905,1993,1.026
estimates,905,1994,1.072
estimates,905,1995,1.128
estimates,905,1996,1.181
estimates,905,1997,1.207
estimates,905,1998,1.19
estimates,905,1999,1.131
estimates,905,2000,1.049
estimates,905,2001,0.967
estimates,905,2002,0.906
estimates,905,2003,0.88
estimates,905,2004,0.887
estimates,905,2005,0.913
estimates,905,2006,0.937
estimates,905,2007,0.945
estimates,905,2008,0.928
estimates,905,2009,0.887
estimates,905,2010,0.835
estimates,905,2011,0.785
estimates,905,2012,0.747
estimates,905,2013,0.725
estimates,905,2014,0.719
estimates,905,2015,0.723
medium_variant,905,2015,0.723
medium_variant,905,2016,0.726
medium_variant,905,2017,0.727
medium_variant,905,2018,0.727
medium_variant,905,2019,0.725
medium_variant,905,2020,0.723
medium_variant,905,2021,0.72
medium_variant,905,2022,0.717
medium_variant,905,2023,0.712
medium_variant,905,2024,0.704
medium_variant,905,2025,0.694
medium_variant,905,2026,0.684
medium_variant,905,2027,0.672
medium_variant,905,2028,0.658
medium_variant,905,2029,0.641
medium_variant,905,2030,0.623
medium_variant,905,2031,0.605
medium_variant,905,2032,0.587
medium_variant,905,2033,0.569
medium_variant,905,2034,0.551
medium_variant,905,2035,0.533
medium_variant,905,2036,0.516
medium_variant,905,2037,0.5
medium_variant,905,2038,0.484
medium_variant,905,2039,0.469
medium_variant,905,2040,0.455
medium_variant,905,2041,0.442
medium_variant,905,2042,0.43
medium_variant,905,2043,0.42
medium_variant,905,2044,0.412
medium_variant,905,2045,0.406
medium_variant,905,2046,0.4
medium_variant,905,2047,0.395
medium_variant,905,2048,0.391
medium_variant,905,2049,0.387
medium_variant,905,2050,0.383
medium_variant,905,2051,0.38
medium_variant,905,2052,0.377
medium_variant,905,2053,0.376
medium_variant,905,2054,0.375
medium_variant,905,2055,0.375
medium_variant,905,2056,0.375
medium_variant,905,2057,0.375
medium_variant,905,2058,0.374
medium_variant,905,2059,0.373
medium_variant,905,2060,0.371
medium_variant,905,2061,0.369
medium_variant,905,2062,0.367
medium_variant,905,2063,0.364
medium_variant,905,2064,0.36
medium_variant,905,2065,0.356
medium_variant,905,2066,0.351
medium_variant,905,2067,0.345
medium_variant,905,2068,0.338
medium_variant,905,2069,0.33
medium_variant,905,2070,0.322
medium_variant,905,2071,0.313
medium_variant,905,2072,0.304
medium_variant,905,2073,0.295
medium_variant,905,2074,0.286
medium_variant,905,2075,0.277
medium_variant,905,2076,0.268
medium_variant,905,2077,0.26
medium_variant,905,2078,0.251
medium_variant,905,2079,0.243
medium_variant,905,2080,0.235
medium_variant,905,2081,0.228
medium_variant,905,2082,0.22
medium_variant,905,2083,0.214
medium_variant,905,2084,0.208
medium_variant,905,2085,0.203
medium_variant,905,2086,0.199
medium_variant,905,2087,0.194
medium_variant,905,2088,0.191
medium_variant,905,2089,0.188
medium_variant,905,2090,0.186
medium_variant,905,2091,0.184
medium_variant,905,2092,0.182
medium_variant,905,2093,0.179
medium_variant,905,2094,0.177
medium_variant,905,2095,0.174
medium_variant,905,2096,0.17
medium_variant,905,2097,0.167
medium_variant,905,2098,0.164
medium_variant,905,2099,0.16
