variant,continent,year,populationgrowthrate
estimates,903,1950,1.995
estimates,903,1951,2.023
estimates,903,1952,2.078
estimates,903,1953,2.129
estimates,903,1954,2.176
estimates,903,1955,2.22
estimates,903,1956,2.26
estimates,903,1957,2.298
estimates,903,1958,2.333
estimates,903,1959,2.366
estimates,903,1960,2.396
estimates,903,1961,2.424
estimates,903,1962,2.45
estimates,903,1963,2.474
estimates,903,1964,2.495
estimates,903,1965,2.516
estimates,903,1966,2.536
estimates,903,1967,2.554
estimates,903,1968,2.567
estimates,903,1969,2.577
estimates,903,1970,2.585
estimates,903,1971,2.593
estimates,903,1972,2.607
estimates,903,1973,2.632
estimates,903,1974,2.666
estimates,903,1975,2.703
estimates,903,1976,2.736
estimates,903,1977,2.764
estimates,903,1978,2.787
estimates,903,1979,2.804
estimates,903,1980,2.816
estimates,903,1981,2.825
estimates,903,1982,2.829
estimates,903,1983,2.827
estimates,903,1984,2.82
estimates,903,1985,2.808
estimates,903,1986,2.794
estimates,903,1987,2.776
estimates,903,1988,2.751
estimates,903,1989,2.721
estimates,903,1990,2.689
estimates,903,1991,2.659
estimates,903,1992,2.627
estimates,903,1993,2.591
estimates,903,1994,2.554
estimates,903,1995,2.518
estimates,903,1996,2.485
estimates,903,1997,2.459
estimates,903,1998,2.445
estimates,903,1999,2.442
estimates,903,2000,2.445
estimates,903,2001,2.45
estimates,903,2002,2.457
estimates,903,2003,2.467
estimates,903,2004,2.48
estimates,903,2005,2.493
estimates,903,2006,2.505
estimates,903,2007,2.519
estimates,903,2008,2.536
estimates,903,2009,2.556
estimates,903,2010,2.576
estimates,903,2011,2.592
estimates,903,2012,2.599
estimates,903,2013,2.594
estimates,903,2014,2.576
estimates,903,2015,2.552
medium_variant,903,2015,2.552
medium_variant,903,2016,2.526
medium_variant,903,2017,2.501
medium_variant,903,2018,2.476
medium_variant,903,2019,2.451
medium_variant,903,2020,2.426
medium_variant,903,2021,2.4
medium_variant,903,2022,2.374
medium_variant,903,2023,2.35
medium_variant,903,2024,2.327
medium_variant,903,2025,2.304
medium_variant,903,2026,2.282
medium_variant,903,2027,2.26
medium_variant,903,2028,2.239
medium_variant,903,2029,2.219
medium_variant,903,2030,2.199
medium_variant,903,2031,2.179
medium_variant,903,2032,2.159
medium_variant,903,2033,2.138
medium_variant,903,2034,2.117
medium_variant,903,2035,2.096
medium_variant,903,2036,2.074
medium_variant,903,2037,2.051
medium_variant,903,2038,2.028
medium_variant,903,2039,2.004
medium_variant,903,2040,1.98
medium_variant,903,2041,1.955
medium_variant,903,2042,1.93
medium_variant,903,2043,1.904
medium_variant,903,2044,1.878
medium_variant,903,2045,1.852
medium_variant,903,2046,1.826
medium_variant,903,2047,1.8
medium_variant,903,2048,1.773
medium_variant,903,2049,1.747
medium_variant,903,2050,1.722
medium_variant,903,2051,1.696
medium_variant,903,2052,1.67
medium_variant,903,2053,1.644
medium_variant,903,2054,1.619
medium_variant,903,2055,1.593
medium_variant,903,2056,1.568
medium_variant,903,2057,1.543
medium_variant,903,2058,1.518
medium_variant,903,2059,1.494
medium_variant,903,2060,1.47
medium_variant,903,2061,1.447
medium_variant,903,2062,1.423
medium_variant,903,2063,1.4
medium_variant,903,2064,1.377
medium_variant,903,2065,1.354
medium_variant,903,2066,1.331
medium_variant,903,2067,1.308
medium_variant,903,2068,1.285
medium_variant,903,2069,1.262
medium_variant,903,2070,1.239
medium_variant,903,2071,1.216
medium_variant,903,2072,1.193
medium_variant,903,2073,1.171
medium_variant,903,2074,1.148
medium_variant,903,2075,1.125
medium_variant,903,2076,1.103
medium_variant,903,2077,1.081
medium_variant,903,2078,1.059
medium_variant,903,2079,1.037
medium_variant,903,2080,1.015
medium_variant,903,2081,0.994
medium_variant,903,2082,0.973
medium_variant,903,2083,0.951
medium_variant,903,2084,0.93
medium_variant,903,2085,0.91
medium_variant,903,2086,0.889
medium_variant,903,2087,0.869
medium_variant,903,2088,0.848
medium_variant,903,2089,0.828
medium_variant,903,2090,0.808
medium_variant,903,2091,0.788
medium_variant,903,2092,0.769
medium_variant,903,2093,0.749
medium_variant,903,2094,0.73
medium_variant,903,2095,0.711
medium_variant,903,2096,0.692
medium_variant,903,2097,0.673
medium_variant,903,2098,0.655
medium_variant,903,2099,0.636
