region,year,variant,freq,age1yearinterval,survivorage
1517,1950,estimates,5yearly,0,100000
1517,1950,estimates,5yearly,1,84455.3875156319
1517,1950,estimates,5yearly,5,76396.3742052947
1517,1950,estimates,5yearly,10,73469.5547073725
1517,1950,estimates,5yearly,15,71839.6586194735
1517,1950,estimates,5yearly,20,69970.8629218807
1517,1950,estimates,5yearly,25,67749.1163743727
1517,1950,estimates,5yearly,30,65305.7336031426
1517,1950,estimates,5yearly,35,62592.3958448156
1517,1950,estimates,5yearly,40,59531.0219424604
1517,1950,estimates,5yearly,45,55907.2045906261
1517,1950,estimates,5yearly,50,51647.6638287506
1517,1950,estimates,5yearly,55,46726.6654335304
1517,1950,estimates,5yearly,60,40537.1387857048
1517,1950,estimates,5yearly,65,32724.3223938948
1517,1950,estimates,5yearly,70,23970.310599631
1517,1950,estimates,5yearly,75,15205.8235442769
1517,1950,estimates,5yearly,80,7857.54366096063
1517,1950,estimates,5yearly,85,3074.22092588725
1517,1950,estimates,5yearly,90,839.024781688223
1517,1950,estimates,5yearly,95,147.630550265749
1517,1950,estimates,5yearly,100plus,15.7944751761325
1517,1955,estimates,5yearly,0,100000
1517,1955,estimates,5yearly,1,85716.3644657533
1517,1955,estimates,5yearly,5,78490.5689041929
1517,1955,estimates,5yearly,10,75990.5148880014
1517,1955,estimates,5yearly,15,74534.3468884988
1517,1955,estimates,5yearly,20,72849.4405556345
1517,1955,estimates,5yearly,25,70837.6887710294
1517,1955,estimates,5yearly,30,68597.0507031214
1517,1955,estimates,5yearly,35,66110.9331553486
1517,1955,estimates,5yearly,40,63162.1388265974
1517,1955,estimates,5yearly,45,59716.1415182707
1517,1955,estimates,5yearly,50,55668.5217066542
1517,1955,estimates,5yearly,55,50661.6829351727
1517,1955,estimates,5yearly,60,44204.5728489885
1517,1955,estimates,5yearly,65,36033.9031687772
1517,1955,estimates,5yearly,70,26664.9830567912
1517,1955,estimates,5yearly,75,17052.323881228
1517,1955,estimates,5yearly,80,8851.84579582721
1517,1955,estimates,5yearly,85,3453.3624974625
1517,1955,estimates,5yearly,90,928.593823041905
