region,year,variant,freq,age1yearinterval,survivorage
912,1950,estimates,5yearly,0,100000
912,1950,estimates,5yearly,1,79863.1295094488
912,1950,estimates,5yearly,5,68189.8909653978
912,1950,estimates,5yearly,10,65905.5796002156
912,1950,estimates,5yearly,15,65250.7973335309
912,1950,estimates,5yearly,20,63948.2575801922
912,1950,estimates,5yearly,25,62333.4044337504
912,1950,estimates,5yearly,30,60586.8635601983
912,1950,estimates,5yearly,35,58724.4606330045
912,1950,estimates,5yearly,40,56648.5764143654
912,1950,estimates,5yearly,45,54330.5432223723
912,1950,estimates,5yearly,50,51559.0906345952
912,1950,estimates,5yearly,55,48016.3783045349
912,1950,estimates,5yearly,60,43480.2427345006
912,1950,estimates,5yearly,65,37549.1961276892
912,1950,estimates,5yearly,70,29859.8491982904
912,1950,estimates,5yearly,75,20608.3136889732
912,1950,estimates,5yearly,80,11350.2039525412
912,1950,estimates,5yearly,85,4472.09676185913
912,1950,estimates,5yearly,90,1109.22177338168
912,1950,estimates,5yearly,95,153.964044515224
912,1950,estimates,5yearly,100plus,11.1999312123503
912,1955,estimates,5yearly,0,100000
912,1955,estimates,5yearly,1,82475.9522183854
912,1955,estimates,5yearly,5,72616.0881705018
912,1955,estimates,5yearly,10,70655.881203512
912,1955,estimates,5yearly,15,69974.4544447795
912,1955,estimates,5yearly,20,68688.4856794256
912,1955,estimates,5yearly,25,67089.1681775923
912,1955,estimates,5yearly,30,65363.7562344666
912,1955,estimates,5yearly,35,63519.3125037806
912,1955,estimates,5yearly,40,61451.1029632892
912,1955,estimates,5yearly,45,59112.613446
912,1955,estimates,5yearly,50,56249.7927681929
912,1955,estimates,5yearly,55,52542.5899521569
912,1955,estimates,5yearly,60,47764.348501542
912,1955,estimates,5yearly,65,41492.24593584
912,1955,estimates,5yearly,70,33327.6493482279
912,1955,estimates,5yearly,75,23442.5825438262
912,1955,estimates,5yearly,80,13358.0489482276
912,1955,estimates,5yearly,85,5568.45909278963
912,1955,estimates,5yearly,90,1503.3855521064
912,1955,estimates,5yearly,95,233.719980322608
912,1955,estimates,5yearly,100plus,19.4090499983055
912,1960,estimates,5yearly,0,100000
912,1960,estimates,5yearly,1,84226.793492814
912,1960,estimates,5yearly,5,75784.1313598659
912,1960,estimates,5yearly,10,74009.1972467149
912,1960,estimates,5yearly,15,73368.716491385
912,1960,estimates,5yearly,20,72176.524517583
912,1960,estimates,5yearly,25,70643.8036306343
912,1960,estimates,5yearly,30,68983.2156129106
912,1960,estimates,5yearly,35,67205.1959503601
912,1960,estimates,5yearly,40,65203.001669094
912,1960,estimates,5yearly,45,62910.3427108272
912,1960,estimates,5yearly,50,60040.8206534909
912,1960,estimates,5yearly,55,56252.3205577132
912,1960,estimates,5yearly,60,51340.7819543693
912,1960,estimates,5yearly,65,44825.4998332621
912,1960,estimates,5yearly,70,36324.8956376076
912,1960,estimates,5yearly,75,25934.6952851843
912,1960,estimates,5yearly,80,15128.1861165872
912,1960,estimates,5yearly,85,6529.91772001393
912,1960,estimates,5yearly,90,1849.65971153186
912,1960,estimates,5yearly,95,305.267256776351
912,1960,estimates,5yearly,100plus,27.0782432575313
912,1965,estimates,5yearly,0,100000
912,1965,estimates,5yearly,1,85588.105354889
912,1965,estimates,5yearly,5,78413.6043385074
912,1965,estimates,5yearly,10,76848.1486939378
912,1965,estimates,5yearly,15,76232.518951521
912,1965,estimates,5yearly,20,75156.9478138162
912,1965,estimates,5yearly,25,73762.3745898842
912,1965,estimates,5yearly,30,72183.3438118619
912,1965,estimates,5yearly,35,70485.2380869246
912,1965,estimates,5yearly,40,68571.4943678226
912,1965,estimates,5yearly,45,66350.2092286183
912,1965,estimates,5yearly,50,63509.5537332157
912,1965,estimates,5yearly,55,59701.7270028497
912,1965,estimates,5yearly,60,54712.9223927642
912,1965,estimates,5yearly,65,48064.4342454592
912,1965,estimates,5yearly,70,39236.8442764804
912,1965,estimates,5yearly,75,28352.7836607566
912,1965,estimates,5yearly,80,16898.2927112286
912,1965,estimates,5yearly,85,7559.71019489864
912,1965,estimates,5yearly,90,2261.25060248302
912,1965,estimates,5yearly,95,401.994044623738
912,1965,estimates,5yearly,100plus,38.9881400002558
912,1970,estimates,5yearly,0,100000
912,1970,estimates,5yearly,1,86623.3102305082
912,1970,estimates,5yearly,5,80341.9252092641
912,1970,estimates,5yearly,10,78948.1892449916
912,1970,estimates,5yearly,15,78382.3675230199
912,1970,estimates,5yearly,20,77372.1631523069
912,1970,estimates,5yearly,25,76103.9097725156
912,1970,estimates,5yearly,30,74675.2130687446
912,1970,estimates,5yearly,35,73069.1793245549
912,1970,estimates,5yearly,40,71253.8931760801
912,1970,estimates,5yearly,45,69117.7254540344
912,1970,estimates,5yearly,50,66327.5382490263
912,1970,estimates,5yearly,55,62537.2611740648
912,1970,estimates,5yearly,60,57547.7590803572
912,1970,estimates,5yearly,65,50856.5125097287
912,1970,estimates,5yearly,70,41910.3194426919
912,1970,estimates,5yearly,75,30680.2684608524
912,1970,estimates,5yearly,80,18627.1992314771
912,1970,estimates,5yearly,85,8544.23320614295
912,1970,estimates,5yearly,90,2636.90859276459
912,1970,estimates,5yearly,95,485.571504386268
912,1970,estimates,5yearly,100plus,48.7604609760699
912,1975,estimates,5yearly,0,100000
912,1975,estimates,5yearly,1,88823.5262891604
912,1975,estimates,5yearly,5,83770.2919527948
912,1975,estimates,5yearly,10,82563.1324046667
912,1975,estimates,5yearly,15,82013.0935788828
912,1975,estimates,5yearly,20,81091.9596433468
912,1975,estimates,5yearly,25,79888.3958459922
912,1975,estimates,5yearly,30,78554.1527026826
912,1975,estimates,5yearly,35,77075.2642509036
912,1975,estimates,5yearly,40,75346.3469408688
912,1975,estimates,5yearly,45,73276.4072479383
912,1975,estimates,5yearly,50,70495.5402920549
912,1975,estimates,5yearly,55,66653.2307998642
912,1975,estimates,5yearly,60,61555.7161017697
912,1975,estimates,5yearly,65,54692.2810930155
912,1975,estimates,5yearly,70,45429.0469057798
912,1975,estimates,5yearly,75,33635.5326484849
912,1975,estimates,5yearly,80,20747.8934578937
912,1975,estimates,5yearly,85,9718.27575344975
912,1975,estimates,5yearly,90,3076.5904126238
912,1975,estimates,5yearly,95,582.493486137499
912,1975,estimates,5yearly,100plus,60.0610139845109
912,1980,estimates,5yearly,0,100000
912,1980,estimates,5yearly,1,90978.4202300945
912,1980,estimates,5yearly,5,87198.7658406165
912,1980,estimates,5yearly,10,86222.3355122515
912,1980,estimates,5yearly,15,85723.7495766061
912,1980,estimates,5yearly,20,84934.661431049
912,1980,estimates,5yearly,25,83902.7532960129
912,1980,estimates,5yearly,30,82720.2745725032
912,1980,estimates,5yearly,35,81405.5536163902
912,1980,estimates,5yearly,40,79862.0512952991
912,1980,estimates,5yearly,45,77931.1762004951
912,1980,estimates,5yearly,50,75246.5445978147
912,1980,estimates,5yearly,55,71447.516641373
912,1980,estimates,5yearly,60,66346.689307458
912,1980,estimates,5yearly,65,59397.3389327663
912,1980,estimates,5yearly,70,49911.7940252188
912,1980,estimates,5yearly,75,37584.2908983073
912,1980,estimates,5yearly,80,23701.677850056
