region,year,variant,freq,age1yearinterval,survivorage
915,1975,estimates,5yearly,70,56370.7017057668
915,1975,estimates,5yearly,75,45221.7772927401
915,1975,estimates,5yearly,80,31998.4510002598
915,1975,estimates,5yearly,85,18744.8314166956
915,1975,estimates,5yearly,90,8350.51441888183
915,1975,estimates,5yearly,95,2553.25649533191
915,1975,estimates,5yearly,100plus,482.482788496959
915,1980,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1980,estimates,5yearly,0,100000
915,1980,estimates,5yearly,1,93393.9462581711
915,1980,estimates,5yearly,5,91394.1307473481
915,1980,estimates,5yearly,10,90836.8318529159
915,1980,estimates,5yearly,15,90415.7165945196
915,1980,estimates,5yearly,20,89730.2550890546
915,1980,estimates,5yearly,25,88756.125593704
915,1980,estimates,5yearly,30,87622.3502124007
915,1980,estimates,5yearly,35,86385.4278253415
915,1980,estimates,5yearly,40,84900.6135668025
915,1980,estimates,5yearly,45,83009.3108277723
915,1980,estimates,5yearly,50,80532.139393619
915,1980,estimates,5yearly,55,77228.595260184
915,1980,estimates,5yearly,60,72700.3682587373
915,1980,estimates,5yearly,65,66426.9986496339
915,1980,estimates,5yearly,70,58080.2503231064
915,1980,estimates,5yearly,75,47200.9304048071
915,1980,estimates,5yearly,80,34110.7978569188
915,1980,estimates,5yearly,85,20657.1699734904
915,1980,estimates,5yearly,90,9673.79363470297
915,1980,estimates,5yearly,95,3173.94332318832
915,1980,estimates,5yearly,100plus,657.325334291839
915,1985,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1985,estimates,5yearly,0,100000
915,1985,estimates,5yearly,1,94587.576802445
915,1985,estimates,5yearly,5,92794.243652846
915,1985,estimates,5yearly,10,92113.8820000272
915,1985,estimates,5yearly,15,91662.0997050536
915,1985,estimates,5yearly,20,90980.0404008386
915,1985,estimates,5yearly,25,90036.953522995
915,1985,estimates,5yearly,30,88912.4370011484
915,1985,estimates,5yearly,35,87635.8359789555
915,1985,estimates,5yearly,40,86157.2375603347
915,1985,estimates,5yearly,45,84304.6988749345
915,1985,estimates,5yearly,50,81885.1384533455
915,1985,estimates,5yearly,55,78644.1563979362
915,1985,estimates,5yearly,60,74191.8343672349
915,1985,estimates,5yearly,65,68012.2329910691
915,1985,estimates,5yearly,70,59690.7738289798
915,1985,estimates,5yearly,75,48819.6052285064
915,1985,estimates,5yearly,80,35736.3567854577
915,1985,estimates,5yearly,85,22160.0028706581
915,1985,estimates,5yearly,90,10804.6393591032
915,1985,estimates,5yearly,95,3776.28709206703
915,1985,estimates,5yearly,100plus,855.837235762385
915,1990,estimates,5yearly,"Region, subregion, country or area *",Caribbean
915,1990,estimates,5yearly,0,100000
915,1990,estimates,5yearly,1,95447.5239546102
