region,variant,freq,year,netmigrationrateper1000pop
906,estimates,5yearly,1950,-0.211
906,estimates,5yearly,1955,0.1
906,estimates,5yearly,1960,-0.234
906,estimates,5yearly,1965,0.253
906,estimates,5yearly,1970,-0.1
906,estimates,5yearly,1975,0.031
906,estimates,5yearly,1980,0.011
906,estimates,5yearly,1985,-0.033
906,estimates,5yearly,1990,-0.097
906,estimates,5yearly,1995,-0.036
906,estimates,5yearly,2000,-0.196
906,estimates,5yearly,2005,-0.245
906,estimates,5yearly,2010,-0.115
906,medium_variant,5yearly,2015,-0.106
906,medium_variant,5yearly,2020,-0.115
906,medium_variant,5yearly,2025,-0.107
906,medium_variant,5yearly,2030,-0.108
906,medium_variant,5yearly,2035,-0.109
906,medium_variant,5yearly,2040,-0.11
906,medium_variant,5yearly,2045,-0.112
906,medium_variant,5yearly,2050,-0.109
906,medium_variant,5yearly,2055,-0.106
906,medium_variant,5yearly,2060,-0.103
906,medium_variant,5yearly,2065,-0.1
906,medium_variant,5yearly,2070,-0.097
906,medium_variant,5yearly,2075,-0.093
906,medium_variant,5yearly,2080,-0.089
906,medium_variant,5yearly,2085,-0.084
906,medium_variant,5yearly,2090,-0.079
906,medium_variant,5yearly,2095,-0.074
906,estimates,5yearly,Regi,Eastern Asia
906,medium_variant,5yearly,Regi,Eastern Asia
