region,variant,freq,year,netmigrationrateper1000pop
923,estimates,5yearly,1950,-0.103
923,estimates,5yearly,1955,-1.688
923,estimates,5yearly,1960,-0.776
923,estimates,5yearly,1965,-0.345
923,estimates,5yearly,1970,-0.166
923,estimates,5yearly,1975,0.323
923,estimates,5yearly,1980,0.528
923,estimates,5yearly,1985,-0.007
923,estimates,5yearly,1990,0.954
923,estimates,5yearly,1995,0.671
923,estimates,5yearly,2000,0.615
923,estimates,5yearly,2005,1.13
923,estimates,5yearly,2010,0.399
923,medium_variant,5yearly,2015,0.388
923,medium_variant,5yearly,2020,0.278
923,medium_variant,5yearly,2025,0.307
923,medium_variant,5yearly,2030,0.314
923,medium_variant,5yearly,2035,0.321
923,medium_variant,5yearly,2040,0.328
923,medium_variant,5yearly,2045,0.335
923,medium_variant,5yearly,2050,0.324
923,medium_variant,5yearly,2055,0.314
923,medium_variant,5yearly,2060,0.303
923,medium_variant,5yearly,2065,0.292
923,medium_variant,5yearly,2070,0.28
923,medium_variant,5yearly,2075,0.266
923,medium_variant,5yearly,2080,0.251
923,medium_variant,5yearly,2085,0.234
923,medium_variant,5yearly,2090,0.217
923,medium_variant,5yearly,2095,0.199
923,estimates,5yearly,Regi,Eastern Europe
923,medium_variant,5yearly,Regi,Eastern Europe
