region,variant,freq,year,netmigrationrateper1000pop
920,estimates,5yearly,1950,-0.019
920,estimates,5yearly,1955,-0.089
920,estimates,5yearly,1960,-0.131
920,estimates,5yearly,1965,-0.522
920,estimates,5yearly,1970,-0.11
920,estimates,5yearly,1975,-0.832
920,estimates,5yearly,1980,-0.163
920,estimates,5yearly,1985,-0.004
920,estimates,5yearly,1990,-0.728
920,estimates,5yearly,1995,-0.142
920,estimates,5yearly,2000,-0.953
920,estimates,5yearly,2005,-1.336
920,estimates,5yearly,2010,-0.405
920,medium_variant,5yearly,2015,-0.43
920,medium_variant,5yearly,2020,-0.373
920,medium_variant,5yearly,2025,-0.344
920,medium_variant,5yearly,2030,-0.332
920,medium_variant,5yearly,2035,-0.323
920,medium_variant,5yearly,2040,-0.316
920,medium_variant,5yearly,2045,-0.31
920,medium_variant,5yearly,2050,-0.291
920,medium_variant,5yearly,2055,-0.274
920,medium_variant,5yearly,2060,-0.258
920,medium_variant,5yearly,2065,-0.243
920,medium_variant,5yearly,2070,-0.228
920,medium_variant,5yearly,2075,-0.214
920,medium_variant,5yearly,2080,-0.2
920,medium_variant,5yearly,2085,-0.186
920,medium_variant,5yearly,2090,-0.172
920,medium_variant,5yearly,2095,-0.158
920,estimates,5yearly,Regi,South-Eastern Asia
920,medium_variant,5yearly,Regi,South-Eastern Asia
