variant,continent,year,infantmortality
estimates,905,1950,134.442
estimates,905,1951,134.926
estimates,905,1952,135.658
estimates,905,1953,135.922
estimates,905,1954,135.717
estimates,905,1955,135.04
estimates,905,1956,133.886
estimates,905,1957,132.253
estimates,905,1958,130.133
estimates,905,1959,127.512
estimates,905,1960,124.38
estimates,905,1961,120.738
estimates,905,1962,116.61
estimates,905,1963,112.055
estimates,905,1964,107.165
estimates,905,1965,102.032
estimates,905,1966,96.743
estimates,905,1967,91.401
estimates,905,1968,86.119
estimates,905,1969,81.01
estimates,905,1970,76.168
estimates,905,1971,71.649
estimates,905,1972,67.452
estimates,905,1973,63.582
estimates,905,1974,60.072
estimates,905,1975,56.952
estimates,905,1976,54.233
estimates,905,1977,51.889
estimates,905,1978,49.882
estimates,905,1979,48.188
estimates,905,1980,46.799
estimates,905,1981,45.717
estimates,905,1982,44.907
estimates,905,1983,44.313
estimates,905,1984,43.861
estimates,905,1985,43.466
estimates,905,1986,43.047
estimates,905,1987,42.549
estimates,905,1988,41.928
estimates,905,1989,41.152
estimates,905,1990,40.191
estimates,905,1991,39.039
estimates,905,1992,37.752
estimates,905,1993,36.4
estimates,905,1994,35.038
estimates,905,1995,33.741
estimates,905,1996,32.586
estimates,905,1997,31.616
estimates,905,1998,30.861
estimates,905,1999,30.33
estimates,905,2000,30.031
estimates,905,2001,29.949
estimates,905,2002,30.015
estimates,905,2003,30.152
estimates,905,2004,30.296
estimates,905,2005,30.359
estimates,905,2006,30.258
estimates,905,2007,29.96
estimates,905,2008,29.461
estimates,905,2009,28.769
estimates,905,2010,27.929
estimates,905,2011,27.014
estimates,905,2012,26.114
estimates,905,2013,25.298
estimates,905,2014,24.595
estimates,905,2015,24.014
medium_variant,905,2015,24.014
medium_variant,905,2016,23.538
medium_variant,905,2017,23.113
medium_variant,905,2018,22.697
medium_variant,905,2019,22.275
medium_variant,905,2020,21.836
medium_variant,905,2021,21.377
medium_variant,905,2022,20.907
medium_variant,905,2023,20.435
medium_variant,905,2024,19.959
medium_variant,905,2025,19.483
medium_variant,905,2026,19.007
medium_variant,905,2027,18.535
medium_variant,905,2028,18.07
medium_variant,905,2029,17.613
medium_variant,905,2030,17.167
medium_variant,905,2031,16.732
medium_variant,905,2032,16.309
medium_variant,905,2033,15.896
medium_variant,905,2034,15.496
medium_variant,905,2035,15.108
medium_variant,905,2036,14.733
medium_variant,905,2037,14.37
medium_variant,905,2038,14.021
medium_variant,905,2039,13.686
medium_variant,905,2040,13.365
medium_variant,905,2041,13.061
medium_variant,905,2042,12.773
medium_variant,905,2043,12.502
medium_variant,905,2044,12.247
medium_variant,905,2045,12.007
medium_variant,905,2046,11.783
medium_variant,905,2047,11.573
medium_variant,905,2048,11.374
medium_variant,905,2049,11.186
medium_variant,905,2050,11.004
medium_variant,905,2051,10.828
medium_variant,905,2052,10.656
medium_variant,905,2053,10.488
medium_variant,905,2054,10.321
medium_variant,905,2055,10.156
medium_variant,905,2056,9.993
medium_variant,905,2057,9.833
medium_variant,905,2058,9.677
medium_variant,905,2059,9.524
medium_variant,905,2060,9.372
medium_variant,905,2061,9.221
medium_variant,905,2062,9.069
medium_variant,905,2063,8.916
medium_variant,905,2064,8.762
medium_variant,905,2065,8.608
medium_variant,905,2066,8.455
medium_variant,905,2067,8.304
medium_variant,905,2068,8.158
medium_variant,905,2069,8.016
medium_variant,905,2070,7.879
medium_variant,905,2071,7.748
medium_variant,905,2072,7.622
medium_variant,905,2073,7.5
medium_variant,905,2074,7.382
medium_variant,905,2075,7.266
medium_variant,905,2076,7.153
medium_variant,905,2077,7.039
medium_variant,905,2078,6.927
medium_variant,905,2079,6.814
medium_variant,905,2080,6.702
medium_variant,905,2081,6.592
medium_variant,905,2082,6.485
medium_variant,905,2083,6.382
medium_variant,905,2084,6.281
medium_variant,905,2085,6.183
medium_variant,905,2086,6.086
medium_variant,905,2087,5.988
medium_variant,905,2088,5.89
medium_variant,905,2089,5.79
medium_variant,905,2090,5.69
medium_variant,905,2091,5.588
medium_variant,905,2092,5.486
medium_variant,905,2093,5.386
medium_variant,905,2094,5.286
medium_variant,905,2095,5.188
medium_variant,905,2096,5.092
medium_variant,905,2097,4.998
medium_variant,905,2098,4.906
medium_variant,905,2099,4.815
