variant,continent,year,infantmortality
estimates,935,1950,10075.93
estimates,935,1951,9942.046
estimates,935,1952,9704.437
estimates,935,1953,9527.147
estimates,935,1954,9410.178
estimates,935,1955,9352.469
estimates,935,1956,9350.215
estimates,935,1957,9397.56
estimates,935,1958,9483.599
estimates,935,1959,9589.636
estimates,935,1960,9693.673
estimates,935,1961,9772.54
estimates,935,1962,9803.202
estimates,935,1963,9769.747
estimates,935,1964,9667.56
estimates,935,1965,9502.877
estimates,935,1966,9292.315
estimates,935,1967,9062.133
estimates,935,1968,8833.577
estimates,935,1969,8615.429
estimates,935,1970,8408.632
estimates,935,1971,8206.886
estimates,935,1972,7999.843
estimates,935,1973,7782.144
estimates,935,1974,7556.945
estimates,935,1975,7331.53
estimates,935,1976,7115.513
estimates,935,1977,6917.909
estimates,935,1978,6745.071
estimates,935,1979,6599.326
estimates,935,1980,6482.156
estimates,935,1981,6392.391
estimates,935,1982,6321.929
estimates,935,1983,6261.458
estimates,935,1984,6203.67
estimates,935,1985,6139.301
estimates,935,1986,6059.7
estimates,935,1987,5960.831
estimates,935,1988,5840.603
estimates,935,1989,5698.111
estimates,935,1990,5534.846
estimates,935,1991,5354.994
estimates,935,1992,5166.431
estimates,935,1993,4976.384
estimates,935,1994,4789.073
estimates,935,1995,4607.67
estimates,935,1996,4433.554
estimates,935,1997,4265.569
estimates,935,1998,4102.942
estimates,935,1999,3946.367
estimates,935,2000,3796.294
estimates,935,2001,3652.743
estimates,935,2002,3514.989
estimates,935,2003,3382.328
estimates,935,2004,3254.426
estimates,935,2005,3130.668
estimates,935,2006,3010.398
estimates,935,2007,2893.396
estimates,935,2008,2779.724
estimates,935,2009,2669.648
estimates,935,2010,2564.062
estimates,935,2011,2464.159
estimates,935,2012,2370.763
estimates,935,2013,2284.197
estimates,935,2014,2204.219
estimates,935,2015,2130.144
medium_variant,935,2015,2130.144
medium_variant,935,2016,2060.92
medium_variant,935,2017,1995.164
medium_variant,935,2018,1931.674
medium_variant,935,2019,1869.745
medium_variant,935,2020,1808.994
medium_variant,935,2021,1749.454
medium_variant,935,2022,1691.661
medium_variant,935,2023,1636.009
medium_variant,935,2024,1582.491
medium_variant,935,2025,1531.104
medium_variant,935,2026,1481.837
medium_variant,935,2027,1434.619
medium_variant,935,2028,1389.356
medium_variant,935,2029,1345.96
medium_variant,935,2030,1304.359
medium_variant,935,2031,1264.503
medium_variant,935,2032,1226.336
medium_variant,935,2033,1189.779
medium_variant,935,2034,1154.739
medium_variant,935,2035,1121.179
medium_variant,935,2036,1089.108
medium_variant,935,2037,1058.498
medium_variant,935,2038,1029.266
medium_variant,935,2039,1001.27
medium_variant,935,2040,974.371
medium_variant,935,2041,948.443
medium_variant,935,2042,923.37
medium_variant,935,2043,899.027
medium_variant,935,2044,875.289
medium_variant,935,2045,852.051
medium_variant,935,2046,829.26
medium_variant,935,2047,806.944
medium_variant,935,2048,785.13
medium_variant,935,2049,763.806
medium_variant,935,2050,742.988
medium_variant,935,2051,722.707
medium_variant,935,2052,703.007
medium_variant,935,2053,683.914
medium_variant,935,2054,665.431
medium_variant,935,2055,647.552
medium_variant,935,2056,630.262
medium_variant,935,2057,613.528
medium_variant,935,2058,597.317
medium_variant,935,2059,581.606
medium_variant,935,2060,566.373
medium_variant,935,2061,551.599
medium_variant,935,2062,537.285
medium_variant,935,2063,523.433
medium_variant,935,2064,510.042
medium_variant,935,2065,497.144
medium_variant,935,2066,484.785
medium_variant,935,2067,472.979
medium_variant,935,2068,461.711
medium_variant,935,2069,450.937
medium_variant,935,2070,440.597
medium_variant,935,2071,430.616
medium_variant,935,2072,420.918
medium_variant,935,2073,411.434
medium_variant,935,2074,402.116
medium_variant,935,2075,392.936
medium_variant,935,2076,383.894
medium_variant,935,2077,375.027
medium_variant,935,2078,366.364
medium_variant,935,2079,357.911
medium_variant,935,2080,349.672
medium_variant,935,2081,341.651
medium_variant,935,2082,333.851
medium_variant,935,2083,326.271
medium_variant,935,2084,318.91
medium_variant,935,2085,311.767
medium_variant,935,2086,304.844
medium_variant,935,2087,298.135
medium_variant,935,2088,291.631
medium_variant,935,2089,285.325
medium_variant,935,2090,279.208
medium_variant,935,2091,273.273
medium_variant,935,2092,267.514
medium_variant,935,2093,261.925
medium_variant,935,2094,256.503
medium_variant,935,2095,251.245
medium_variant,935,2096,246.149
medium_variant,935,2097,241.217
medium_variant,935,2098,236.446
medium_variant,935,2099,231.838
