variant,continent,year,infantmortality
estimates,908,1950,984
estimates,908,1951,953.755
estimates,908,1952,894.621
estimates,908,1953,838.198
estimates,908,1954,784.484
estimates,908,1955,733.482
estimates,908,1956,685.197
estimates,908,1957,639.625
estimates,908,1958,596.767
estimates,908,1959,556.629
estimates,908,1960,519.205
estimates,908,1961,484.481
estimates,908,1962,452.42
estimates,908,1963,422.955
estimates,908,1964,395.992
estimates,908,1965,371.509
estimates,908,1966,349.515
estimates,908,1967,329.919
estimates,908,1968,312.547
estimates,908,1969,297.171
estimates,908,1970,283.622
estimates,908,1971,271.782
estimates,908,1972,261.458
estimates,908,1973,252.378
estimates,908,1974,244.213
estimates,908,1975,236.631
estimates,908,1976,229.36
estimates,908,1977,222.271
estimates,908,1978,215.253
estimates,908,1979,208.176
estimates,908,1980,201.064
estimates,908,1981,194.059
estimates,908,1982,187.323
estimates,908,1983,180.908
estimates,908,1984,174.712
estimates,908,1985,168.468
estimates,908,1986,161.835
estimates,908,1987,154.596
estimates,908,1988,146.671
estimates,908,1989,138.128
estimates,908,1990,129.169
estimates,908,1991,120.1
estimates,908,1992,111.313
estimates,908,1993,103.141
estimates,908,1994,95.767
estimates,908,1995,89.314
estimates,908,1996,83.797
estimates,908,1997,79.04
estimates,908,1998,74.871
estimates,908,1999,71.214
estimates,908,2000,67.99
estimates,908,2001,65.131
estimates,908,2002,62.572
estimates,908,2003,60.239
estimates,908,2004,58.06
estimates,908,2005,55.986
estimates,908,2006,53.996
estimates,908,2007,52.104
estimates,908,2008,50.305
estimates,908,2009,48.569
estimates,908,2010,46.856
estimates,908,2011,45.133
estimates,908,2012,43.393
estimates,908,2013,41.638
estimates,908,2014,39.874
estimates,908,2015,38.123
medium_variant,908,2015,38.123
medium_variant,908,2016,36.419
medium_variant,908,2017,34.799
medium_variant,908,2018,33.289
medium_variant,908,2019,31.897
medium_variant,908,2020,30.618
medium_variant,908,2021,29.433
medium_variant,908,2022,28.315
medium_variant,908,2023,27.241
medium_variant,908,2024,26.206
medium_variant,908,2025,25.209
medium_variant,908,2026,24.259
medium_variant,908,2027,23.368
medium_variant,908,2028,22.547
medium_variant,908,2029,21.8
medium_variant,908,2030,21.131
medium_variant,908,2031,20.539
medium_variant,908,2032,20.022
medium_variant,908,2033,19.57
medium_variant,908,2034,19.177
medium_variant,908,2035,18.838
medium_variant,908,2036,18.549
medium_variant,908,2037,18.304
medium_variant,908,2038,18.092
medium_variant,908,2039,17.901
medium_variant,908,2040,17.721
medium_variant,908,2041,17.543
medium_variant,908,2042,17.361
medium_variant,908,2043,17.171
medium_variant,908,2044,16.966
medium_variant,908,2045,16.74
medium_variant,908,2046,16.492
medium_variant,908,2047,16.225
medium_variant,908,2048,15.944
medium_variant,908,2049,15.651
medium_variant,908,2050,15.348
medium_variant,908,2051,15.038
medium_variant,908,2052,14.724
medium_variant,908,2053,14.41
medium_variant,908,2054,14.101
medium_variant,908,2055,13.801
medium_variant,908,2056,13.51
medium_variant,908,2057,13.231
medium_variant,908,2058,12.964
medium_variant,908,2059,12.71
medium_variant,908,2060,12.473
medium_variant,908,2061,12.254
medium_variant,908,2062,12.05
medium_variant,908,2063,11.862
medium_variant,908,2064,11.689
medium_variant,908,2065,11.531
medium_variant,908,2066,11.388
medium_variant,908,2067,11.258
medium_variant,908,2068,11.138
medium_variant,908,2069,11.027
medium_variant,908,2070,10.921
medium_variant,908,2071,10.819
medium_variant,908,2072,10.718
medium_variant,908,2073,10.617
medium_variant,908,2074,10.513
medium_variant,908,2075,10.405
medium_variant,908,2076,10.292
medium_variant,908,2077,10.174
medium_variant,908,2078,10.051
medium_variant,908,2079,9.925
medium_variant,908,2080,9.794
medium_variant,908,2081,9.658
medium_variant,908,2082,9.519
medium_variant,908,2083,9.378
medium_variant,908,2084,9.236
medium_variant,908,2085,9.093
medium_variant,908,2086,8.951
medium_variant,908,2087,8.81
medium_variant,908,2088,8.672
medium_variant,908,2089,8.538
medium_variant,908,2090,8.41
medium_variant,908,2091,8.289
medium_variant,908,2092,8.175
medium_variant,908,2093,8.069
medium_variant,908,2094,7.971
medium_variant,908,2095,7.882
medium_variant,908,2096,7.802
medium_variant,908,2097,7.731
medium_variant,908,2098,7.669
medium_variant,908,2099,7.616
