continent,year,variant,agebroad,feminityratio_femaleper100male
935,1960,Estimates,5_11,95.0130712640691
935,1960,Estimates,5_14,95.1566999286903
935,1960,Estimates,6_9,94.8803524906602
935,1960,Estimates,6_10,94.969190474986
935,1960,Estimates,6_11,95.0802111702789
935,1960,Estimates,6_12,95.1792387834716
935,1960,Estimates,7_10,95.045150403654
935,1960,Estimates,7_12,95.2742546252198
935,1960,Estimates,11_16,95.2522726730084
935,1960,Estimates,11_17,95.0535702629085
935,1960,Estimates,11_18,94.8876141256933
935,1960,Estimates,12_14,95.5927390424154
935,1960,Estimates,12_16,95.1417586297921
935,1960,Estimates,12_17,94.9220541571668
935,1960,Estimates,12_18,94.7458764618768
935,1960,Estimates,13_17,94.704369436794
935,1960,Estimates,13_18,94.5295322311715
935,1960,Estimates,13_19,94.4112812284454
935,1960,Estimates,15plus,96.3699652672717
935,1960,Estimates,15_17,94.1862406681169
935,1960,Estimates,15_24,93.8512639993809
935,1960,Estimates,15_49,93.8789888543272
935,1960,Estimates,15_59,94.5044914788905
935,1960,Estimates,15_64,94.8887482072316
935,1960,Estimates,16plus,96.425129486336
935,1960,Estimates,17plus,96.4999448830445
935,1960,Estimates,18plus,96.5913597343444
935,1960,Estimates,18_23,93.6794213500351
935,1960,Estimates,20plus,96.7962986561147
935,1960,Estimates,20_64,95.0633033207473
935,1960,Estimates,20_69,95.5423470954054
935,1960,Estimates,21plus,96.9066119269564
935,1960,Estimates,25plus,97.4129846749238
935,1960,Estimates,25_49,93.8951569916931
935,1960,Estimates,25_64,95.3533071282701
935,1960,Estimates,25_69,95.9216888532512
935,1960,Estimates,50plus,106.030158642073
935,1960,Estimates,60plus,115.038460462811
935,1960,Estimates,65plus,122.749306389075
935,1960,Estimates,70plus,134.117516286586
935,1960,Estimates,75plus,149.726013028816
935,1960,Estimates,80plus,163.688997102325
935,1960,Estimates,85plus,187.381043459209
935,1960,Estimates,90plus,235.138022608643
935,1965,Estimates,total,95.9772261278135
935,1965,Estimates,0_1,94.9851242742841
935,1965,Estimates,0_4,94.9601982244069
935,1965,Estimates,0_14,94.8739328180289
935,1965,Estimates,0_17,95.0054320296978
935,1965,Estimates,0_19,95.0607805993193
935,1965,Estimates,0_24,94.9660734547563
935,1965,Estimates,3_4,94.9256335244984
935,1965,Estimates,3_5,94.9068549583274
935,1965,Estimates,3_6,94.8875327538143
935,1965,Estimates,4_5,94.887684384776
935,1965,Estimates,4_6,94.8676052832638
935,1965,Estimates,5_10,94.7848334143679
935,1965,Estimates,5_11,94.7687377368706
935,1965,Estimates,5_14,94.8195904994968
935,1965,Estimates,6_9,94.7791175170424
935,1965,Estimates,6_10,94.7673451453895
935,1965,Estimates,6_11,94.7512313882209
935,1965,Estimates,6_12,94.7461844343958
935,1965,Estimates,7_10,94.7521569823083
935,1965,Estimates,7_12,94.7322525464279
935,1965,Estimates,11_16,95.1471729285897
935,1965,Estimates,11_17,95.2756631824738
935,1965,Estimates,11_18,95.3542801520768
935,1965,Estimates,12_14,94.9506262237358
935,1965,Estimates,12_16,95.2556028279822
935,1965,Estimates,12_17,95.3936163409735
935,1965,Estimates,12_18,95.4715191518675
935,1965,Estimates,13_17,95.5538671049348
935,1965,Estimates,13_18,95.6243946598035
935,1965,Estimates,13_19,95.6176201392243
935,1965,Estimates,15plus,96.7508156256095
935,1965,Estimates,15_17,95.9249517779615
935,1965,Estimates,15_24,95.1859967217094
935,1965,Estimates,15_49,94.2140132953086
935,1965,Estimates,15_59,94.8586051972499
935,1965,Estimates,15_64,95.3035080318152
935,1965,Estimates,16plus,96.7938014437397
935,1965,Estimates,17plus,96.8220329486633
935,1965,Estimates,18plus,96.8428561554007
935,1965,Estimates,18_23,94.9370454536576
935,1965,Estimates,20plus,96.9156684829638
935,1965,Estimates,20_64,95.1862762596042
935,1965,Estimates,20_69,95.6819731402274
935,1965,Estimates,21plus,96.9786155072583
935,1965,Estimates,25plus,97.4017156312977
935,1965,Estimates,25_49,93.6449583612289
935,1965,Estimates,25_64,95.3563708056811
935,1965,Estimates,25_69,95.9436341457465
935,1965,Estimates,50plus,106.620990996383
935,1965,Estimates,60plus,115.597473921339
935,1965,Estimates,65plus,122.502906694918
935,1965,Estimates,70plus,133.542934687332
935,1965,Estimates,75plus,149.323888042989
935,1965,Estimates,80plus,171.132609474227
935,1965,Estimates,85plus,194.044663401779
935,1965,Estimates,90plus,233.428618028551
935,1970,Estimates,total,96.061060797801
935,1970,Estimates,0_1,95.9198507121653
935,1970,Estimates,0_4,95.6149049950951
935,1970,Estimates,0_14,95.1324362352935
935,1970,Estimates,0_17,95.0883615082267
935,1970,Estimates,0_19,95.1021784795684
935,1970,Estimates,0_24,95.2388066545821
935,1970,Estimates,3_4,95.2997919461056
935,1970,Estimates,3_5,95.2263303994461
935,1970,Estimates,3_6,95.1616361627187
935,1970,Estimates,4_5,95.1442975271405
935,1970,Estimates,4_6,95.0829344735495
935,1970,Estimates,5_10,94.8642814265467
935,1970,Estimates,5_11,94.8478363038359
935,1970,Estimates,5_14,94.8243980902781
935,1970,Estimates,6_9,94.8398843007601
935,1970,Estimates,6_10,94.8183256450077
935,1970,Estimates,6_11,94.8057909693937
935,1970,Estimates,6_12,94.7989746529802
935,1970,Estimates,7_10,94.7814739141747
935,1970,Estimates,7_12,94.7699394302451
935,1970,Estimates,11_16,94.7647397918177
935,1970,Estimates,11_17,94.7794046641724
935,1970,Estimates,11_18,94.8170589408519
935,1970,Estimates,12_14,94.760925050707
935,1970,Estimates,12_16,94.7707654980472
935,1970,Estimates,12_17,94.7870301795938
935,1970,Estimates,12_18,94.8293899164265
935,1970,Estimates,13_17,94.7940578027097
935,1970,Estimates,13_18,94.8426586848095
935,1970,Estimates,13_19,94.9197257635188
