continent,year,variant,agebroad,feminityratio_femaleper100male
909,1950,estimates,total,96.5644182457894
909,1950,estimates,0_1,95.0782778864971
909,1950,estimates,0_4,95.1581409526336
909,1950,estimates,0_14,95.3005030036325
909,1950,estimates,0_17,95.1751682074347
909,1950,estimates,0_19,95.026033913255
909,1950,estimates,0_24,94.5900338748263
909,1950,estimates,3_4,95.2519773389046
909,1950,estimates,3_5,95.285191994759
909,1950,estimates,3_6,95.3168644386775
909,1950,estimates,4_5,95.3205970235432
909,1950,estimates,4_6,95.352590121671
909,1950,estimates,5_10,95.4672386193506
909,1950,estimates,5_11,95.4739229132801
909,1950,estimates,5_14,95.3977428642365
909,1950,estimates,6_9,95.4830102318326
909,1950,estimates,6_10,95.4922959878943
909,1950,estimates,6_11,95.4964428445905
909,1950,estimates,6_12,95.4870812641306
909,1950,estimates,7_10,95.5119519829644
909,1950,estimates,7_12,95.4996196199724
909,1950,estimates,11_16,95.0270635439879
909,1950,estimates,11_17,94.890843664799
909,1950,estimates,11_18,94.7319663263657
909,1950,estimates,12_14,95.1890437377429
909,1950,estimates,12_16,94.9216214817263
909,1950,estimates,12_17,94.7779375249431
909,1950,estimates,12_18,94.610377026707
909,1950,estimates,13_17,94.6410973983533
909,1950,estimates,13_18,94.4665086602282
909,1950,estimates,13_19,94.2717990591738
909,1950,estimates,15plus,97.1067642761147
909,1950,estimates,15_17,94.3456082111156
909,1950,estimates,15_24,93.2393110499472
909,1950,estimates,15_49,93.8580645796714
909,1950,estimates,15_59,94.9729482075982
909,1950,estimates,15_64,95.3932786890489
909,1950,estimates,16plus,97.1620837937096
909,1950,estimates,17plus,97.2249264178879
909,1950,estimates,18plus,97.2981824641803
909,1950,estimates,18_23,92.7353471639829
909,1950,estimates,20plus,97.4928092209437
909,1950,estimates,20_64,95.5919036838004
909,1950,estimates,20_69,96.0840767836221
909,1950,estimates,21plus,97.6175242853007
909,1950,estimates,25plus,98.23410456024
909,1950,estimates,25_49,94.1396739919062
909,1950,estimates,25_64,96.1113006396589
909,1950,estimates,25_69,96.6542605979979
909,1950,estimates,50plus,105.528039113063
909,1950,estimates,60plus,109.179686922369
909,1950,estimates,65plus,113.018367906424
909,1950,estimates,70plus,118.275319250835
909,1950,estimates,75plus,123.569894123063
909,1950,estimates,80plus,133.00351724873
909,1950,estimates,85plus,140.44245081048
909,1950,estimates,90plus,142.937743190662
909,1955,estimates,total,96.5980709740969
909,1955,estimates,0_1,95.5540153043828
909,1955,estimates,0_4,95.5646501649087
909,1955,estimates,0_14,95.4852693894925
909,1955,estimates,0_17,95.4048616451351
909,1955,estimates,0_19,95.2767463919372
909,1955,estimates,0_24,94.6766107087115
909,1955,estimates,3_4,95.575175826964
909,1955,estimates,3_5,95.5765169754836
909,1955,estimates,3_6,95.5758709880832
909,1955,estimates,4_5,95.5789571754239
909,1955,estimates,4_6,95.5772954846023
909,1955,estimates,5_10,95.5400493571875
909,1955,estimates,5_11,95.5179885020784
909,1955,estimates,5_14,95.4360496394142
909,1955,estimates,6_9,95.5485532115718
909,1955,estimates,6_10,95.5313210030798
909,1955,estimates,6_11,95.506375756493
909,1955,estimates,6_12,95.4773962746627
909,1955,estimates,7_10,95.5196179736956
909,1955,estimates,7_12,95.4588810918089
909,1955,estimates,11_16,95.1526233455834
909,1955,estimates,11_17,95.0822890147237
909,1955,estimates,11_18,94.9638834436746
909,1955,estimates,12_14,95.1975981160838
909,1955,estimates,12_16,95.1052292676314
909,1955,estimates,12_17,95.0287949971112
909,1955,estimates,12_18,94.8978053723965
909,1955,estimates,13_17,94.9747220830545
909,1955,estimates,13_18,94.8276066087831
909,1955,estimates,13_19,94.6202320618832
909,1955,estimates,15plus,97.1254967546656
909,1955,estimates,15_17,94.842384401652
909,1955,estimates,15_24,92.9007627804075
909,1955,estimates,15_49,93.0500449163754
909,1955,estimates,15_59,93.7483666745314
909,1955,estimates,15_64,94.6042356865429
909,1955,estimates,16plus,97.1759995010918
909,1955,estimates,17plus,97.2297222031807
909,1955,estimates,18plus,97.2914300022605
909,1955,estimates,18_23,92.2846595835544
909,1955,estimates,20plus,97.466178138238
909,1955,estimates,20_64,94.6352436146426
909,1955,estimates,20_69,95.4397712662151
909,1955,estimates,21plus,97.5850789190664
909,1955,estimates,25plus,98.2882561164431
909,1955,estimates,25_49,93.1134424984636
909,1955,estimates,25_64,95.1400104733065
909,1955,estimates,25_69,96.0331615931384
909,1955,estimates,50plus,107.817772695087
909,1955,estimates,60plus,116.775588197171
909,1955,estimates,65plus,120.340348109849
909,1955,estimates,70plus,126.735182017559
909,1955,estimates,75plus,134.843125513515
909,1955,estimates,80plus,144.872636554622
909,1955,estimates,85plus,158.256518303924
909,1955,estimates,90plus,169.772029811486
909,1960,estimates,total,97.1065387697575
909,1960,estimates,0_1,94.7308630183573
909,1960,estimates,0_4,95.209495036337
909,1960,estimates,0_14,95.4888178628967
909,1960,estimates,0_17,95.4110794361513
909,1960,estimates,0_19,95.3473497023845
909,1960,estimates,0_24,95.127332153768
909,1960,estimates,3_4,95.6831155818645
909,1960,estimates,3_5,95.7574551836352
909,1960,estimates,3_6,95.8087537087997
909,1960,estimates,4_5,95.8467159578366
909,1960,estimates,4_6,95.8866415548538
909,1960,estimates,5_10,95.8745016630889
909,1960,estimates,5_11,95.8189793098507
909,1960,estimates,5_14,95.6514942442272
909,1960,estimates,6_9,95.9153171710246
909,1960,estimates,6_10,95.8668639120797
909,1960,estimates,6_11,95.8028071922333
909,1960,estimates,6_12,95.7349228414332
909,1960,estimates,7_10,95.8404262660885
909,1960,estimates,7_12,95.693892925709
909,1960,estimates,11_16,95.1868300686305
909,1960,estimates,11_17,95.1329009441844
909,1960,estimates,11_18,95.0774401459143
909,1960,estimates,12_14,95.217002832538
909,1960,estimates,12_16,95.1234132111411
909,1960,estimates,12_17,95.0684043164403
909,1960,estimates,12_18,95.0115886642519
909,1960,estimates,13_17,95.013876403393
909,1960,estimates,13_18,94.9539384724448
909,1960,estimates,13_19,94.8929369472373
909,1960,estimates,15plus,97.922832148961
909,1960,estimates,15_17,94.8949296983267
909,1960,estimates,15_24,94.3262697357159
909,1960,estimates,15_49,93.7993599443312
909,1960,estimates,15_59,93.9183731752273
909,1960,estimates,15_64,94.68818966808
909,1960,estimates,16plus,98.002168809804
909,1960,estimates,17plus,98.0850417396657
909,1960,estimates,18plus,98.1718736500182
909,1960,estimates,18_23,94.1844727005874
909,1960,estimates,20plus,98.3613340474885
909,1960,estimates,20_64,94.6768003420822
909,1960,estimates,20_69,95.8240407503076
909,1960,estimates,21plus,98.4656518960189
909,1960,estimates,25plus,98.9832336189526
909,1960,estimates,25_49,93.5559790416214
909,1960,estimates,25_64,94.810105877167
909,1960,estimates,25_69,96.1207620354056
909,1960,estimates,50plus,108.561296213429
909,1960,estimates,60plus,121.665549945982
909,1960,estimates,65plus,128.262924679144
909,1960,estimates,70plus,133.478903882268
909,1960,estimates,75plus,143.600295257428
909,1960,estimates,80plus,156.771149017231
909,1960,estimates,85plus,171.831701459449
909,1960,estimates,90plus,194.973776223776
909,1965,estimates,total,97.783082390412
909,1965,estimates,0_1,94.870864569564
909,1965,estimates,0_4,95.1010463084009
909,1965,estimates,0_14,95.4125175656395
909,1965,estimates,0_17,95.3981365402754
909,1965,estimates,0_19,95.3615268543182
909,1965,estimates,0_24,95.208755002755
909,1965,estimates,3_4,95.3236272502681
909,1965,estimates,3_5,95.3745871164372
909,1965,estimates,3_6,95.4174350074122
909,1965,estimates,4_5,95.4297882796184
909,1965,estimates,4_6,95.4691713729671
909,1965,estimates,5_10,95.5975298632188
909,1965,estimates,5_11,95.6031108255299
909,1965,estimates,5_14,95.5868920473713
909,1965,estimates,6_9,95.613906540167
909,1965,estimates,6_10,95.6225442794717
909,1965,estimates,6_11,95.62514914752
909,1965,estimates,6_12,95.6221045788056
909,1965,estimates,7_10,95.6415692409024
909,1965,estimates,7_12,95.6349668155628
909,1965,estimates,11_16,95.502794424871
909,1965,estimates,11_17,95.4634595942165
909,1965,estimates,11_18,95.4158861090787
909,1965,estimates,12_14,95.5453243757547
909,1965,estimates,12_16,95.4742107100341
909,1965,estimates,12_17,95.4325097554103
909,1965,estimates,12_18,95.381798526791
909,1965,estimates,13_17,95.3969933043396
909,1965,estimates,13_18,95.3429258462407
909,1965,estimates,13_19,95.2794951110689
909,1965,estimates,15plus,98.9754452662327
909,1965,estimates,15_17,95.3146092219211
