continent,year,variant,agebroad,feminityratio_femaleper100male
904,1950,estimates,total,100.098710991691
904,1950,estimates,0_1,96.8562635419742
904,1950,estimates,0_4,97.1593803330344
904,1950,estimates,0_14,97.6372497351942
904,1950,estimates,0_17,97.9029797726698
904,1950,estimates,0_19,98.0944330737439
904,1950,estimates,0_24,98.4987105435709
904,1950,estimates,3_4,97.4837611723906
904,1950,estimates,3_5,97.5448036338023
904,1950,estimates,3_6,97.5946400867226
904,1950,estimates,4_5,97.6169957590585
904,1950,estimates,4_6,97.6618940470267
904,1950,estimates,5_10,97.8100406190086
904,1950,estimates,5_11,97.8171555266371
904,1950,estimates,5_14,97.9547047224039
904,1950,estimates,6_9,97.8263653135658
904,1950,estimates,6_10,97.8397919918277
904,1950,estimates,6_11,97.8435770124106
904,1950,estimates,6_12,97.8589798682077
904,1950,estimates,7_10,97.862061077651
904,1950,estimates,7_12,97.8777023484721
904,1950,estimates,11_16,98.5966478761726
904,1950,estimates,11_17,98.7967586413021
904,1950,estimates,11_18,98.9754954710965
904,1950,estimates,12_14,98.3206940434712
904,1950,estimates,12_16,98.7556933153345
904,1950,estimates,12_17,98.9679516063645
904,1950,estimates,12_18,99.1526833316524
904,1950,estimates,13_17,99.1885827572792
904,1950,estimates,13_18,99.3730900997882
904,1950,estimates,13_19,99.5215017600197
904,1950,estimates,15plus,101.791907346867
904,1950,estimates,15_17,99.6772977710703
904,1950,estimates,15_24,100.35835290561
904,1950,estimates,15_49,100.414975936796
904,1950,estimates,15_59,100.648479138776
904,1950,estimates,15_64,100.887775828539
904,1950,estimates,16plus,101.886340358426
904,1950,estimates,17plus,101.966428690184
904,1950,estimates,18plus,102.034775836504
904,1950,estimates,18_23,100.650455232125
904,1950,estimates,20plus,102.159531516911
904,1950,estimates,20_64,101.086292884335
904,1950,estimates,20_69,101.367212246368
904,1950,estimates,21plus,102.220083082335
904,1950,estimates,25plus,102.462358867763
904,1950,estimates,25_49,100.451915712208
904,1950,estimates,25_64,101.157253349762
904,1950,estimates,25_69,101.500685919978
904,1950,estimates,50plus,107.553175511138
904,1950,estimates,60plus,113.409426994692
904,1950,estimates,65plus,117.235176178057
904,1950,estimates,70plus,122.630782801123
904,1950,estimates,75plus,129.495462632161
904,1950,estimates,80plus,137.417125723231
904,1950,estimates,85plus,145.983421025018
904,1950,estimates,90plus,155.249057352649
904,1955,estimates,total,100.121510232935
904,1955,estimates,0_1,97.6714762997437
