country,name,is--country,parent
336,Holy See,TRUE,925
380,Italy,TRUE,925
470,Malta,TRUE,925
499,Montenegro,TRUE,925
620,Portugal,TRUE,925
674,San Marino,TRUE,925
688,Serbia,TRUE,925
705,Slovenia,TRUE,925
724,Spain,TRUE,925
807,TFYR Macedonia,TRUE,925
40,Austria,TRUE,926
56,Belgium,TRUE,926
250,France,TRUE,926
276,Germany,TRUE,926
438,Liechtenstein,TRUE,926
442,Luxembourg,TRUE,926
492,Monaco,TRUE,926
528,Netherlands,TRUE,926
756,Switzerland,TRUE,926
660,Anguilla,TRUE,915
28,Antigua and Barbuda,TRUE,915
533,Aruba,TRUE,915
44,Bahamas,TRUE,915
52,Barbados,TRUE,915
92,British Virgin Islands,TRUE,915
535,Caribbean Netherlands,TRUE,915
136,Cayman Islands,TRUE,915
192,Cuba,TRUE,915
531,Curaçao,TRUE,915
212,Dominica,TRUE,915
214,Dominican Republic,TRUE,915
308,Grenada,TRUE,915
312,Guadeloupe,TRUE,915
332,Haiti,TRUE,915
388,Jamaica,TRUE,915
474,Martinique,TRUE,915
500,Montserrat,TRUE,915
630,Puerto Rico,TRUE,915
659,Saint Kitts and Nevis,TRUE,915
662,Saint Lucia,TRUE,915
670,Saint Vincent and the Grenadines,TRUE,915
534,Sint Maarten (Dutch part),TRUE,915
780,Trinidad and Tobago,TRUE,915
796,Turks and Caicos Islands,TRUE,915
850,United States Virgin Islands,TRUE,915
84,Belize,TRUE,916
188,Costa Rica,TRUE,916
222,El Salvador,TRUE,916
320,Guatemala,TRUE,916
340,Honduras,TRUE,916
484,Mexico,TRUE,916
558,Nicaragua,TRUE,916
591,Panama,TRUE,916
32,Argentina,TRUE,931
68,Bolivia (Plurinational State of),TRUE,931
76,Brazil,TRUE,931
152,Chile,TRUE,931
170,Colombia,TRUE,931
218,Ecuador,TRUE,931
238,Falkland Islands (Malvinas),TRUE,931
254,French Guiana,TRUE,931
328,Guyana,TRUE,931
600,Paraguay,TRUE,931
604,Peru,TRUE,931
740,Suriname,TRUE,931
858,Uruguay,TRUE,931
862,Venezuela (Bolivarian Republic of),TRUE,931
60,Bermuda,TRUE,905
124,Canada,TRUE,905
304,Greenland,TRUE,905
666,Saint Pierre and Miquelon,TRUE,905
840,United States of America,TRUE,905
36,Australia,TRUE,927
554,New Zealand,TRUE,927
242,Fiji,TRUE,928
540,New Caledonia,TRUE,928
598,Papua New Guinea,TRUE,928
90,Solomon Islands,TRUE,928
548,Vanuatu,TRUE,928
316,Guam,TRUE,954
296,Kiribati,TRUE,954
584,Marshall Islands,TRUE,954
583,Micronesia (Fed. States of),TRUE,954
520,Nauru,TRUE,954
580,Northern Mariana Islands,TRUE,954
585,Palau,TRUE,954
16,American Samoa,TRUE,957
184,Cook Islands,TRUE,957
258,French Polynesia,TRUE,957
570,Niue,TRUE,957
882,Samoa,TRUE,957
772,Tokelau,TRUE,957
776,Tonga,TRUE,957
798,Tuvalu,TRUE,957
876,Wallis and Futuna Islands,TRUE,957
