variant,continent,year,gender,dependencyratio2064
estimates,909,1950,male,79.981
estimates,909,1951,male,81.261
estimates,909,1952,male,82.404
estimates,909,1953,male,83.653
estimates,909,1954,male,84.965
estimates,909,1955,male,86.207
estimates,909,1956,male,87.701
estimates,909,1957,male,89.218
estimates,909,1958,male,90.569
estimates,909,1959,male,91.644
estimates,909,1960,male,92.439
estimates,909,1961,male,93.812
estimates,909,1962,male,94.798
estimates,909,1963,male,95.415
estimates,909,1964,male,95.7
estimates,909,1965,male,95.685
estimates,909,1966,male,95.834
estimates,909,1967,male,95.537
estimates,909,1968,male,94.924
estimates,909,1969,male,94.181
estimates,909,1970,male,93.443
estimates,909,1971,male,93.123
estimates,909,1972,male,92.906
estimates,909,1973,male,92.623
estimates,909,1974,male,92.081
estimates,909,1975,male,91.228
estimates,909,1976,male,90.95
estimates,909,1977,male,90.249
estimates,909,1978,male,89.303
estimates,909,1979,male,88.33
estimates,909,1980,male,87.429
estimates,909,1981,male,86.15
estimates,909,1982,male,85.067
estimates,909,1983,male,84.128
estimates,909,1984,male,83.224
estimates,909,1985,male,82.324
estimates,909,1986,male,81.881
estimates,909,1987,male,81.348
estimates,909,1988,male,80.788
estimates,909,1989,male,80.269
estimates,909,1990,male,79.79
estimates,909,1991,male,79.284
estimates,909,1992,male,78.812
estimates,909,1993,male,78.378
estimates,909,1994,male,77.961
estimates,909,1995,male,77.564
estimates,909,1996,male,77.296
estimates,909,1997,male,77.08
estimates,909,1998,male,76.939
estimates,909,1999,male,76.865
estimates,909,2000,male,76.809
estimates,909,2001,male,76.607
estimates,909,2002,male,76.305
estimates,909,2003,male,75.909
estimates,909,2004,male,75.475
estimates,909,2005,male,75.084
estimates,909,2006,male,74.898
estimates,909,2007,male,74.673
estimates,909,2008,male,74.408
estimates,909,2009,male,74.11
estimates,909,2010,male,73.819
estimates,909,2011,male,74.244
estimates,909,2012,male,74.578
estimates,909,2013,male,74.816
estimates,909,2014,male,75.004
estimates,909,2015,male,75.193
medium_variant,909,2015,male,75.193
medium_variant,909,2016,male,75.454
medium_variant,909,2017,male,75.811
medium_variant,909,2018,male,76.226
medium_variant,909,2019,male,76.638
medium_variant,909,2020,male,77.023
medium_variant,909,2021,male,77.585
medium_variant,909,2022,male,78.084
medium_variant,909,2023,male,78.523
medium_variant,909,2024,male,78.92
medium_variant,909,2025,male,79.276
medium_variant,909,2026,male,79.603
medium_variant,909,2027,male,79.874
medium_variant,909,2028,male,80.085
medium_variant,909,2029,male,80.223
medium_variant,909,2030,male,80.289
medium_variant,909,2031,male,80.356
